buyer_name,"RFQ Reference
 Number",Business Unit,"Was normal
 SCM process
 followed?",Supplier Legal Name,central_supplier_database_number,Enterprise Type,bbbee_status_level,"Ethnic Group
 >51%","Black Woman
 Ownership
 >51%","Black Youth
 Ownership
 >51%",award_date,items_description,items_quantity,order_amount_zar,Procurement Request Status,Contracts
National Prosecuting Authority,D9732,CHIEF DIRECTORATE SECURITY MANAGEMENT,Yes,T M C TRADING,MAAA0076336,EME,1,Black,No,No,2020-05-15,NON-CONTACT INFRARED THERMOMETERS,9,15192.45,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9705,DDPP DURBAN OFFICE,Yes,UTSHUNGU BUSINESS SOLUTIONS,MAAA0158535,EME,1,Black,No,No,2020-07-15,SANITIZER,143,31460.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9725,DPP BLOEMFONTEIN OFFICE,Yes,SHIFT CONSULTING,MAAA0492462,EME,1,Black,No,No,2020-05-19,RE-USABLE FACE MASKS -  BLOEMFONTEIN,,12700.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9745,DPP BLOEMFONTEIN OFFICE,Yes,ARISING VISONARIES,MAAA0703797,EME,1,Black,Yes,Yes,2020-05-25,SANITIZERS- DPP BLOEMFONTEIN,254,77470.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9728,DPP CAPE TOWN OFFICE,Yes,DESIGN26 FOUNDATION,MAAA0671329,EME,1,Black,Yes,No,2020-05-19,RE-USABLE FACE MASKS - DPP CAPE TOWN,,25806.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9743,DPP CAPE TOWN OFFICE,Yes,REROX,MAAA0602736,EME,1,Black,No,Yes,2020-05-26,SANITIZERS - CAPE TOWN,528,144883.20,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9757,DPP CAPE TOWN OFFICE,Yes,KHACHANI ENTERPRISE,MAAA0106358,EME,1,Black,No,Yes,2020-05-19,FACE SHIELDS,500,11300.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9703A,DPP GRAHAMSTOWN OFFICE,Yes,A D MEDICAL,MAAA0045221,EME,4,White,No,No,2020-05-18,FACE SHIELDS,600,16491.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9727,DPP GRAHAMSTOWN OFFICE,Yes,CAPE BUSINESS AND ENGINEERING COLLEGE,MAAA0466320,EME,1,Black,No,No,2020-05-19,RE-USABLE FACE MASKS - EASTERN CAPE,,15884.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9741,DPP GRAHAMSTOWN OFFICE,Yes,TRIPLEM SERVIC,MAAA0777806,EME,1,Black,No,No,2020-05-25,SANITIZERS - EASTERN CAPE OFFICE,361,86683.32,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9737,DPP JOHANNESBURG OFFICE,Yes,FLAMINGO MOON TRADING 146,MAAA0739436,EME,2,Black,No,No,2020-05-20,RE-USABLE FACE MASKS - JHB,,19927.2,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9747,DPP JOHANNESBURG OFFICE,Yes,CHANTEL CONSORTIUM,MAAA0903149,EME,1,Black,Yes,Yes,2020-05-25,SANITIZERS - DPP JHB,456,118560.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9855,DPP JOHANNESBURG OFFICE,Yes,MAWEWE TRADING SOLUTIONS,MAAA0854804,EME,1,Black,No,Yes,2020-07-21,FACE AND DESK SHIELDS,,19450.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9729,DPP KIMBERLEY OFFICE,Yes,THE EYE NORTHERN CAPE,MAAA0473337,EME,1,Black,Yes,No,2020-05-21,RE-USABLE FACE MASKS - KIMBERLY,,7100.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9744,DPP KIMBERLEY OFFICE,Yes,AMBITIOUSD ENTERPRISE,MAAA0564548,EME,1,Black,Yes,Yes,2020-05-25,SANITIZERS - DPP KIMBERLEY,142,43310.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9726,DPP LIMPOPO,Yes,ZAUKHAKHATA TRADING AND PROJECTS,MAAA0749242,EME,1,Black,No,No,2020-05-20,RE-USABLE FACE MASKS - LIMPOPO,,8352.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9749,DPP LIMPOPO,Yes,ARK PRINTERS AND STATIONERS,MAAA0007292,EME,1,Black,No,No,2020-05-25,SANITIZERS - DPP LIMPOPO,261,79605.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9724,DPP MMABATHO OFFICE,Yes,AFRICAN PONCHO,MAAA0842068,EME,1,Black,Yes,Yes,2020-05-18,RE-USABLE FACE MASKS - DPP MMABATHO,,8250.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9748,DPP MMABATHO OFFICE,Yes,ENKAY TRADING,MAAA0194112,EME,1,Black,Yes,Yes,2020-05-25,SANITIZERS - DPP MMABATHO,165,44550.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9781,DPP MMABATHO OFFICE,Yes,PERMAX MANUFACTURING,MAAA0005377,EME,1,Black,No,Yes,2020-06-08,TEMPERATURE SCANNERS,6,8400.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9723,DPP MPUMALANGA,Yes,DIKARABO TRADING CO-OPERATIVE LIMITED,MAAA0048296,EME,1,Black,Yes,No,2020-05-18,RE-USABLE FACE MASKS - MPUMALANGA,,8800.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9750A,DPP MPUMALANGA,Yes,EDKOKIE TRADING AND PROJECTS,MAAA0317781,EME,1,Black,No,No,2020-07-08,SANITIZERS 5LT,176,57288.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9734,DPP MTHATHA,Yes,B T N N GENERAL TRADING,MAAA0039905,EME,1,Black,No,No,2020-05-19,FACE SHIELDS,100,5000.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9739,DPP MTHATHA,Yes,PHUMAPHAMBILI AGRICULTURE AND TEXTILE AND,MAAA0609557,EME,1,Black,Yes,No,2020-05-21,RE-USABLE FACE MASKS - DPP MTHATHA,,7250.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9740,DPP MTHATHA,Yes,ONLYN BIZ ENTERPRISE,MAAA0003276,EME,1,Black,Yes,No,2020-05-25,SANITIZERS - DPP MTHATHA,145,49010.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9730,DPP PIETERMARITZBURG OFFICE,Yes,ZAKHANYA FITNESS,MAAA0748012,EME,1,Black,Yes,Yes,2020-05-20,RE-USABLE FACE MASKS - DPP PIETERMARIZBURG AND DURBAN,,21420.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9742,DPP PIETERMARITZBURG OFFICE,Yes,MBUYISA HOLDINGS,MAAA0333396,EME,1,Black,Yes,No,2020-05-26,SANITIZERS - DPP PMB AND DURBAN,595,177905.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9810,DPP PIETERMARITZBURG OFFICE,Yes,CLOUDENERGY GROUP,MAAA0484655,EME,1,Black,No,No,2020-07-08,FACE SHIELDS,204,17541.96,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9738,DPP PRETORIA OFFICE,Yes,FORTISTLE,MAAA0905465,EME,1,Black,No,No,2020-05-18,RE-USABLE FACE MASKS - PRETORIA,,18485.10,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9751,DPP PRETORIA OFFICE,Yes,OFFF,MAAA0543792,EME,1,Black,No,No,2020-05-26,SANITIZERS - DPP PRETORIA,423,125982.09,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9700,HR TRANSFORMATION UNIT,Yes,ARJO HUNTLEIGH SOUTH AFRICA,MAAA0005800,Other,3,,No,No,2020-04-01,SICK BEDS,15,23479.50,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9717,HR TRANSFORMATION UNIT,Yes,BAITSEKAGO PROJECTS,MAAA0196983,EME,1,Black,No,No,2020-05-07,DIGITAL INFRARED NON-CONTACT THERMOMETER,,76500.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9721,HR TRANSFORMATION UNIT,Yes,EKHAYA INVESTMENTS,MAAA0905392,EME,1,Black,No,No,2020-05-19,RE-USABLE FACE MASKS - GAUTENG - VGM,,62748.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9746,HR TRANSFORMATION UNIT,Yes,SINGULARITY TRADING COMPANY,MAAA0070637,EME,1,Black,Yes,No,2020-05-25,SANITIZERS- VGM,709,201356.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9676,SOCA UNIT,Yes,ARISING VISONARIES,MAAA0703797,EME,1,Black,Yes,Yes,2020-05-19,HAND SANITIZERS,220,23100.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9731,HEAD OFFICE,Yes,SHANEAL DISTRIBUTORS,MAAA0000020,QSE,1,Black,Yes,No,2020-05-11,INFRARED NON-CONTACT THERMOMETERS,,63000.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9780,HEAD OFFICE,Yes,ROYAL TREAT TRADING,MAAA0374721,EME,1,Black,Yes,No,2020-06-09,RE-USABLE FACE MASKS,2000,45800.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9787,HEAD OFFICE,Yes,HLABAHLOSILE TRADING PROJECTS,MAAA0086406,EME,2,Black,Yes,No,2020-07-15,FOOT PEDAL HAND SANITIZER STANDS - HEAD OFFICE,4,4209.00,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9788,FREE STATE OFFICE,Yes,BLENDED OAKS,MAAA0527329,EME,1,Black,No,Yes,2020-06-12,FOOT PEDAL HAND SANITIZER STAND - FREE STATE OFFICE,,1043.80,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
National Prosecuting Authority,D9789,WESTERN CAPE OFFICE,Yes,KWENA PEOPLE,MAAA0694526,EME,2,Black,Yes,No,2020-07-10,FOOT PEDAL HAND SANITIZER STAND - WESTERN CAPE,,1077.55,Finalized - Sent To Order Section,EMERGENCY PROCUREMENT - COVID-19
