buyer_name,order_number,items_description,TYPE,supplier_name,order_amount_zar,invoice_date,CONTRACT PERIOD
Public Service Commission,OR-012517,Rental of 23 hand sanitiser stands and refills,Sanitasers and Decontamination,Bidvest Steiner,167663.40,2020-03-19,2020-04-01 to 2021-03-31
Public Service Commission,OR-012385,Digital Infrared Thermometers,Thermometers,Baitsanape Laboratory Supplies,55660.00,2020-04-22,Once off
Public Service Commission,OR-012529,Procurement of protective gloves for all PSC Officials employees,Protective Clothing,Bondirite,53092.00,2020-04-28,Once off
Public Service Commission,OR-012530,Procurement of washable face masks,Protective Clothing,Fubani Medical Supply,170100.00,2020-04-28,Once off
Public Service Commission,OR-012528,Disinfect and sanitise Limpopo Provincial Office,Sanitasers and Decontamination,Paino Trading,29960.52,2020-04-28,Once off
Public Service Commission,OR-012527,Disinfect and sanitise National Office in Pretoria,Sanitasers and Decontamination,Bondirite,16950.00,2020-04-28,Once off
Public Service Commission,OR-012531,Disinfect and sanitise Gauteng Provincial Office,Sanitasers and Decontamination,Lesemoabi Industries,14605.34,2020-04-30,Once off
Public Service Commission,OR-012534,Disinfect and sanitise KwaZulu-Natal Provincial Office,Sanitasers and Decontamination,Ikhayelihle Cleaning Service,16215.00,2020-05-07,Once off
Public Service Commission,OR-012535,Procurement of hand sanitisers for all PSC Officals and 5 litre bottles refills,Sanitasers and Decontamination,Segwata Holdings,74612.90,2020-05-07,Once off
Public Service Commission,OR-012533,Disinfect and sanitise the Eastern Cape and Northern Cape Provincial Offices,Sanitasers and Decontamination,Christians and Sons Trading,5373.40,2020-05-07,Once off
Public Service Commission,OR-012532,"Disinfect and sanitise the North West, Mpumalanga and FreeState Provincial Offices",Sanitasers and Decontamination,Bondirite,29470.00,2020-05-07,Once off
Public Service Commission,OR-012536,Disinfect and sanitise Western Cape and Parliamentary Offices,Sanitasers and Decontamination,Capital-Ship Trading 605,4330.18,2020-05-07,Once off
Public Service Commission,OR-012541,"Procurement and distribution of hand sanitizer stands, hand sanitizer solution (5 litre refills) and disinfectant (5 litre refills) to 9 Provincial Offices",Sanitasers and Decontamination,Spacio Office Dezigns,71231.47,2020-06-03,Once off
Public Service Commission,OR-012550,Disinfect and sanitise the Gauteng Provincial Office,Sanitasers and Decontamination,Winnie Tawers,48018.60,2020-06-05,2020-07-01 to 2021-06-30
Public Service Commission,OR-012552,"Procurement of access cards, printer and card reader system for National Office",Access Control Update,XON Systems,87488.91,2020-06-05,Once off
Public Service Commission,OR-012559,Appointment of a service provider to conduct a risk assessments at all PSC Offices,Risk Assessment,Centre for Occupational and Wellness,89500.00,2020-06-10,Once off
Public Service Commission,OR-012563,"Disinfect and sanitise the North West, Mpumalanga and Free State Provincial Offices",Sanitasers and Decontamination,Nicolaas Albertus Potgieter t/a Izazi,5044.84,2020-06-15,2020-07-01 to 2021-06-30
Public Service Commission,OR-012561,Procurement of 90 face shield vistors,Face Shields,Us-Pects Trading Enterprise,3200.00,2020-05-15,Once off
Public Service Commission,OR-012560,Disinfect and sanitise the Limpopo Provincial (Contract for 4 quarters),Sanitasers and Decontamination,Neo Giften Trading,60000.00,2020-06-15,2020-07-01 to 2021-06-30
Public Service Commission,OR-012567,Disinfect and sanitise the Western Cape Provincial and Parliamentary Offices,Sanitasers and Decontamination,Capital-Ship Trading 605,17320.70,2020-06-19,2020-07-01 to 2021-06-30
Public Service Commission,OR-012571,Disinfect and sanitise the National Offices,Sanitasers and Decontamination,Bidvest Steiner,44753.40,2020-06-23,2020-07-01 to 2021-06-30
Public Service Commission,OR-012575,Procurement of 90 acrylic sheets for officials sharing offices at National Offices,Protective Acrylic Sheets,Ngwane IT & Corporate Solutions,99000.00,2020-06-24,Once off
Public Service Commission,OR-012583,Supply of disinfectant and hand sanitiser (5 litres) for the North West Provincial Office,Sanitasers and Decontamination,Tshepo M Trading and Enterprise,2500.00,2020-07-06,Once off
Public Service Commission,OR-012588,Procurement of Snapper Frames for Covid-19 posters in lifts at National Office,Snapper Frames,Ridgelarks Projects,9000.00,2020-07-07,Once off
Public Service Commission,OR-012589,Disinfect and sanitise the KwaZulu-Natal Provincial Office,Sanitasers and Decontamination,Vela Ukhanye Primary Co-operative Ltd,36358.48,2020-07-14,2020-07-01 to 2021-06-30
Public Service Commission,OR-012593,Disinfect and sanitise the Eastern Cape Provincial Office,Sanitasers and Decontamination,Christians and Sons Trading,1244.25,2020-07-31,Once off
