Entities,Entities,Date of appointment,items_description,Goods/services,Procurement process,Company Appointed,Value,Company registration number
ASB,Accounting Standards Board (ASB),28-May-20,Costs on Covid-19 Activities: COVID-19 Posters,COVID-19 Posters,Qutations ,UVO Communications,R414.00,
ASB,Accounting Standards Board (ASB),"Top up for May, Jun & July",Costs on Covid-19 Activities: MTN Topup Data - Remote working,MTN Topup Data - Remote working ,Existing contract,MTN,"R2,104.00",
ASB,Accounting Standards Board (ASB),15-Jul-20,Costs on Covid-19 Activities: Zoom Virtual meetings license,Zoom Virtual meetings license,,ZOOM,R259.29,
ASB,Accounting Standards Board (ASB),30-Jun-20,Costs on Covid-19 Activities: Printer Cardridge- Working remotely,Printer Cardridge- Working remotely ,,,R229.00,
ASB,Accounting Standards Board (ASB),08-May-20,Cost of PPE's: Infrared Themometer ,Infrared Themometer ,,Alphabet Soup ,"R1,897.00",Quotations 
ASB,Accounting Standards Board (ASB),30-Jun-20,Cost of PPE's: 3 Ply face masks,3 Ply face masks,,Takealot (AfriSolar (Pty) Ltd) ,R370.00,Quotations 
CBDA,Cooperative Banks Development Agency (CBDA),,Costs on Covid-19 Activities: No costs incured,No costs incured,,,,
CBDA,Cooperative Banks Development Agency (CBDA),,Cost of PPE's: No costs incured,No costs incured,,,,
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),29-Apr-20,"Costs on Covid-19 Activities: Disinfection, sanitation, fumigation and deep cleaning of the office for a period of 6 months","Disinfection, sanitation, fumigation and deep cleaning of the office for a period of 6 months",Deviation (One supplier responded to our request),Masana Hygiene Services (Pty) Ltd,"R90,098.00",2014/110265/07
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),21-Jul-20,Costs on Covid-19 Activities: Emergency disinfection of the office (New Covid19 Case),Emergency disinfection of the office (New Covid19 Case),Request for quotation sent out to various potential bidders and one bidder responded to our request for quotation.,Masana Hygiene Services (Pty) Ltd,"R8,991.85",2014/110265/07
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),01-May-20,Cost of PPE's: Cloth masks and digital thermometers ,Cloth masks and digital thermometers ,,Masana Hygiene Services (Pty) Ltd ,"R23,768.02",2014/110265/07
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),05-Jul-20,Cost of PPE's: Surgical masks ,Surgical masks ,,Dante SA (Pty) Ltd ,"R38,812.50",2014/000057/07
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),05-Jul-20,Cost of PPE's: Aprons and face shields ,Aprons and face shields ,,Masana Hygiene Services (Pty) Ltd ,"R4,421.75",2014/110265/07
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),11-May-20,"Cost of PPE's: Surgical gloves, stand-alone units and hand sanitizers. ","Surgical gloves, stand-alone units and hand sanitizers. ",,Dante SA (Pty) Ltd ,"R57,149.25",2014/000057/07
FAIS,Office of the Ombud for Financial Services Providers  (FAIS),12-May-20,Cost of PPE's: Surgical masks ,Surgical masks ,,Vuma Furniture Projects (Pty) ,"R17,968.75",2006/019558/07
FFC,Financial and Fiscal Commission (FFC),19-Mar-20,Costs on Covid-19 Activities: Disinfecting- both Midrand & Capetown,Disinfecting- both Midrand & Capetown ,RFQ ,FP Hygiene ,"R58,765.00",
FFC,Financial and Fiscal Commission (FFC),10-Jul-20,Costs on Covid-19 Activities: Temporal cleaning- Midrand,Temporal cleaning- Midrand ,RFQ ,"Impact soft
cleaning","R34,019.76",
FFC,Financial and Fiscal Commission (FFC),10-Jul-20,Costs on Covid-19 Activities: Temporal cleaning- Capetown office,Temporal cleaning- Capetown office ,RFQ ,"Motshwari cleaning
services","R9,494.40",
FFC,Financial and Fiscal Commission (FFC),27-May-20,"Cost of PPE's: Cloth masks, surgical gloves, Infrared thermometers ","Cloth masks, surgical gloves, Infrared thermometers ",,K and Tau holdings ,"R10,800.00",2019/173605/07
FFC,Financial and Fiscal Commission (FFC),19-Mar-20,"Cost of PPE's: 70% alcohol hand sanitisers, spray bottes, Bins, Automatic paper towel dispenser, Hand paper towels-Midrand","70% alcohol hand sanitisers, spray bottes, Bins, Automatic paper towel dispenser, Hand paper towels-Midrand",,FP Hygiene ,"R14,679.75",2003/052276/23
FFC,Financial and Fiscal Commission (FFC),19-Mar-20,"Cost of PPE's: 70% alcohol hand sanitisers, spray bottes, Bins, Automatic paper towel dispenser, Hand paper towels-Midrand","70% alcohol hand sanitisers, spray bottes, Bins, Automatic paper towel dispenser, Hand paper towels-Midrand",,FP Hygiene ,"R6,422.75",2003/052276/23
FIC,Financial Intellegence Centre (FIC),21-May-02,Costs on Covid-19 Activities: Office Disinfection HO,Office Disinfection HO ,RFQ ,Cleaning Specialist t/a RND Amalgamated ,"R15,190.35",
FIC,Financial Intellegence Centre (FIC),10-Jun-20,Costs on Covid-19 Activities: Surface Sanitiser,Surface Sanitiser ,RFQ ,Madiba Promotions ,"R14,398.00",
FIC,Financial Intellegence Centre (FIC),23-Jun-20,Costs on Covid-19 Activities: CPT Office disinfection,CPT Office disinfection ,RFQ ,Zara Cleaning services ,"R11,150.00",
FIC,Financial Intellegence Centre (FIC),14-Jul-20,Costs on Covid-19 Activities: Office Disinfection HO,Office Disinfection HO ,Emergency,Cleaning Specialist t/a RND Amalgamated,"R15,420.35",
FIC,Financial Intellegence Centre (FIC),12-Mar-20,Cost of PPE's: Sanitiser Sprays ,Sanitiser Sprays ,,Meltar Projects ,"R2,000.00",2018/255719/07
FIC,Financial Intellegence Centre (FIC),24-Mar-20,Cost of PPE's: Sanitiser Sprays ,Sanitiser Sprays ,,Meltar Projects ,"R1,980.00",2018/255719/07
FIC,Financial Intellegence Centre (FIC),16-Mar-20,Cost of PPE's: Electronic Hand Sanitisers ,Electronic Hand Sanitisers ,,Medical Innovations ,"R13,121.50",1967/002540/07
FIC,Financial Intellegence Centre (FIC),19-Mar-20,Cost of PPE's: Hand Sanitizer ,Hand Sanitizer ,,Imtasa ,"R83,145.00",2014/033602/07
FIC,Financial Intellegence Centre (FIC),29-Mar-20,Cost of PPE's: Hand Sanitizer ,Hand Sanitizer ,,Sanichem ,"R20,286.00",2005/025225/07
FIC,Financial Intellegence Centre (FIC),29-Apr-20,Cost of PPE's: 514 x Cloth (rewashable) masks,514 x Cloth (rewashable) masks,,Nkuriso ,"R17,733.00",2015/303261/07
FIC,Financial Intellegence Centre (FIC),29-Apr-20,Cost of PPE's: 4 x Infra-red thermometer,4 x Infra-red thermometer,,Nkuriso ,"R11,500.00",2015/303261/07
FIC,Financial Intellegence Centre (FIC),22-May-20,Cost of PPE's: Face Shields ,Face Shields ,,Buang M Trading ,"R30,753.45",2018/562687/07
FIC,Financial Intellegence Centre (FIC),09-Jun-20,Cost of PPE's: Additional Face shields & thermometers ,Additional Face shields & thermometers ,,Buang M Trading ,"R7,027.70",2018/562687/07
FIC,Financial Intellegence Centre (FIC),01-Jun-20,Cost of PPE's: Electronic Sanitisers rental for 12 month,Electronic Sanitisers rental for 12 month,,Cleaning Specialist t/a RND Amalgamated ,"R26,489.64",2014/192737/07
FSCA,Financial Sector Conduct Authority (FSCA),04-May-20,Costs on Covid-19 Activities: Sanitizing/Disinfecting 2 x FSCA Buildings,Sanitizing/Disinfecting 2 x FSCA Buildings,Procurement from existing hygiene services contract ,Masana Hygiene Services Masana (PTY)Ltd ,"R21,722.58",
FSCA,Financial Sector Conduct Authority (FSCA),05-May-20,Costs on Covid-19 Activities: Sanitation of FST Building - Kasteel Office Park,Sanitation of FST Building - Kasteel Office Park ,Procurement from existing hygiene services contract ,Masana Hygiene Services Masana (PTY)Ltd ,"R4,328.03",
FSCA,Financial Sector Conduct Authority (FSCA),09-Jul-20,Costs on Covid-19 Activities: Sanitizing/Disinfecting the FSCA Buildings (Block B & C),Sanitizing/Disinfecting the FSCA Buildings (Block B & C) ,Procurement from existing hygiene services contract ,Masana Hygiene Services Masana (PTY)Ltd ,"R21,722.00",
FSCA,Financial Sector Conduct Authority (FSCA),15-May-20,Cost of PPE's: Covid-19 items: cloth masks (3ply) - 2x per employee (for 7 employees) ;1x 25 litre alcohol hand sanitizer ; 20x spary bottles (1litre) ; 5x all purpose wipes / cloths (100 sheets per roll); 1x digital body,Covid-19 items: cloth masks (3ply) - 2x per employee (for 7 employees) ;1x 25 litre alcohol hand sanitizer ; 20x spary bottles (1litre) ; 5x all purpose wipes / cloths (100 sheets per roll); 1x digital body,,Masana Hygiene Services Masana (PTY)Ltd ,"R9,193.00",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),15-May-20,Cost of PPE's: 4X Hand Sanitizer Dispenser and 44x hand foam Sanitizer refills,4X Hand Sanitizer Dispenser and 44x hand foam Sanitizer refills,,Masana Hygiene Services Masana (PTY)Ltd ,"R4,107.80",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),24-Mar-20,"Cost of PPE's: 100 boxes of disposable gloves (box of 100 pieces), 1 000 masks.","100 boxes of disposable gloves (box of 100 pieces), 1 000 masks.",,Masana Hygiene Services Masana (PTY)Ltd ,"R92,409.40",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),18-Mar-20,Cost of PPE's: Sanitiser Box ,Sanitiser Box ,,Masana Hygiene Services Masana (PTY)Ltd ,"R3,795.00",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),24-Mar-20,Cost of PPE's: 290 Hand sanitizer refills.,290 Hand sanitizer refills.,,Masana Hygiene Services Masana (PTY)Ltd ,"R34,845.00",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),25-Mar-20,Cost of PPE's: 2 x 1Litre sprayer bottles for sanitizer.,2 x 1Litre sprayer bottles for sanitizer.,,Masana Hygiene Services Masana (PTY)Ltd ,R83.80,Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),03-Jun-20,Cost of PPE's: 18 X Sanitizer Dispensers and Refills,18 X Sanitizer Dispensers and Refills,,Masana Hygiene Services Masana (PTY)Ltd ,"R14,671.33",Procurement from existing hygiene services contract 
