buyer_name,supplier_name,order_amount_zar,items_description
National Treasury, Lechoba Medical Technologies,182263.50,Hand sanitizers
National Treasury, Masana Hygiene Services,156302.26,Hand sanitizers liquid dispensers
National Treasury, Masana Hygiene Services,121446.00,Building sanitization (2 buildings)
National Treasury, Masana Hygiene Services,3801.00,Building sanitization (2 Floors)
National Treasury, Masana Hygiene Services,10500.00,Building sanitization (1 Building)
National Treasury, Nesoscope Holdings (Pty) Ltd,54275.88,Surface Sanitizers
National Treasury, MPM Enviro Enterprise,293250.00,N95 masks and latex gloves
National Treasury, Class Three Medical Solution,12128.82,Thermometers
National Treasury, Tsuamo Civils (Pty) Ltd.,9000.00,Building sanitization - (1 Building)
National Treasury, Tsuamo Civils (Pty) Ltd.,1900.00,Building sanitization - (floor TIC)
National Treasury, Tsuamo Civils (Pty) Ltd.,75950.00,Building sanitization - (2 Buildings)
National Treasury, Tsuamo Civils (Pty) Ltd.,80850.00,Building sanitization (2 Buildings)
National Treasury, Khulanathi Black Ginger,135125.00,Cloth masks reusable
National Treasury, Benixo Utility Services,98640.00,Building Sanitization
National Treasury, Techcon Systems Pty Ltd,332062.50,Rental supply installation replenishing and maintenance of foot operated hand sanitizer dispensers.
