buyer_name,No,items_description,items_quantity,order_amount_zar,supplier_name,director_names_and_surnames
Independent Police Investigative Directorate,1,"Surgical Mask 50p/box (3ply, single-use)",8,10660.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
Independent Police Investigative Directorate,2,Hand Sanitizer 70% Alcohol base 5lt refill,31,60450.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
Independent Police Investigative Directorate,3,Surgical Gloves,70,32200.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
Independent Police Investigative Directorate,4,"Surgical Mask 50p/box (3ply, single-use)",42,55965.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
Independent Police Investigative Directorate,5,Hand Sanitizer 70% Alcohol base 5lt refill,90,175500.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
Independent Police Investigative Directorate,6,Hand Sanitizer 70% Alcohol base 500ml,50,17500.00,Biolgica Pharmaceuticals PTY LTD,Nondumiso Yvonne Mzizana
Independent Police Investigative Directorate,7,Nitrile (Latex free) Gloves 300p/box,67,19529.83,Henry Schein Dental Warehouse,Nomo Phumlani Khumalo
Independent Police Investigative Directorate,8,Hand Sanitizer 70% Alcohol,30,2699.70,Masana Cleaning Services,"Lonia Magayisa, Sikheto Enock
 Chauke, Moses Morake,
 Moshibudu Morake, Mziyanda
 Mbombo"
Independent Police Investigative Directorate,9,Cloth Masks,740,36992.60,PLUS-FAB,Malesela Tema
Independent Police Investigative Directorate,10,"Digital Body Thermometer (infrared, non contact",25,43750.00,Motla Investments,Andrew Rantho
Independent Police Investigative Directorate,11, Adjustable Face Shield,500,12650.00,Allenco Medicals and Dental Suppliers,Sivapragasen Allen Mudaly
Independent Police Investigative Directorate,12,Crime Scene PPE Kits,600,65484.00,KTF Africa,Sizwe Jantjie
Independent Police Investigative Directorate,13,Post Mortem Kits,1000,118248.80,KTF Africa,Sizwe Jantjie
Independent Police Investigative Directorate,14,Disinfection Spray Bottles (500ml),110,8800.00,Happy Feet Limited,Lwando Gaba
Independent Police Investigative Directorate,15,Disinfection Spray Bottles (5l),20,9000.00,Happy Feet Limited,Lwando Gaba
Independent Police Investigative Directorate,16,Cleaning Cloths,400,39192.00,Happy Feet Limited,Lwando Gaba
Independent Police Investigative Directorate,17,"Digital Body Thermometer (infrared, non contact",56,112700.00,JD Strategic Investment,Siyanda Jessie Ngcakani
Independent Police Investigative Directorate,18,Hand Sanitisers with 70% alcohol (5l),60,28960.20,Logan Medical & Surgical,Vimla Naidoo
Independent Police Investigative Directorate,19,Disinfection of National Office,1,44656.00,Masana Cleaning Services,"Lonia Magayisa, Sikheto Enock
 Chauke, Moses Morake,
 Moshibudu Morake, Mziyanda
 Mbombo"
Independent Police Investigative Directorate,20,Disinfection of Provincial and Satellite offices,13,239469.75,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
Independent Police Investigative Directorate,21,Disinfection of WC Provincial Office,1,20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
Independent Police Investigative Directorate,22,Disinfection of EC Provincial Office,1,20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
Independent Police Investigative Directorate,23,Disinfection of EC Provincial Office,1,18420.76,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
Independent Police Investigative Directorate,24,Disinfection of KZN Provincial Office,1,20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
Independent Police Investigative Directorate,25,Footpress Sanitiser spray,45,50001.75,Indlalifa Technologies,Tidimalo Phala
Independent Police Investigative Directorate,26,Disinfection of National Office,1,39000.00,Masana Cleaning Services,"Lonia Magayisa, Sikheto Enock
 Chauke, Moses Morake,
 Moshibudu Morake, Mziyanda
 Mbombo"
Independent Police Investigative Directorate,27,Disinfection of Gauteng Provincial Office,1,20816.60,SSG Cleaning,"Amon Mashigo, Ashley Struwig"
Independent Police Investigative Directorate,28, Disinfection of FS Provincial Office,1,16000.00,Rainbow Earth PTY (LTD),Jonas Ntoi
Independent Police Investigative Directorate,29,Disinfection of NW Provincial Office,1,17912.13,Pro-N Medical Supplies,Nonofo Sebeelo 
