buyer_name,items_description,items_quantities,"Procurement processes
followed",supplier_name,award_date,order_amount_zar
Private Security Industry Regulatory Authority (PSIRA),3ply surgical masks,1600 Masks,Existing Hygiene contract,Servest Hygiene,2018-06-01,1141.00
Private Security Industry Regulatory Authority (PSIRA),Wall mounted Sanitiser dispensers (Durban Office),19X1L,Existing Hygiene contract,Sanitech,2020-03-16,2425.35
Private Security Industry Regulatory Authority (PSIRA),Wall mounted Sanitiser dispensers (Durban Office),7X1L,Existing Hygiene contract,Sanitech,2020-03-16,1143.10
Private Security Industry Regulatory Authority (PSIRA),3ply  surgical masks and sanitisers,6000 masks +50L+ Spray bottles,Request for Quotation,Mozab Investments CC,2020-03-18,23850.00
Private Security Industry Regulatory Authority (PSIRA),Sanitisers and Containers,200L+Spray bottles,Request for Quotation,VS Technologies,2020-03-20,48060.00
Private Security Industry Regulatory Authority (PSIRA),Sanitisers Umtata Office,60L+ 300 gloves+ Spray bottles,Request for Quotation,Outcome Based Consultancy,2020-03-24,9360.00
Private Security Industry Regulatory Authority (PSIRA),Face Shield,1000,Request for Quotation,CNC Customs (PTY)Ltd,2020-04-17,32200.00
Private Security Industry Regulatory Authority (PSIRA),Surgical Masks,5000,Request for Quotation,RHULTREV TRADING (PTY) LTD,2020-04-18,140000.00
Private Security Industry Regulatory Authority (PSIRA),Hand Sanitiser,1008 sanitizers,Request for Quotation,UNIQUE CHOICE,2020-04-18,31752.00
Private Security Industry Regulatory Authority (PSIRA),Infrared Cameras,12 units,Request for Quotation,Farm grow (PTY) Ltd,2020-04-22,30000.00
Private Security Industry Regulatory Authority (PSIRA),Latex gloves,3000,Request for Quotation,SINOTHANDONATHI (PTY) LTD,2020-04-28,58500.00
