buyer_name,order_number,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,order_amount_zar,QTY DELIVERED,VALUE DELIVERED
South African Police Services (SAPS),AG883084,2020-03-25,BLUECOLLAR OCCUPATIONAL HEALTH,"CONTAINER, LIQUIDS, MEDICAL WASTE, 25L",3550.00,10000,35500000.00,"10,000","35,500,000.00"
South African Police Services (SAPS),AG883090,2020-03-25,DAKHEMO CONSTRUCTION AND TRADING,"PROTECTOR, OVERSHOE, SURGICAL, DISPOSABLE",28.75,1000000,28750000.00,"313,800","9,021,750.00"
South African Police Services (SAPS),AG883082,2020-03-25,VUSIMUHLE PROJECTS,"GOGGLES, UV HAZARD, PERSONAL PROTECTIVE EQUIPMENT",24.95,250000,6237500.00,"250,000","6,237,500.00"
South African Police Services (SAPS),AG883091,2020-03-25,BODINA TRADING ENTERPRISE,"BAG, DISPOSAL, BIOHAZARD",1.20,1000000,1200000.00,"1,000,000","1,200,000.00"
South African Police Services (SAPS),AG883085,2020-03-25,THE DREAM EVENTS COMPANY,"MASK, HALF MASK, FFP3, DISPOSABLE",155.00,10000,1550000.00,"10,000","1,550,000.00"
South African Police Services (SAPS),AG883096,2020-03-25,KHAGISO AFRIKA HOLDINGS,"FUNNEL, PLASTIC",12.00,8100,97200.00,"8,100","97,200.00"
South African Police Services (SAPS),AG883089,2020-03-26,KHAGISO AFRIKA HOLDINGS,"MASK, FACE, SURGICAL, DISPOSABLE",30.94,800000,24752000.00,"800,000","24,752,000.00"
South African Police Services (SAPS),AG883083,2020-03-26,NHJ ENTERPRISE,"SPRAY BOTTLE, PLASTIC, HYGIENE, WITH TRIGGER, 750ML",250.00,8100,2025000.00,"8,100","2,025,000.00"
South African Police Services (SAPS),AG883087,2020-03-26,ROTHARI CONSULTANCY,"OVERALL, DISPOSABLE, CATEGORY III, TYPE 5 AND 6, MEDIUM",52.50,400000,21000000.00,254,"13,335.00"
South African Police Services (SAPS),AG883088,2020-03-27,KHAGISO AFRIKA HOLDINGS,"CONTAINER, SHARP, MEDICAL WASTE, 5L",1255.80,2000,2511600.00,"2,000","2,511,600.00"
South African Police Services (SAPS),AG883281,2020-04-08,LTE CONSULTING,"MASK, FACE, SURGICAL, DISPOSABLE",25.70,250000,6425000.00,"250,000","6,425,000.00"
South African Police Services (SAPS),AG883282,2020-04-08,SJ GLOBAL CONSTRUCTION,"MASK, FACE, SURGICAL, DISPOSABLE",4.02,5000000,20100000.00,"500,000","2,010,000.00"
South African Police Services (SAPS),AG883285,2020-04-08,TSUTSUMANI BUSINESS ENTERPRISES,"MASK, FACE, SURGICAL, DISPOSABLE",32.50,303000,9847500.00,"303,000","9,847,500.00"
South African Police Services (SAPS),AG883275,2020-04-08,KHAGISO AFRIKA HOLDINGS,"MASK, FACE, SURGICAL, DISPOSABLE",28.00,904500,25326000.00,"904,500","25,326,000.00"
South African Police Services (SAPS),AG883284,2020-04-08,SAFRO POWER,"MASK, FACE, SURGICAL, DISPOSABLE",29.49,100000,2949000.00,"100,000","2,949,000.00"
South African Police Services (SAPS),AG883274,2020-04-08,BASARWA CONSTRUCTION,"MASK, FACE, SURGICAL, DISPOSABLE",37.95,100000,3795000.00,"100,000","3,795,000.00"
South African Police Services (SAPS),AG883280,2020-04-08,TSA BOPHELO MEDICAL SUPPLIERS AND LOGIST,"MASK, FACE, SURGICAL, DISPOSABLE",29.50,27000,796500.00,"27,000","796,500.00"
South African Police Services (SAPS),AG883256,2020-04-13,MARVELLI,"THERMOMETER, DIGITAL, FOREHEAD",1750.00,8100,14175000.00,"8,100","14,175,000.00"
South African Police Services (SAPS),AG883265,2020-04-13,MAKINTANKWE TRADING,"MASK, FACE, DISPOSABLE, PERSONAL PROTECTIVE EQUIPMENT",82.99,210000,17427900.00,"210,000","17,427,900.00"
South African Police Services (SAPS),AG883264,2020-04-13,THE DREAM EVENTS COMPANY,"MASK, FACE, DISPOSABLE, PERSONAL PROTECTIVE EQUIPMENT",78.77,8500,669545.00,"8,500","669,545.00"
South African Police Services (SAPS),AG883263,2020-04-13,JOSEVIO-TOL,"MASK, FACE, SURGICAL, DISPOSABLE",30.00,1000000,30000000.00,"1,000,000","30,000,000.00"
South African Police Services (SAPS),AG883252,2020-04-13,MSWS COUNSELLING AND SOCIAL WORK SERVICE,"MASK, FACE, DISPOSABLE, PERSONAL PROTECTIVE EQUIPMENT",68.00,20000,1360000.00,"20,000","1,360,000.00"
South African Police Services (SAPS),AG883251,2020-04-13,HANKHESA CONSULTING,"MASK, FACE, DISPOSABLE, PERSONAL PROTECTIVE EQUIPMENT",72.00,20000,1440000.00,"20,000","1,440,000.00"
South African Police Services (SAPS),AG883261,2020-04-13,MOTLA INVESTMENTS,"MASK, FACE, SURGICAL, DISPOSABLE",24.50,1000000,24500000.00,"1,000,000","24,500,000.00"
South African Police Services (SAPS),AG883267,2020-04-13,WIN PROJECTS AND SUPPLY,"SPRAY BOTTLE, PLASTIC, HYGIENE, WITH TRIGGER, 750ML",305.00,6100,1860500.00,100,"30,500.00"
South African Police Services (SAPS),AG883255,2020-04-14,LENASI TRADING AND PROJECTS,"HAND SANITIZER, 500ML",99.18,10000,991800.00,"10,000","991,800.00"
South African Police Services (SAPS),AG883268,2020-04-14,RED ROSES AFRICA/ MAINSTREET,"SUIT, HAZMAT",549.02,40000,21960800.00,0,-
South African Police Services (SAPS),AG883268,2020-04-14,RED ROSES AFRICA/ MAINSTREET,"THERMOMETER, DIGITAL, FOREHEAD",2200.00,2000,4400000.00,0,-
South African Police Services (SAPS),AG883268,2020-04-14,RED ROSES AFRICA/ MAINSTREET,"MASK, FACE, SURGICAL, DISPOSABLE",12.28,12000000,147360000.00,"2,000,000","24,560,000.00"
South African Police Services (SAPS),AG883268,2020-04-14,RED ROSES AFRICA/ MAINSTREET,"HAND SANITIZER, 25LITRE",4700.00,90000,423000000.00,"90,000","423,000,000.00"
South African Police Services (SAPS),AG883254,2020-04-14,HANKHESA CONSULTING,"HAND SANITIZER, 1LT",185.00,44000,8140000.00,"44,000","8,140,000.00"
South African Police Services (SAPS),AG883260,2020-04-14,BASADZI PELE MANAGEMENT CONSULTING AND P,"MASK, FACE, SURGICAL, DISPOSABLE",30.00,153000,4590000.00,"153,000","4,590,000.00"
South African Police Services (SAPS),AG883260,2020-04-14,BASADZI PELE MANAGEMENT CONSULTING AND P,"HAND SANITIZER, 25LITRE",2500.00,200,500000.00,200,"500,000.00"
South African Police Services (SAPS),AG883283,2020-04-14,PEO YA AFRICA CONSULTING ENGINEERING,"MASK, FACE, SURGICAL, DISPOSABLE",21.27,300000,6381000.00,"300,000","6,381,000.00"
