Description of Goods/ Services,"Procurement Process","Recommended Service Provider/ Supplier",Quantity,Unit price,Amount,Date Order Issues
LOCKDOWN PROCUREMENT REPORT 2020,,,,,,
PROCUREMENT INFORMATION FOR GOODS AND SERVICES UP TO THE RAND VALUE OF R1 000 000.00,,,,,,
OFFICE OF THE CIVILIAN SECRETARIAT FOR POLICE,,,,,,
Procurement of hand sanitizers,Qoutation System,"Lechoba Medical Technologies",1020,R 54.67,"R 55,768.04",1-Apr-20
Procurement of surgical face mask,Qoutation System,"Lechoba Medical Technologies",300,R 18.75,"R 5,623.50",28-Apr-20
"Procurement of branded face mask",Qoutation System,"Breakthrough Cooperative Limited",330,R 34.00,"R 11,220.00",28-May-20
"Protective Face Shields for Frontline Staff","Advance/ Petty Cash Payment",Makro Wholesale,10,R 55.00,R 550.00,Apr 2020
"Desks / surface  disinfectant sanitizers (500ml Surface/ Table spray Sanitizers)","Advance/ Petty Cash Payment",Pick n Pay Retail Store,25,R 75.00,"R 1,875.00",Apr/ May 2020
"Procurement of branded face mask",Qoutation System,"BizRocket  Trade & Projects",301,R 35.00,"R 10,535.00",30-Jun-20
"Procurement of desks / surface disinfectant sanitizers (5L Liquid Hand Sanitizers)",Qoutation System,"Tihosi Textile and Clothing",5,R 402.50,"R 2,012.50",25-Jun-20
"Procurement of desks / surface disinfectant sanitizers (500ml Surface/ Table spray Sanitizers)",Qoutation System,"Tihosi Textile and Clothing",435,R 72.45,"R 31,515.75",25-Jun-20
"CSPS office and Office of the DPCI Covid fumigation / sanitization",Qoutation System,Mafanisa A Trading,2,"R 10,099.14","R 20,198.28","13 - 14 Jul 2020 and 27- 28 Jul 2020"
,,,,,"R 154,464.27",
