ORDER NO,ORDER DATE,NAME OF SUPPLIERS/COMPANIES,ITEMS DESCRIPTION,UNIT PRICE,QTY ORDERED,VALUE ORDERED,QTY DELIVERED,VALUE DELIVERED
AG883084,20200325,BLUECOLLAR OCCUPATIONAL HEALTH,"CONTAINER, LIQUIDS, MEDICAL WASTE, 25L","3,550.00",10000,"35,500,000.00","10,000","35,500,000.00"
AG883090,20200325,DAKHEMO CONSTRUCTION AND TRADING,"PROTECTOR, OVERSHOE, SURGICAL, DISPOSABLE",28.75,1000000,"28,750,000.00","313,800","9,021,750.00"
AG883082,20200325,VUSIMUHLE PROJECTS,"GOGGLES, UV HAZARD, PERSONAL PROTECTIVE EQUIPMENT",24.95,250000,"6,237,500.00","250,000","6,237,500.00"
AG883091,20200325,BODINA TRADING ENTERPRISE,"BAG, DISPOSAL, BIOHAZARD",1.2,1000000,"1,200,000.00","1,000,000","1,200,000.00"
AG883085,20200325,THE DREAM EVENTS COMPANY,"MASK, HALF MASK, FFP3, DISPOSABLE",155,10000,"1,550,000.00","10,000","1,550,000.00"
AG883096,20200325,KHAGISO AFRIKA HOLDINGS,"FUNNEL, PLASTIC",12,8100,"97,200.00","8,100","97,200.00"
AG883089,20200326,KHAGISO AFRIKA HOLDINGS,"MASK, FACE, SURGICAL, DISPOSABLE",30.94,800000,"24,752,000.00","800,000","24,752,000.00"
AG883083,20200326,NHJ ENTERPRISE,"SPRAY BOTTLE, PLASTIC, HYGIENE, WITH TRIGGER, 750ML",250,8100,"2,025,000.00","8,100","2,025,000.00"
AG883087,20200326,ROTHARI CONSULTANCY,"OVERALL, DISPOSABLE, CATEGORY III, TYPE 5 AND 6, MEDIUM",52.5,400000,"21,000,000.00",254,"13,335.00"
AG883088,20200327,KHAGISO AFRIKA HOLDINGS,"CONTAINER, SHARP, MEDICAL WASTE, 5L","1,255.80",2000,"2,511,600.00","2,000","2,511,600.00"
AG883281,20200408,LTE CONSULTING,"MASK, FACE, SURGICAL, DISPOSABLE",25.7,250000,"6,425,000.00","250,000","6,425,000.00"
AG883282,20200408,SJ GLOBAL CONSTRUCTION,"MASK, FACE, SURGICAL, DISPOSABLE",4.02,5000000,"20,100,000.00","500,000","2,010,000.00"
AG883285,20200408,TSUTSUMANI BUSINESS ENTERPRISES,"MASK, FACE, SURGICAL, DISPOSABLE",32.5,303000,"9,847,500.00","303,000","9,847,500.00"
AG883275,20200408,KHAGISO AFRIKA HOLDINGS,"MASK, FACE, SURGICAL, DISPOSABLE",28,904500,"25,326,000.00","904,500","25,326,000.00"
AG883284,20200408,SAFRO POWER,"MASK, FACE, SURGICAL, DISPOSABLE",29.49,100000,"2,949,000.00","100,000","2,949,000.00"
AG883274,20200408,BASARWA CONSTRUCTION,"MASK, FACE, SURGICAL, DISPOSABLE",37.95,100000,"3,795,000.00","100,000","3,795,000.00"
AG883280,20200408,TSA BOPHELO MEDICAL SUPPLIERS AND LOGIST,"MASK, FACE, SURGICAL, DISPOSABLE",29.5,27000,"796,500.00","27,000","796,500.00"
AG883256,20200413,MARVELLI,"THERMOMETER, DIGITAL, FOREHEAD","1,750.00",8100,"14,175,000.00","8,100","14,175,000.00"
AG883265,20200413,MAKINTANKWE TRADING,"MASK, FACE, DISPOSABLE, PERSONAL PROTECTIVE EQUIPMENT",82.99,210000,"17,427,900.00","210,000","17,427,900.00"
