buyer_name,items_description,items_quantity,supplier_name,order_amount_zar,Delivered,Still to Deliver,GL Account,Cost Centre,invoice_date,Receving date,2nd Delivery Date
State Security Agency ,Surgical Gloves,4000,Inhlanhla Ga Tshwarelo,7200.00,"R7,200",0,400020,BI10,2020-03-12,01.04.2020,31.05.2020
State Security Agency ,Filtering Mask,1000,Inhlanhla Ga Tshwarelo,26500.00,"R26,500",0,400020,BI10,2020-03-12,01.04.2020,
State Security Agency ,Disposable Gowns,1000,Inhlanhla Ga Tshwarelo,28000.00,"R28,000",0,400020,BI10,2020-03-12,01.04.2020,
State Security Agency ,Hand Sanitizers(75ml),1000,Bidvest Steiner,11500.00,"R5,750.00",0,400020,HC50,2020-03-12,30.06.2020,
State Security Agency ,Hand Sanitizers(350ml),3000,Bidvest Steiner,137160.00,"R137,160",0,400020,HC50,2020-03-12,30.06.2020,
State Security Agency ,Surface Wipes,3000,Bidvest Steiner,282900.00,"R273,543.60",0,400020,HC50,2020-03-12,30.06.2020,
State Security Agency ,Filtering Mask,3000,Lechoba Medical Technology,177000.00,"R177,000.00",0,451070,LO10,2020-03-25,28.04.2020,
State Security Agency ,Hand Sanitizers(500ml),5000,Lechoba Medical Technology,273390.00,"R273,390.00",0,451070,LO10,2020-03-25,23.04.2020,
State Security Agency ,Infrared  Thermometer,20,Lechoba Medical Technology,26979.80,"R26,979.80",0,451070,LO10,2020-04-15,16.04.2020,
State Security Agency ,Infrared  Thermometer,60,NEW AGE MEDIDENT,100050.00,"R100,050.00",0,400020,HC50,2020-05-08,31.05.2020,
State Security Agency ,KN95 Masks,1000,KLEVAS ACCESSORIES (PTY)LTD,37375.00,"R37,375.00",0,400020,LO10,2020-05-20,22.05.2020,
State Security Agency ,Medical Gowns,1000,KLEVAS ACCESSORIES (PTY)LTD,109250.00,"R109,250.00",0,400086,HC50,2020-05-25,25.05.2020,
State Security Agency ,Cloth Mask,4000,FORTISTLE,75900.00,"R75,900.00",0,400020,LO10,2020-05-20,29.05.2020,
State Security Agency ,Disposable Gloves,10000,K2020022611 (PTY) LTD,36000.00,"R36,000.00",0,400020,LO10,2020-05-20,21.05.2020,
State Security Agency ,Disposable Coverall,190,Modasharo Suppliers (PTY) LTD,43700.00,"R43,700.00",0,400085,LO10,2020-06-11,26.06.2020,
State Security Agency ,Goggles,500,Modasharo Suppliers (PTY) LTD,40250.00,"R40,250.00",0,400085,LO10,2020-06-11,26.06.2020,
State Security Agency ,FFP2 RESPIRATOR,1200,Modasharo Suppliers (PTY) LTD,64170.00,"R64,170.00",0,400085,LO10,2020-06-11,26.06.2020,
State Security Agency ,Disposable Gloves,1000,Modasharo Suppliers (PTY) LTD,4025.00,"R4,025.00",0,400085,LO10,2020-06-11,26.06.2020,
