buyer_name,invoice_date,supplier_name,items_description,bbbe_status,order_amount_zar
Brand South Africa,2020-03-02,VCA BEE Verifications (PTY) Ltd,BEE Verifications,Level 1,40450.00
Brand South Africa,2020-03-03,Unique Personnel (PTY) Ltd,Recruitment Services,Level 1,122340.00
Brand South Africa,2020-03-17,Immaculate Events and Management Solutions (PTY) Ltd,Three Bid committees Training,Level 1,204999.00
Brand South Africa,2020-03-17,Phulo Placement,Recruitment Services,Level 1,149159.00
Brand South Africa,2020-03-17,LA Arrows Technologies,IT Consumables,Level 1,16146.00
Brand South Africa,2020-03-17,Nmabo Stationery and Office Supplies,Printing Paper,Level 1,25649.98
Brand South Africa,2020-03-17,Meropa Communications,Ghana PR Agency,Level 1,436245.37
Brand South Africa,2020-03-17,SGT Solutions (PTY) Ltd,IT Infrastructure,Level 2,225940.00
Brand South Africa,2020-03-17,Tsoelopele Catering,Catering Services,Level 1,7360.00
Brand South Africa,2020-03-23,Biotech IT (Pty) Ltd,Setup and Installation of Switches,Level 1,356390.00
Brand South Africa,2020-03-28,Dalitso Business Equipment,Laptops,Level 1,454545.00
Brand South Africa,2020-03-30,Esizwe Group (Pty) Ltd,Microsoft licence renewal,Level 1,499560.00
Brand South Africa,2020-03-30,Community Innovations (Pty) Ltd,Neuro Linguistic Programme,Level 1,103500.00
Brand South Africa,2020-03-30,Mashobao Tech,Trend Micro licence renewal,Level 1,121340.00
Brand South Africa,2020-03-31,AOA Enterprise,Atera licence,Level 1,203000.00
Brand South Africa,2020-03-31,Compatibles T and T,Eshare BoardPack licence renewal,Level 1,299250.00
Brand South Africa,2020-03-31,Ukwakhile Projects,King IV Corporate Governance Training,Level 2,44563.00
Brand South Africa,2020-04-01,Direct Management Solutions CC,Employment Equity Training,Level 2,38502.00
Brand South Africa,2020-04-29,TSL Telecommunications and Automation,Transversal Contract for Printers,Level 1,296318.88
Brand South Africa,2020-05-10,Jetline Rosebank,Business Cards,Level 4,9038.31
Brand South Africa,2020-07-28,Premier Human Capital Corporation,Recruitment & Placement,Level 1,103077.75
