Types of Service,ORDER NO,DATE,AMOUNT,SUPPLIER NAME
F&O/EQP<R5000:0FFICE FURNITU,OR-092835,,5513.10,QPS PRODUCTIONS
CONS HOUS SUP:DIS PAPER/PLAS ,OR-092835,,1035.00,QPS PRODUCTIONS
ADVERT:MARKETING,OR-092745,,128620.00,BAHN MEDIA
ADVERT:MARKETING,OR-092741,,89100.00,BLKMERCURY (PTY) LTD
ADVERT:MARKETING,OR-092596,,4056441.00,ETV
ADVERT:MARKETING,OR-092595,,1116278.14,ESAT TVPTY LTD
ADVERT:MARKETING,OR-092743,,106181.50,ESONA
ADVERT:MARKETING,OR-092748,,128179.00,HLUMA MEDIA
ADVERT:MARKETING,OR-092733,,184000.00,HUFFING POST ( PTY')
ADVERT:MARKETING,OR-092739,,1572593.85,KENA OUTDOOR
ADVERT:MARKETING,OR-092747,,20796.10,LUVUNO MEDIA
ADVERT:MARKETING,OR-092633,,947683.64,MEDIA MANSION
ADVERT:MARKETING,OR-092631,,117300.00,MEDIAMARK PTY LTD
ADVERT:MARKETING,OR-092632,,414000.00,MVM MULTIMEDIA
ADVERT:MARKETING,OR-092751,,255441.60,OUTDOOR NETWORK
ADVERT:MARKETING,OR-092752,,619655.10,OUTSMART OUTDOOR ADVE
ADVERT:MARKETING,OR-092750,,70150.00,OWAKHE MEDIA
ADVERT:MARKETING,OR-092740,,75500.00,PLATINUM OUTDOOR MEDI
ADVERT:MARKETING,OR-092735,,155250.00,RIVONI ADVERTISING
ADVERT:MARKETING,OR-092746,,158022.65,SAKHA UBOM! MARKETING
ADVERT:MARKETING,OR-092738,,164449.91,SONDLO & KNOPP ADVERT
ADVERT:MARKETING,OR-092597,,4044998.50,SOUTH AFRICAN BROADCA
ADVERT:MARKETING,OR-092629,,299000.00,TSHWANE TV
ADVERT:MARKETING,OR-092753,,378133.20,WIDEOPEN PLATFORM
COM:RADIO & TV TRANSMISSIONS,OR-092099,,501129.40,SOUTH AFRICAN BROADCA
COM:RADIO & TV TRANSMISSIONS,OR-092174,,764405.00,SOUTH AFRICAN BROADCA
ADVERT:PROMOTIONAL ITEMS,OR-092729,,5000.00,PHINOT NOSTALGIC PROJ
ADVERT:MARKETING,OR-092351,,764579.46,MOLIBIZ
EQP<R5000:AUDIO VISUAL EQUIP,OR-092949,,19500.00,DT FILM SERVICES
COM:RADIO & TV TRANSMISSIONS,OR-092843,,6000.00,ABUSEKHO UBUNZIMA CHR
COM:RADIO & TV TRANSMISSIONS,OR-092806,,6000.00,GOOD NEWS COMMUNITY
COM:RADIO & TV TRANSMISSIONS,OR-092844,,6000.00,INANDA COMMUNITY RADI
COM:RADIO & TV TRANSMISSIONS,OR-092838,,3000.00,INDONSAKUSA COMMUNITY
COM:RADIO & TV TRANSMISSIONS,OR-092839,,7300.00,IZWI LOMZANSI
COM:RADIO & TV TRANSMISSIONS,OR-092238,,6000.00,UGU YOUTH RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092841,,6000.00,UMGUNGUNDLOVU COMMUNI
CONS HOUS SUP:WASH/CLEAN DET,OR-092977,,422.58,BOZQUE
P/P:PEST CNTRL/FUMIGATION SE ,OR-092936,,8020.10,SANITECH
CONS HOUS SUP:DIS PAPER/PLAS,OR-092737,,1200.00,LUMIMO TRADING
P/P:CLEANING SERVICES,OR-092878,,6021.86,KUNGAMANDLA BUSINESS
P/P:PEST CNTRL/FUMIGATION SE,OR-092935,,1092.50,KEMPSTON RECRUITMENT
COM:RADIO & TV TRANSMISSIONS,OR-092975,,4299183.00,SOUTH AFRICAN BROADCA
F&O/EQP<R5000:0FFICE FURNITU,OR-092977,,7581.60,BOZQUE
CONS SUPP:MEDICAL SUPPLIES,OR-092977,,5374.75,BOZQUE
