buyer_name,supplier_name,items_description,order_number,QUANTITY,order_amount_zar
Government Communication and Information System (GCSI),Motla Investement,Mask - N95,OR-092443,2500,31200.00
Government Communication and Information System (GCSI),Dental Warehouse,Mask - Surgical,OR-091884,20 boxes,4200.00
Government Communication and Information System (GCSI),Ekhaya Investment,Mask - Other,OR-,2000,50000.00
Government Communication and Information System (GCSI),Dental Warehouse,Gloves - Surgical & Examination - Natural Rubber Latex,OR-091884,19 boxes,2203.81
Government Communication and Information System (GCSI),Dental Warehouse,Sanitisers,OR-091884,5L,24626.28
Government Communication and Information System (GCSI),Pacas Creations group,Disinfectants,OR-092374,14500 Meter squares,107800.00
Government Communication and Information System (GCSI),Maraphu projects,Disinfectants,,14500 Meter squares,88900.00
Government Communication and Information System (GCSI),Masana Hygiene,Disinfects - Provincial offices,,9 Provincial Officers,22000.00
Government Communication and Information System (GCSI),Quality Medical Suppliers,Infrared Thermometers,OR-091970,13,74750.00
Government Communication and Information System (GCSI),Dental Warehouse,Sanitisers wipes,OR-091884,25L,3144.40
Government Communication and Information System (GCSI),YNK Holdings,Shield screens,OR-092475,Screen Protector,359130.00
Government Communication and Information System (GCSI),Grothpoint Engineering,Shield screens,OR-092253,Screen Protector,183080.00
Government Communication and Information System (GCSI),Fortistle Holdings,Branded Cloth Masks,OR-092715,Branded cloth mask,24610.00
Government Communication and Information System (GCSI),5L Sanitisers,Indaloyakhe Pty Ltd,,5L Sanitisers,8500.00
Government Communication and Information System (GCSI),Magamve,Hand sanitiser for the Provincial Office,Petty Cash Request,,340.00
Government Communication and Information System (GCSI),Magamve,1 Box of hand gloves for the Provincial Office,Petty Cash Request,,300.00
Government Communication and Information System (GCSI),The Specialists,Sanitising of the Provincial Office,OR-092469,,1834.25
Government Communication and Information System (GCSI),BK Ink t/a Stationers and Branding,5 Thermometer Infrared Scanners,OR-092468,,9495.00
Government Communication and Information System (GCSI),Lumino General Trading,250ml hand sanitisers for the Provincial Office,OR-092737,,1200.00
Government Communication and Information System (GCSI),Luyinene Holdings (PTY) Ltd,Sanitising of Centane office,OR-092647,,12640.00
Government Communication and Information System (GCSI),Majestic 125 (PTY) Ltd,Sanitising of the Nelson Mandela Metro Office,OR-092660,,800.00
Government Communication and Information System (GCSI),Kungamandla Business Enterprise,Sanitising of the Queenstown Office,OR-092878,,6021.86
Government Communication and Information System (GCSI),CopyWorld,Footpedal hand sanitiser stand with sanitiser for the Provincial Office,OR-092797,,1600.00
Government Communication and Information System (GCSI),Kempston Cleaning Services,Deep cleaning and disinfecting of the Provincial Office,OR-092935,,1092.50
