TYPE OF SERVICE,ORDER NO,DATE,AMOUNT,SUPPLIER NAME
A&S/O/S:RESEARCHER,OR-092405,2020-06-08,146050.00,ASKAFRIKA
ADVERT:MARKETING,OR-092352,2020-05-13,15539.38,CUT TO BLACK MEDIA
ADVERT:MARKETING,OR-092352,2020-05-13,493889.06,CUT TO BLACK MEDIA
ADVERT:MARKETING,OR-092352,2020-05-13,347948.20,CUT TO BLACK MEDIA
ADVERT:MARKETING,OR-092351,2020-05-14,1178336.55,MOLIBIZ
ADVERT:MARKETING,OR-092733,2020-06-25,112597.65,HUFFING POST
ADVERT:MARKETING,OR-092747,2020-06-25,4173.90,LUVUNQ MEDIA
ADVERT:MARKETING,OR-092746,2020-06-25,143221.00,SAKHA UBOMI MARKETING AND EVENTS
ADVERT:MARKETING,OR-092741,2020-06-25,17825.00,BLKMERCURY
ADVERT:MARKETING,OR-092740,2020-06-25,34500.00,PLATINUM OUTDOOR MEDIA
ADVERT:MARKETING,OR-092015,2020-06-26,457987.50,MOTSWAKO MEDIA GROUP
ADVERT:MARKETING,OR-092352,2020-06-03,926066.25,CUT TO BLACK MEDIA
ADVERT:MARKETING,OR-092352,2020-06-04,254069.58,CUT TO BLACK MEDIA
ADVERT:MARKETING,OR-092815,2020-06-25,594547.70,E SAT TV
ADVERT:MARKETING,OR-092352,2020-06-25,962176.25,CUT TO BLACK MEDIA
ADVERT:MARKETING,OR-092747,2020-07-28,20700.00,LUVUNO MEDIA
ADVERT:MARKETING,OR-092746,2020-07-31,213795.35,SAKHA UBOMI MARKETING AND EVENTS
ADVERT:MARKETING,OR-092735,2020-07-31,34517.20,RIVONI ADVERTISING
ADVERT:MARKETING,OR-092753,2020-07-31,105820.80,WIDEOPEN PLATFORM
ADVERT:MARKETING,OR-092753,2020-07-31,34500.00,WIDEQPEN PLATFORM
ADVERT:MARKETING,OR-092740,2020-07-31,85000.00,PLATINUM OUTDOOR MEDIA
ADVERT:MARKETING,OR-092738,2020-07-31,171796.89,SONDLO & KNOPP ADVERTISING
ADVERT:MARKETING,OR-092750,2020-07-31,22310.00,OWAKHE MEDIA
ADVERT:MARKETING,OR-092595,2020-07-31,185950.17,E SAT TV
ADVERT:MARKETING,OR-092597,2020-07-31,1712304.00,SABC
ADVERT:MARKETING,OR-092597,2020-07-31,1142697.50,SABC
ADVERT:MARKETING,OR-092733,2020-07-31,184000.00,HUFFING POST
ADVERT:MARKETING,OR-092351,2020-07-29,973986.02,MOLIBIZ
ADVERT:MARKETING,OR-092595,2020-08-05,325611.00,E SAT TV
ADVERT:MARKETING,OR-092595,2020-08-05,239093.69,E SAT TV
ADVERT:MARKETING,OR-092748,2020-08-05,85675.00,HLUMA MDA
ADVERT:MARKETING,OR-092735,2020-08-05,155250.00,RIVONI ADVERTISING
ADVERT:MARKETING,OR-092750,2020-08-05,77050.00,OWAKHE MEDIA
ADVERT:MARKETING,OR-092743,2020-08-05,106181.50,ESONA COMMUNICATIONS
ADVERT:MARKETING,OR-092351,2020-08-05,83097.97,MOLIBIZ
ADVERT:PROMOTIONAL ITEMS,OR-092576,2020-06-19,25437.00,GRAPHIC LAMINATES
ADVERT:PROMOTIONAL ITEMS,OR-092795,2020-07-30,18550.00,AVANTAGE MERKITING
COM:RADIO & TV TRANSMISSIONS,OR-091970,2020-05-22,74750.00,QUALITY MEDICAL SUPPLIES
COM:RADIO & TV TRANSMISSIONS,OR-092174,2020-06-08,500595.00,SOUTH AFRICAN BROADCASTING CORPOR
COM:RADIO & TV TRANSMISSIONS,OR-092174,2020-06-08,1035000.00,SOUTH AFRICAN BROADCASTING CORPOR
COM:RADIO & TV TRANSMISSIONS,OR-092099,2020-06-08,1599999.60,SOUTH AFRICAN BROADCASTING CORPOR
COM:RADIO & TV TRANSMISSIONS,OR-092102,2020-06-11,414000.00,MVM MULTIMEDIA
COM:RADIO & TV TRANSMISSIONS,OR-092789,2020-06-15,460000.00,E SAT TV
COM:RADIO & TV TRANSMISSIONS,OR-092013,2020-06-15,215021.33,MEDIAMARK
COM:RADIO & TV TRANSMISSIONS,OR-092016,2020-06-19,619964.99,MSG GROUP SALES
COM:RADIC & TV TRANSMISSIONS ,OR-092099,2020-06-25,498870.00,SOUTH AFRICAN BROADCASTING CORPOR
COM:RADIO & TV TRANSMISSIONS ,OR-092011,2020-06-25,784602.45,PRIMEDIA
COM:RADIO & TV TRANSMISSIONS,OR-092011,2020-06-26,389801.70,PRIMEDIA
COM:RADIO & TV TRANSMISSIONS,OR-092473,2020-06-10,16000.00,NQUBEKO COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092481,2020-06-10,16000.00,ASERIEVISCOM
COM:RADIO & TV TRANSMISSIONS,OR-092490,2020-06-10,16000.00,RADIOKANSEL
COM:RADIO & TV TRANSMISSIONS,OR-092489,2020-06-10,16000.00,LIGWA FM
COM:RADIO & TV TRANSMISSIONS,OR-092495,2020-06-10,16000.00,AGANANG COMMUNITY RADIO STATION
COM:RADIO & TV TRANSMISSIONS,OR-092498,2020-06-10,16000.00,KANYAMAZANE COMMUNITY RADIO STAT
COM:RADIO & TV TRANSMISSIONS,OR-092507,2020-06-10,16000.00,MORETELE COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092508,2020-06-10,16000.00,RADIO MAFISA 93.4 FM
COM:RADIO & TV TRANSMISSIONS,OR-092509,2020-06-10,16000.00,RAINBOW COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092757,2020-06-11,16000.00,UNIVERSITY OF STELLENBOSCH
COM:RADIO & TV TRANSMISSIONS,OR-092496,2020-06-15,16000.00,RADIO TURF
COM:RADIO & TV TRANSMISSIONS,OR-092458,2020-06-19,16000.00,STAR FM 102.9 MHZ
COM:RADIO & TV TRANSMISSIONS,OR-092492,2020-06-19,16000.00,MKHONDO COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092477,2020-06-19,16000.00,INTOKOZO YE-NINGIZIMU COMMUNITY
COM:RADIO & TV TRANSMISSIONS,OR-092542,2020-06-19,16000.00,VUKANI COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092455,2020-06-19,16000.00,NONGOMA FM
COM:RADIO & TV TRANSMISSIONS,OR-092474,2020-06-19,16000.00,GIYANI COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092464,2020-06-19,16000.00,GOOD NEWS COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092541,2020-06-19,16000.00,IMPACT RADIO COMMERCIAL
COM:RADIO & TV TRANSMISSIONS,OR-092506,2020-06-19,16000.00,MMABATHO FM 107.7 MHZ
COM:RADIO & TV TRANSMISSIONS,OR-092478,2020-06-19,16000.00,INDONSAKUSA COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092479,2020-06-19,16000.00,1ISAJONISI YOUTH RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092502,2020-06-19,16000.00,CHRISTEN NETWERK MEDIA
COM:RADIO & TV TRANSMISSIONS,OR-092463,2020-06-19,16000.00,BUSHBUCKRIDGE COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092525,2020-06-25,16000.00,WHALE COAST FM
COM:RADIO & TV TRANSMISSIONS,OR-092516,2020-06-25,16000.00,MASIBAMBISANENI TSHWARANANG
COM:RADIO & TV TRANSMISSIONS,OR-092493,2020-06-25,16000.00,RISE FM
COM:RADIO & TV TRANSMISSIONS,OR-092491,2020-06-25,16000.00,EASTWAVE RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092482,2020-06-25,16000.00,LUKHANJI COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092234,2020-06-19,6000.00,NONGOMA FM
COM:RADIO & TV TRANSMISSIONS,OR-092238,2020-06-23,6000.00,UGU YOUTH RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092237,2020-06-23,6000.00,INDONSAKUSA COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092638,2020-07-20,16000.00,VAALTAR FM COMMUNITY RADIO STATIO
COM:RADIO & TV TRANSMISSIONS,OR-092860,2020-07-30,16000.00,VAAL UNIN OF TECHNOLOGY
COM:RADIO & TV TRANSMISSIONS,OR-092807,2020-07-20,6000.00,NQUBEKO COMMUNITY RADIO
COM:RADIO & TV TRANSMISSIONS,OR-092805,30/07/2020 30/07/2020 30/07/2020 30/07/2020 08/06/2020 08/06/2020 08/06/2020 09/06/2020 09/06/2020 03/06/2020 30/07/2020 30/07/2020 11/06/2020,6000.00,INTOKOZO FM
COM:RADIO & TV TRANSMISSIONS,OR-092809,2020-07-30,6070.68,MAPUTALAND COMM RADIO
