buyer_name,items_description,procurement_method,Procurement process followed,supplier_name,Purchase Date,order_amount_zar
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Biologica,07/04/2020,1332.50
The Presidency,Sanitizer,Off-shelf -procurement,Petty Cash,Blueblack,3/26/2020,1345.50
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Swaamstraat Pharmacy,3/29/2020,1488.00
The Presidency,Thermometer,Off-shelf -procurement,Petty Cash,Bernina Gezina,5/15/2020,1195.00
The Presidency,Funnel for Sanitizer,Off-shelf -procurement,Petty Cash,Westpak Lifestyle,05/05/2020,103.20
The Presidency,Stick-on note,Off-shelf -procurement,Petty Cash,PNA Loftus,05/05/2020,99.00
The Presidency,Stick-on note & Floor decals for social dis,Oanffc-isnhgelf -procurement,Petty Cash,Minuteman Press,5/13/2020,1499.23
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Msibi Hotel services,3/26/2020,1470.00
The Presidency,Sanitizer,Off-shelf -procurement,Petty Cash,Dischem,5/15/2020,134.85
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Dischem,5/15/2020,997.95
The Presidency,Gloves,Off-shelf -procurement,Petty Cash,Dischem,08/04/2020,299.90
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Dischem,08/04/2020,155.70
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Dischem,08/04/2020,279.30
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Dischem,08/04/2020,698.20
The Presidency,Masks,Off-shelf -procurement,Petty Cash,Dischem,5/14/2020,997.90
The Presidency,Thermometer,Off-shelf -procurement,Petty Cash,Bernina Gezina,5/15/2020,1195.00
The Presidency,Thermometer,Off-shelf -procurement,Petty Cash,S.Salie,08/05/2020,2000.00
The Presidency,Masks,Off-shelf -procurement,Petty Cash,KIS Clothing,06/05/2020,810.00
The Presidency,Sanitizer,Off-shelf -procurement,Petty Cash,Builders warehouse,06/05/2020,90.00
The Presidency,Gloves,Off-shelf -procurement,Petty Cash,Dischem,4/29/2020,299.90
The Presidency,Face Masks,Off-shelf -procurement,Petty Cash,Yinginaka creative Home,10/05/2020,1760.00
The Presidency,Thermometer,Off-shelf -procurement,Petty Cash,Bio Boy,08/05/2020,2000.00
The Presidency,faceshield,Off-shelf -procurement,Petty Cash,Signarama,5/13/2020,286.93
The Presidency,faceshield,Off-shelf -procurement,Petty Cash,M-kem medicin city,07/05/2020,134.97
The Presidency,hand sanitizer,Off-shelf -procurement,Petty Cash,Dis Chem,07/05/2020,519.97
The Presidency,Thermometer,Off-shelf -procurement,Petty Cash,Big Boy Crockery,09/05/2020,1750.00
The Presidency,Mask,Off-shelf -procurement,Petty Cash,Kis Clothing,11/05/2020,1350.00
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Bio Boy,12/05/2020,780.00
The Presidency,hand sanitizer,Off-shelf -procurement,Petty Cash,Dis Chem,6/18/2020,840.90
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Homewear lifestyle,09/07/2020,750.00
The Presidency,Mask,Off-shelf -procurement,Petty Cash,Rashiedas Mask,5/18/2020,1460.00
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,lifestyle Fabrics,6/23/2020,617.00
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Kenilworth,6/25/2020,801.80
The Presidency,Gloves,Off-shelf -procurement,Petty Cash,Dis Chem,6/24/2020,1310.50
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,lifestyle Fabrics,6/17/2020,1157.30
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Crazy Plastics,11/06/2020,279.93
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Linas Toys & Jewelry,08/06/2020,105.00
The Presidency,Stickers,Off-shelf -procurement,Petty Cash,Minuteman Press,09/06/2020,1499.23
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,West Pack Lifestyle,5/29/2020,159.20
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Plastic R US,02/06/2020,1000.00
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Makro,05/06/2020,351.00
The Presidency,hand sanitizer,Off-shelf -procurement,Petty Cash,G-FOX PTY LTD,03/06/2020,756.70
The Presidency,hand sanitizer,Off-shelf -procurement,Petty Cash,Health Services pty ltd,03/06/2020,1380.00
The Presidency,Spray bottles,Off-shelf -procurement,Petty Cash,Health Services pty ltd,03/06/2020,322.00
The Presidency,Funnel,Off-shelf -procurement,Petty Cash,Osbro Cash & Carry,03/06/2020,14.00
