,,,,,,
,,,,,,
,,,,,,
,,,,,,
Costs  on Covid-19 Activities,,,,,,
Entities,"Date of
appointment",Goods/Services,"Procurement
process","Company
appointed",Value,
,,,,,,
ASB,28-May-20,COVID-19 Posters,Qutations,UVO Communications ,R414.00,
,,,,,,
,"Top up for May, Jun & July ",MTN Topup Data - Remote working ,Excisting contract ,MTN,"R2,104.00",
,,,,,,
,15-Jul-20,Zoom Virtual meetings license ,,"

ZOOM",R259.29,
,,,,,,
,"


30-Jun-20",Printer Cardridge-Working remotely,,,"


R229.00",
,,,,,,
,Total,,,,"R3,006.29",
,,,,,,
,,,,,,
,,,,,,
CBDA,No costs incurred for Covid-19 related activities,,,,,
,,,,,,
,,,,,,
FAIS,29-Apr-20,"Disinfection, sanitation, fumigation and deep cleaning of the office for a period of 6 months ",Deviation (One supplier responded to our request) ,Masana Hygiene Services (Pty) Ltd (2014/110265/07) ,"R90,098.00",
,,,,,,
,2020-07-21,Emergency disinfection of the office (New Covid19 Case),Request for quotation sent out to various potential bidders and one bidder responded to our request for quotation.,Masana Hygiene Services (Pty) Ltd (2014/110265/07),"R8,991.85",
,,,,,,
,Total,,,,"99,089.85",
,,,,,,
,,,,,,
,,,,,,
FFC,19-Mar-20,Disinfecting- both Midrand & Capetown ,RFQ,FP Hygiene,"R58,765.00",
,,,,,,
,10-Jul-20,Temporal cleaning-Midrand ,RFQ,Impact soft cleaning ,"R34,019.76",
,,,,,,
,"

10-Jul-20",Temporal cleaning-Capetown office,"

RFQ",Motshwari cleaning services,"

R9,494.40",
,,,,,,
,Total,,,,"R102,279.16",
,,,,,,
,,,,,,
,,,,,,
FIC,21-May-20,Office Disinfection HO,RFQ,Cleaning Specialist t/a RND Amalgamated ,"R15,190.35",
,,,,,,
,10-Jun-20,Surface Sanitiser,RFQ,Madiba Promotions ,"R14,398.00",
,,,,,,
,23-Jun-20,CPT Office disinfection ,RFQ,Zara Cleaning services ,"R11,150.00",
,,,,,,
,"


14-Jul-20",Office Disinfection HO,"


Emergency",Cleaning Specialist t/a RND Amalgamated,"


R15,420.35",
,,,,,,
,Total,,,,"R56,158.70",
,,,,,,
,,,,,,
,,,,,,
FSCA,4-May-20,Sanitizing/Disinfecting 2 x FSCA Buildings ,Procurement from existing hygiene services contract,Masana Hygiene Services Masana (PTY)Ltd ,"R21,722.58",
,,,,,,
,5-May-20,Sanitation of FST Building - Kasteel Office Park ,Procurement from existing hygiene services contract,Masana Hygiene,"R4,328.03",
,,,,,,
,"

9-Jul-20",Sanitizing/Disinfecting the FSCA Buildings (Block B & C),Procurement from existing hygiene services contract,Masana Hygiene Services Masana (PTY)Ltd,"

R21,722.00",
,,,,,,
,Total,,,,"R47,772.61",
,,,,,,
,,,,,,
,,,,,,
