buyer_name,implementation_location_facility,supplier_name,central_supplier_database_number,director_names,director_surnames,implementation_location_other,implementation_location_district_municipality,implementation_location_province,MONTH,order_amount_zar
Eastern Cape Department of Health (DOH),Victoria Hospital Phase 2,"2KS Construction and
Projects",MAAA0023656,Odwa,Matshaya,East London,Buffalo City,Eastern Cape,April,992105.00
Eastern Cape Department of Health (DOH),Ngqamakhwe CMH,Antivirus Trading,MAAA0168868,Mongezi,Ngxotho,Butterworth,Amathole,Eastern Cape,April,143246.40
Eastern Cape Department of Health (DOH),Sir Henry (Mthatha General),Athindura Trading,MAAA0101831,Qiqa Tembelani,Mpiti,Bizana,Alfred Nzo,Eastern Cape,April,1799931.01
Eastern Cape Department of Health (DOH),Sir Henry,Athindura Trading,MAAA0101831,Qiqa Tembelani,Mpiti,Bizana,Alfred Nzo,Eastern Cape,April,5868223.74
Eastern Cape Department of Health (DOH),Zithulele Hospital,Botani Construction,MAAA0057056,"Tsepo
Asanda","Hlanjwa
Hlanjwa",Cofimvaba,Chris Hani,Eastern Cape,April,977511.50
Eastern Cape Department of Health (DOH),Midlands Hospital,Esotho Trading,MAAA0121786,Samora,Madikane,East London,Buffalo City,Eastern Cape,April,1359316.00
Eastern Cape Department of Health (DOH),Frontier Hospital,"Evermore Engineering and
Projects",MAAA0610078,Glenda Ntombikayise,Madikane,Engcobo,Chris Hani,Eastern Cape,April,395489.00
Eastern Cape Department of Health (DOH),Cecilia Makiwane,Gardens to Floors,MAAA0306331,Vuyokazi,Qusheka,East London,Buffalo City,Eastern Cape,April,707400.00
Eastern Cape Department of Health (DOH),Cecilia Makiwane Phase 2,Gardens to Floors,MAAA0306331,Vuyokazi,Qusheka,East London,Buffalo City,Eastern Cape,April,2791995.17
Eastern Cape Department of Health (DOH),Empilisweni Hospital,Imvusa Trading 491,MAAA0117866,Asanda Nolubabalo,Sobekwa,East London,Buffalo City,Eastern Cape,April,5634146.70
Eastern Cape Department of Health (DOH),Butterworth,"Mabija Building and Civil
Construction",MAAA0030983,lunga,mabija,East London,Buffalo City,Eastern Cape,April,2478856.05
Eastern Cape Department of Health (DOH),Madzikane-ka-Zulu,Mabuz Buzwana Holdings,MAAA0128096,Khayalethu,Nyembezi,Mt Ayliff,Alfred Nzo,Eastern Cape,April,332916.50
Eastern Cape Department of Health (DOH),Dora Ngindza,"Mathew and Sons
Construction",MAAA0101841,Martin Mathew,Mgidi,Mthatha,O.R.Tambo,Eastern Cape,April,317405.75
Eastern Cape Department of Health (DOH),St Barnabas,Milibo Trading and Projects,MAAA0087126,Victor,Sigcau,Lusikisiki,O.R.Tambo,Eastern Cape,April,2819941.16
Eastern Cape Department of Health (DOH),Grey Hospital,"Mom and Daughters Trading
Enterprises",MAAA0055002,Lulekwa Veronica,Bobo,East London,Buffalo City,Eastern Cape,April,461989.50
Eastern Cape Department of Health (DOH),Victoria Hospital,NLG Group,MAAA0146558,Ndimphiwe,Gqweta,East London,Buffalo City,Eastern Cape,April,664501.74
Eastern Cape Department of Health (DOH),SS Gida Hospital,Nontembiso Projects,MAAA0081463,Zingisani Lawrence,Mpendu,East London,Buffalo City,Eastern Cape,April,283237.24
Eastern Cape Department of Health (DOH),Isilimela Hospital,Noziqonga Trading,MAAA0081928,Buntukazi,Makubalo,Ngqeleni,O.R.Tambo,Eastern Cape,April,915705.90
Eastern Cape Department of Health (DOH),Joubertina Hospital,Odwa and Solie,MAAA0071783,Solam Sylvester,Mgqobozi,Indwe,Chris Hani,Eastern Cape,April,2323000.00
Eastern Cape Department of Health (DOH),St Elizabeth Phase 2,Phalela Construction,MAAA0784459,Thobile,lugwadu,Port St Johns,OR Tambo,Eastern Cape,April,487699.00
Eastern Cape Department of Health (DOH),Maclear Hospital,Sakhe Construction,MAAA0357284,Fikile,Kango,Mthatha,OR Tambo,Eastern Cape,April,3671864.90
Eastern Cape Department of Health (DOH),Humansdorp Hospital,Simunye Developers,MAAA0158487,Mandla,Dlokweni,East London,Buffalo City,Eastern Cape,April,3506350.00
Eastern Cape Department of Health (DOH),Dora Ngindza Phase 2,"Skhothahla Construction and
Investment",MAAA0064745,Ntombizandile Euginia,Tyibilika,Kabaga Park,Nelson Mandela,Eastern Cape,April,5065261.00
Eastern Cape Department of Health (DOH),Nompumelelo Hospital,SNZN Construction,MAAA0347201,Zona,Ningiza,East London,Buffalo City,Eastern Cape,April,254237.00
Eastern Cape Department of Health (DOH),Taylour Bequest,SQT Construction and Civils,MAAA0178439,"Bukiwe
Phumeza","Sipunzi
Mpengesi",East London,Buffalo City,Eastern Cape,April,1655855.00
Eastern Cape Department of Health (DOH),Mt Ayliff Hospital,SQT Construction and Civils,MAAA0178439,"Bukiwe
Phumeza","Sipunzi
Mpengesi",East London,Buffalo City,Eastern Cape,April,2188335.00
Eastern Cape Department of Health (DOH),Bambisana Hospital,Thiyane Contractors,MAAA0038541,Ntsika,Siyongwana,Butterworth,Amathole,Eastern Cape,April,5804729.33
Eastern Cape Department of Health (DOH),St Elizabeth,Vitsha Trading,MAAA0203452,Vitsha,Swana,Flagstaff,OR Tambo,Eastern Cape,April,844991.25
Eastern Cape Department of Health (DOH),Bambisana Hospital Phase 2,"Zamatita Construction and
Projects",MAAA0084253,Thuli,Mnguni,Lusikisiki,OR Tambo,Eastern Cape,April,448160.00
Eastern Cape Department of Health (DOH),Madwaleni Hospital,Anopha Design ARC,MAAA0091965,"Rangarirai
Mfundo Andrew
James","Muchabaiwa
Dosi
Mwanjira",East London,Buffalo City,Eastern Cape,May,19735588.37
Eastern Cape Department of Health (DOH),Willomore Hospital,Erivision Pty Ltd,MAAA0004311,Malibongwe,Lusasa,Port Elizabeth,Nelson Mandela,Eastern Cape,May,1506560.85
Eastern Cape Department of Health (DOH),Bambisana Hospital Phase 3,Khanya Trading and Projects,MAAA0722652,Okhanyo,Qokweni,Lusikisiki,OR Tambo,Eastern Cape,May,124792.25
Eastern Cape Department of Health (DOH),St Lucy Hospital,PDN Afrika JV,MAAA0887659,Nkosiphendule,Ntsebenza,East London,Buffalo City,Eastern Cape,May,39672526.13
Kwa- Zulu Natal Department of Health (DOH),Mlamlii Hospital,Qhakaza Africa Consulting,MAAA0338677,Mandisa Princess,Daki,Durban,Ethekwini,Kwa- Zulu Natal,May,43769699.41
Eastern Cape Department of Health (DOH),"Nompumelelo Hospital Phase
2",SNZN Construction,MAAA0347201,Zona,Ningiza,East London,Buffalo City,Eastern Cape,May,730716.02
Eastern Cape Department of Health (DOH),Aliwal North Hospital,Stermount Projects,MAAA0001581,Linda,Matshabane,East London,Buffalo City,Eastern Cape,May,31203516.52
Eastern Cape Department of Health (DOH),Komani Hospital Phase 1,Cycle Civil and Projects,MAAA0046888,Siyabulela,Ntsanda,Mthatha,OR Tambo,Eastern Cape,June,5344036.01
Eastern Cape Department of Health (DOH),Empilweni Hospital,Goavect,MAAA0128209,Lesley Loyiso,Ndaleni,Port Elizabeth,Nelson Mandela,Eastern Cape,June,4889649.35
Eastern Cape Department of Health (DOH),"Taylor Bequest Hospital:
Matatiele",Imbono Architects,MAAA0430541,"Basil Paul
Philasande Sakhiwo Betra
Hubert Ludwig
Jan Malan Fjord","Buss
Jdo lobe
Sieg
Jordaan",Mthatha,OR Tambo,Eastern Cape,June,24923284.73
Eastern Cape Department of Health (DOH),"Isilimela Hospital, Port St
Johns",JVPS Trading Enterprise,MAAA0700134,"Johannes
Phineas Malesela
Vino Malesela","Papo
Sekhaolelo
Makgotla",Mthatha,OR Tambo,Eastern Cape,June,1691428.00
Eastern Cape Department of Health (DOH),"St Barnabas Hospital, Libode","Khethekanye Trading and
Projects 347",MAAA0157691,Loyiso Asanda,Maqabuka,Ngqeleni,OR Tambo,Eastern Cape,June,784362.67
Eastern Cape Department of Health (DOH),"Sir Henry Elliot Hospital,
Mthatha",Magz Projects,MAAA0417521,Anda,Magwentshu,Mthatha,OR Tambo,Eastern Cape,June,2731787.34
Eastern Cape Department of Health (DOH),Frere Hospital : East London,"Mathew and Sons
Construction",MAAA0101841,Martin Mathew,Mgidi,"King Williams
Town",Buffalo City,Eastern Cape,June,6578916.55
Gauteng Department of Health (DOH),"Nessie Knight Hospital:
Qumbu",Mayibuye i-Afrika Trading,MAAA0353313,Simthembile,Bantubani,Midrand,Gauteng,Gauteng,June,5291616.90
Eastern Cape Department of Health (DOH),"Isilimela Hospital, Port St
Johns","McCauley Trading and
Construction",MAAA0138240,"Lennox Nkosayitenjwa
Tembalethu
Odwa
Welile","Banti
Ntsentse
Msindiswa
Cezula",Port St Johns,OR Tambo,Eastern Cape,June,364840.00
Eastern Cape Department of Health (DOH),"Dr Malizompehle Hosiptal,
Tsolo",MRQ Contractrors,MAAA0095937,"Madora Richard
Lelethu","Qangani
Qangani",Mthatha,OR Tambo,Eastern Cape,June,4948162.20
Eastern Cape Department of Health (DOH),All Saints Hospital,"Oguyonke Catering and
Construction",MAAA0891741,Mokhata,Sekhibidu,Ezibeleni SP,Chris Hani,Eastern Cape,June,6402652.03
Eastern Cape Department of Health (DOH),"Orsmond Hospital: Sarah
Baartman","Oxegon Electrical and
Maintenance",MAAA0925931,Xolani,Mogane,Port Elizabeth,Nelson Mandela,Eastern Cape,June,3036752.30
Eastern Cape Department of Health (DOH),Winterberg TB Hospital,Pandani Construction,MAAA0885602,Nhlanhla,Kolele,East London,Buffalo City,Eastern Cape,June,3548491.75
Eastern Cape Department of Health (DOH),"Hewu Hospital, Whittlesea",Silver Star Trading 437,MAAA0289282,"Molly
Getrude Nomsebenzi","Ntsaluba
Busakwe",Queenstown,Chris Hani,Eastern Cape,June,4104375.82
Eastern Cape Department of Health (DOH),"Livingstone Hospital, Port
Elizabeth","SNZN JV Imbumba
Development",MAAA0699912,Zona,Ningiza,East London,Buffalo City,Eastern Cape,June,11656006.93
Eastern Cape Department of Health (DOH),Glen Grey : Lady Frere,"Waving High Trading and
Projects",MAAA0084481,Lusapho,Mzwakali,Queenstown,Chris Hani,Eastern Cape,June,5425180.87
Eastern Cape Department of Health (DOH),"Butterworth Nurses Home
Hospital","Avumile Business
Investments",MAAA0067655,Vumile,Mtyobele,East London,Buffalo City,Eastern Cape,July,7890541.00
Eastern Cape Department of Health (DOH),Bhisho Hospital,"BNN Construction/ Sage
Wise 1221",MAAA0391217,Batandwa,Tungata,East London,Buffalo City,Eastern Cape,July,6998594.22
Eastern Cape Department of Health (DOH),Nkqubela Hospital,Botani Construction,MAAA0057056,Tsepo,Hlanjwa,Cofimvaba,Chris Hani,Eastern Cape,July,4838909.92
Gauteng Department of Health (DOH),"Medical Gas: Cecelia
Makiwane Hospital",Bull and Bush Engineering,MAAA0017751,Mzwakhe Gerald,Smith,Midrand,Gauteng,Gauteng,July,1134799.88
Eastern Cape Department of Health (DOH),Bambisana Hospital,"Cape to Cairo Investments
Pty Ltd",MAAA0016765,Phathuxolo Tobelikaya,Daniso,Mthatha,OR Tambo,Eastern Cape,July,761910.00
Eastern Cape Department of Health (DOH),Duncan Village Clinic,ECY Construction,MAAA0927201,Jeanette Malikonopo,Motuba,East London,Buffalo City,Eastern Cape,July,1144671.80
Eastern Cape Department of Health (DOH),Bedford Hospital,Enkosi Mandela Dev,MAAA0172092,Martin Mathew,Mgidi,Mthatha,OR Tambo,Eastern Cape,July,4754442.65
