buyer_name,implementation_location_province,Month,implementation_location_facility,supplier_name,order_amount_zar
Eastern Cape Provincial Government ,Eastern Cape,April,Bambisana Hospital,Thiyane Contractors,5804729.33
Eastern Cape Provincial Government ,Eastern Cape,April,Bambisana Hospital Phase 2,Zamatita Construction and Projects,448160.00
Eastern Cape Provincial Government ,Eastern Cape,April,Butterworth,Mabija Building and Civil Construction,2478856.05
Eastern Cape Provincial Government ,Eastern Cape,April,Cecilia Makiwane,Gardens to Floors,707400.00
Eastern Cape Provincial Government ,Eastern Cape,April,Cecilia Makiwane Phase 2,Gardens to Floors,2791995.17
Eastern Cape Provincial Government ,Eastern Cape,April,Dora Ngindza,Mathew and Sons Construction,317405.75
Eastern Cape Provincial Government ,Eastern Cape,April,Dora Ngindza Phase 2,Skhothahla Construction and Investment,5065261.00
Eastern Cape Provincial Government ,Eastern Cape,April,Empilisweni Hospital,Imvusa Trading 491,5634146.70
Eastern Cape Provincial Government ,Eastern Cape,April,Frontier Hospital,Evermore Engineering and Projects,395489.00
Eastern Cape Provincial Government ,Eastern Cape,April,Grey Hospital,Mom and Daughters Trading Enterprises,461989.50
Eastern Cape Provincial Government ,Eastern Cape,April,Humansdorp Hospital,Simunye Developers,3506350.00
Eastern Cape Provincial Government ,Eastern Cape,April,Isilimela Hospital,Noziqonga Trading,915705.90
Eastern Cape Provincial Government ,Eastern Cape,April,Joubertina Hospital,Odwa and Solie,2323000.00
Eastern Cape Provincial Government ,Eastern Cape,April,Maclear Hospital,Sakhe Construction,3671864.90
Eastern Cape Provincial Government ,Eastern Cape,April,Madzikane-ka-Zulu,Mabuz Buzwana Holdings,332916.50
Eastern Cape Provincial Government ,Eastern Cape,April,Midlands Hospital,Esotho Trading,1359316.00
Eastern Cape Provincial Government ,Eastern Cape,April,Mt Ayliff Hospital,SQT Construction and Civils,2188335.00
Eastern Cape Provincial Government ,Eastern Cape,April,Ngqamakhwe CMH,Antivirus Trading,143246.40
Eastern Cape Provincial Government ,Eastern Cape,April,Nompumelelo Hospital,SNZN Construction,254237.00
Eastern Cape Provincial Government ,Eastern Cape,April,Sir Henry,Athindura Trading,5868223.74
Eastern Cape Provincial Government ,Eastern Cape,April,Sir Henry (Mthatha General),Athindura Trading,1799931.01
Eastern Cape Provincial Government ,Eastern Cape,April,SS Gida Hospital,Nontembiso Projects,283237.24
Eastern Cape Provincial Government ,Eastern Cape,April,St Barnabas,Milibo Trading and Projects,2819941.16
Eastern Cape Provincial Government ,Eastern Cape,April,St Elizabeth,Vitsha Trading,844991.25
Eastern Cape Provincial Government ,Eastern Cape,April,St Elizabeth Phase 2,Phalela Construction,487699.00
Eastern Cape Provincial Government ,Eastern Cape,April,Taylour Bequest,SQT Construction and Civils,1655855.00
Eastern Cape Provincial Government ,Eastern Cape,April,Victoria Hospital,NLG Group,664501.74
Eastern Cape Provincial Government ,Eastern Cape,April,Victoria Hospital Phase 2,2KS Construction and Projects,992105.00
Eastern Cape Provincial Government ,Eastern Cape,April,Zithulele Hospital,Botani Construction,977511.50
Eastern Cape Provincial Government ,Eastern Cape,May,Aliwal North Hospital,Stermount Projects,31203516.52
Eastern Cape Provincial Government ,Eastern Cape,May,Bambisana Hospital Phase 3,Khanya Trading and Projects,124792.25
Eastern Cape Provincial Government ,Eastern Cape,May,Madwaleni Hospital,Anopha Design ARC,19735588.37
Eastern Cape Provincial Government ,Eastern Cape,May,Mlamlii Hospital,Qhakaza Africa Consulting,43769699.41
Eastern Cape Provincial Government ,Eastern Cape,May,Nompumelelo Hospital Phase 2,SNZN Construction,730716.02
Eastern Cape Provincial Government ,Eastern Cape,May,St Lucy Hospital,PDN Afrika JV,39672526.13
Eastern Cape Provincial Government ,Eastern Cape,May,Willomore Hospital,Erivision Pty Ltd,1506560.85
Eastern Cape Provincial Government ,Eastern Cape,June,All Saints Hospital,Oguyonke Catering and Construction,6402652.03
Eastern Cape Provincial Government ,Eastern Cape,June,"Dr Malizompehle Hosiptal, Tsolo",MRQ Contractrors,4948162.20
Eastern Cape Provincial Government ,Eastern Cape,June,Empilweni Hospital,Goavect,4889649.35
Eastern Cape Provincial Government ,Eastern Cape,June,Frere Hospital : East London,Mathew and Sons Construction,6578916.55
Eastern Cape Provincial Government ,Eastern Cape,June,Glen Grey : Lady Frere,Waving High Trading and Projects,5425180.87
Eastern Cape Provincial Government ,Eastern Cape,June,"Hewu Hospital, Whittlesea",Silver Star Trading 437,4104375.82
Eastern Cape Provincial Government ,Eastern Cape,June,"Isilimela Hospital, Port St Johns",JVPS Trading Enterprise,1691428.00
Eastern Cape Provincial Government ,Eastern Cape,June,"Isilimela Hospital, Port St Johns",McCauley Trading and Construction,364840.00
Eastern Cape Provincial Government ,Eastern Cape,June,Komani Hospital Phase 1,Cycle Civil and Projects,5344036.01
Eastern Cape Provincial Government ,Eastern Cape,June,"Livingstone Hospital, Port Elizabeth",SNZN JV Imbumba Development,11656006.93
Eastern Cape Provincial Government ,Eastern Cape,June,Nessie Knight Hospital: Qumbu,Mayibuye i-Afrika Trading,5291616.90
Eastern Cape Provincial Government ,Eastern Cape,June,Orsmond Hospital: Sarah Baartman,Oxegon Electrical and Maintenance,3036752.30
Eastern Cape Provincial Government ,Eastern Cape,June,"Sir Henry Elliot Hospital, Mthatha",Magz Projects,2731787.34
Eastern Cape Provincial Government ,Eastern Cape,June,"St Barnabas Hospital, Libode",Khethekanye Trading and Projects 347,784362.67
Eastern Cape Provincial Government ,Eastern Cape,June,Taylor Bequest Hospital: Matatiele,Imbono Architects,24923284.73
Eastern Cape Provincial Government ,Eastern Cape,June,Winterberg TB Hospital,Pandani Construction,3548491.75
Eastern Cape Provincial Government ,Eastern Cape,July,Adelaide Hospital,Thowamvu Trading,5171922.09
Eastern Cape Provincial Government ,Eastern Cape,July,Bambisana Hospital,Cape to Cairo Investments Pty Ltd,761910.00
Eastern Cape Provincial Government ,Eastern Cape,July,Bambisana Hospital: Covered walkway,Phumelela Consultancy,458160.00
Eastern Cape Provincial Government ,Eastern Cape,July,Bedford Hospital,Enkosi Mandela Dev,4754442.65
Eastern Cape Provincial Government ,Eastern Cape,July,Bhisho Hospital,BNN Construction/ Sage Wise 1221,6998594.22
Eastern Cape Provincial Government ,Eastern Cape,July,Burgersdorp Hospital,Lakhaza Construction,3536556.26
Eastern Cape Provincial Government ,Eastern Cape,July,Butterworth Nurses Home Hospital,Avumile Business Investments,7890541.00
Eastern Cape Provincial Government ,Eastern Cape,July,Cala Hospital,Lathitha Construction & Services,6772937.54
Eastern Cape Provincial Government ,Eastern Cape,July,Canzibe Hospital,Intlangule 86 Trading cc,8848725.00
Eastern Cape Provincial Government ,Eastern Cape,July,Dora Nginza,Willie Greef Trust,33548878.85
Eastern Cape Provincial Government ,Eastern Cape,July,Dordrecht Hospital,Khumbeni Construction and Trading,4805144.45
Eastern Cape Provincial Government ,Eastern Cape,July,Duncan Village Clinic,ECY Construction,1144671.80
Eastern Cape Provincial Government ,Eastern Cape,July,Frere Hospital,SQT Construction and Civils,48818261.23
Eastern Cape Provincial Government ,Eastern Cape,July,Isilimela Hospital,Konstruct SGN Pty Ltd,5714475.40
Eastern Cape Provincial Government ,Eastern Cape,July,Komani Hospital,Vitsha Trading cc,13726961.67
Eastern Cape Provincial Government ,Eastern Cape,July,Komga Hospital,NLG Group,3394371.86
Eastern Cape Provincial Government ,Eastern Cape,July,Lady Grey Hospital,Iinchali Trading cc,4929092.00
Eastern Cape Provincial Government ,Eastern Cape,July,Madzikane Ka Zulu,LKG Group,1944855.20
Eastern Cape Provincial Government ,Eastern Cape,July,Majorie Parrish Hospital,Star Time Trading cc,7012254.95
Eastern Cape Provincial Government ,Eastern Cape,July,Medical Gas: Cecelia Makiwane Hospital,Bull and Bush Engineering,1134799.88
Eastern Cape Provincial Government ,Eastern Cape,July,Mjanyane Hospital,Nobantu Contracting and Projects,6783551.21
Eastern Cape Provincial Government ,Eastern Cape,July,Mthatha General Hospital,TICA Consultants Pty Ltd,48365041.80
Eastern Cape Provincial Government ,Eastern Cape,July,Nkqubela Hospital,Botani Construction,4838909.92
Eastern Cape Provincial Government ,Eastern Cape,July,Sawas Hospital,Lezmin 1204,8569718.70
Eastern Cape Provincial Government ,Eastern Cape,July,Siphethu Hospital,Siza Kancane Trading Enterprise 72,14470536.00
Eastern Cape Provincial Government ,Eastern Cape,July,Sir Henry Phase II,Freemason Construction,6880804.00
Eastern Cape Provincial Government ,Eastern Cape,July,St Elizabeth Hospital,Zeezee Khula Trading Pty Ltd,2938542.00
Eastern Cape Provincial Government ,Eastern Cape,July,Steynsburg Hospital,Kinex Power Projects,14875999.80
Eastern Cape Provincial Government ,Eastern Cape,July,Stutterheim Hospital,Safika Construction,11587843.72
Eastern Cape Provincial Government ,Eastern Cape,July,Tafalofefe Hospital,Imivuzo Trading,4735746.00
