implementation_location_province,buyer_name,Department,supplier_name,order_amount_zar
Eastern Cape,COEGA Development Corporation (CDC),COEGA Development Corporation (CDC),BEE SMART TRADERS,2337.5
Eastern Cape,COEGA Development Corporation (CDC),COEGA Development Corporation (CDC),HEALTH FOR ALL PTY LTD,554400
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),AMATOLA CLEANING SUPPLIES,285135.98
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),Evergreen Latex,49850
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),Faku Investigation & Assesors,18846
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),Promed Technologies,16200
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),TIME Clothing,53174.16
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),Tripple N Medical Distributors (Pty) LTD,163085.52
Eastern Cape,Eastern Cape Department of Cooperative Governance and Traditional Affairs (CoGTA),Department of Cooperative Governance and Traditional Affairs (CoGTA),Zepzamo Trading,100400
Eastern Cape,"Eastern Cape Department of Economic Development, Environmental Affairs and Tourism (DEDEAT)","Department of Economic Development, Environmental Affairs and Tourism (DEDEAT)",Alon Trading,24284
Eastern Cape,"Eastern Cape Department of Economic Development, Environmental Affairs and Tourism (DEDEAT)","Department of Economic Development, Environmental Affairs and Tourism (DEDEAT)",Lugaju Innovation,167380
Eastern Cape,Eastern Cape Department of Human Settlements (DHS),Department of Human Settlements (DHS),ALLENCO MEDICAL AND DENTAL SUPPLIERS,24897.5
Eastern Cape,Eastern Cape Department of Human Settlements (DHS),Department of Human Settlements (DHS),Ditsibi Procurement,312841.02
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),707 PROJRCTS AND CONSTRUCTIONS,1758628.74
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ABSOLUTE VISION TRADING ENTERPRISE CC,2828722.84
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AFRICAN COMPASS TRADING 342 CC,1527537
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AFRIKA MZALIWETHU PROJECTS,1694568.25
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AFRIKA RISE INVESTMENTS (PTY) LTD,3175212.99
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AFRO LIVE LINE CONTRACTOR (PTY) LTD,2381261.48
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AKIBAR TRADING AND PROJECTS,2371180.15
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ALAKANI HOLDINGS (PTY) LTD,1718520.22
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ALINANI TRADING,2785275.8
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),ALZ Printing and Stationery Shop (Pty) Ltd,1898071
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMABONGWE BUILDING AND CIVIL,1904316.04
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMAHLUNGU CIVIL,1541832.68
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMANDL'ENTOMBI TRADING & PROJECTS (PTY)LTD,2222371.83
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMANYAWUZA TRADING AND DEVELOPMENT (PTY) LTD,2225049.52
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMINA CHEM (PTY)LTD,1158844.91
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMKELWE TRADING,2028696.91
Eastern Cape,Eastern Cape Department of Education (DOE),Department of Education (DOE),AMPLIFY VENTURES (PTY) LTD,2377702.39
