TABLE,NAME OF SERVICE PROVIDER (S),CSD NUMBER,B-BBEE status level of contributor,Award Amount
SCMQ 1/2020/ 2021,Aframed,MAAA0338949,1,"R5,603,007.00"
SCMQ 1/2020/ 2021,Godinako JT,MAAA0861581,1,"R2,100,000.00"
SCMQ 1/2020/ 2021,Hero Investments 1,MAAA0573605,1,"R1,293,300.00"
SCMQ 1/2020/ 2021,SLX Trading,MAAA0551025,1,"R882,180.00"
SCMQ 1/2020/ 2021,Seholoholo Trading,MAAA0169607,1,"R570,500.00"
SCMQ 1/2020/ 2021,C Squared Consumer Connectedness,MAAA0039236,1,"R4,914,495.75"
SCMQ 1/2020/ 2021,Matla a Basadi,MAAA0681105,1,"R790,400.00"
SCMQ 2 /2020/ 2021,MISTICO,MAAA0745899,1,"R457,926.00"
SCMQ 2 /2020/ 2021,PRODEK,MAAA0499495,1,"R98,127.00"
SCMQ 2 /2020/ 2021,Tlolo Moruong,MAAA0021509,1,"R457,.926.00"
SCMQ 2 /2020/ 2021,JOSE V20-70L DISTRIBUTORS,MAAA0081921,1,"R457,800.00"
SCMQ 2 /2020/ 2021,Lesole Agencies,MAAA0231068,1,"R457,926.00"
SCMQ 2 /2020/ 2021,Xhibit It,MAAA0275519,1,"R711,000.00"
SCMQ 3 /2020/ 2021,RAL Events,MAAA0138076,1,"R1,081,600.00"
SCMQ 5 /2020/ 2021,Bahurutsi Projects,MAAA0580732,1,"R5,960,819.26"
SCMQ 5 /2020/ 2021,Oracle Media Group,MAAA0827549,1,"R1,776,071.76"
SCMQ 5 /2020/ 2021,Mayula procurement and property management,MAAA0124409,1,"R902,700.00"
SCMQ 5 /2020/ 2021,Kutlo Consulting and Projects,MAAA0783678,1,"R4,568,340.80"
SCMQ 5 /2020/ 2021,Bongani Manci projects Solutions,MAAA0358015,Non Contributor,"R1,713,600.00"
SCMQ 5 /2020/ 2021,Iperekeleng Business enterprise,MAAA0499673,1,"R4,528,084.80"
SCMQ 5 /2020/ 2021,MT Motsemme,MAAA0592074,1,"R1,207,730.00"
SCMQ 5 /2020/ 2021,Legends 8079,MAAA0790195,1,"R534,410.00"
SCMQ 5 /2020/ 2021,Lekeno Trading 511,MAAA0133140,1,"R2,238,410.00"
SCMQ 5 /2020/ 2021,Phehla Umsebenzi trading 229,MAAA0382223,1,"R617,807.60"
SCMQ 5 /2020/ 2021,Wingilux,MAAA0548337,1,"R4,854,104.40"
SCMQ 5 /2020/ 2021,Free Tribe Development Pty Ltd,MAAA0574152,2,"R1,936,314.00"
SCMQ 5 /2020/ 2021,Iceburg Group (PTY) Ltd,MAAA0319319,1,"R4,578,639.80"
SCMQ 5 /2020/ 2021,K-L-A-K  Trading,MAAA0157656,1,"R4,374,300.00"
SCMQ 5 /2020/ 2021,Newtongate,MAAA0857619,1,"R4,784,000.00"
SCMQ 5 /2020/ 2021,Patrick Investments,MAAA0099328,1,"R5,014,461.60"
SCMQ 5 /2020/ 2021,Century Projects,MAAA0902263,1,"R1,693,150.00"
SCMQ 5 /2020/ 2021,FNBrand 828,MAAA0495925,1,"R5,164,331.60"
SCMQ 5 /2020/ 2021,Ignite Services,MAAA0320159,1,"R4,267,200.00"
SCMQ 5 /2020/ 2021,Ketha Incorporate,MAAA0023416,1,"R3,393,808.16"
SCMQ 5 /2020/ 2021,Le di Phaka Phaka,MAAA0902073,1,"R1,009,375.00"
SCMQ 5 /2020/ 2021,Lekhetho and Sons,MAAA0520078,1,"R2,248,010.00"
SCMQ 5 /2020/ 2021,Letlalo Events Management,MAAA0028681,1,"R2,456,160.00"
SCMQ 5 /2020/ 2021,Marvel Deeds,MAAA0432801,1,"R427,221.20"
SCMQ 5 /2020/ 2021,Motheko Projects,MAAA0264061,1,"R2,292,500.00"
