implementation_location_province,buyer_name,order_number,supplier_name,central_supplier_database_number,bbbee_status,order_amount_zar
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,Aframed,MAAA0338949,1,5603007
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,Godinako JT,MAAA0861581,1,2100000
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,Hero Investments 1,MAAA0573605,1,1293300
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,SLX Trading,MAAA0551025,1,882180
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,Seholoholo Trading,MAAA0169607,1,570500
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,C Squared Consumer Connectedness,MAAA0039236,1,4914495.75
Free State,Free State Provincial Treasury,SCMQ 1/2020/ 2021,Matla a Basadi,MAAA0681105,1,790400
Free State,Free State Provincial Treasury,SCMQ 2 /2020/ 2021,MISTICO,MAAA0745899,1,457926
Free State,Free State Provincial Treasury,SCMQ 2 /2020/ 2021,PRODEK,MAAA0499495,1,98127
Free State,Free State Provincial Treasury,SCMQ 2 /2020/ 2021,Tlolo Moruong,MAAA0021509,1,457926
Free State,Free State Provincial Treasury,SCMQ 2 /2020/ 2021,JOSE V20-70L DISTRIBUTORS,MAAA0081921,1,457800
Free State,Free State Provincial Treasury,SCMQ 2 /2020/ 2021,Lesole Agencies,MAAA0231068,1,457926
Free State,Free State Provincial Treasury,SCMQ 2 /2020/ 2021,Xhibit It,MAAA0275519,1,711000
Free State,Free State Provincial Treasury,SCMQ 3 /2020/ 2021,RAL Events,MAAA0138076,1,1081600
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Bahurutsi Projects,MAAA0580732,1,5960819.26
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Oracle Media Group,MAAA0827549,1,1776071.76
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Mayula procurement and property management,MAAA0124409,1,902700
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Kutlo Consulting and Projects,MAAA0783678,1,4568340.8
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Bongani Manci projects Solutions,MAAA0358015,Non Contributor,1713600
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Iperekeleng Business enterprise,MAAA0499673,1,4528084.8
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,MT Motsemme,MAAA0592074,1,1207730
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Legends 8079,MAAA0790195,1,534410
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Lekeno Trading 511,MAAA0133140,1,2238410
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Phehla Umsebenzi trading 229,MAAA0382223,1,617807.6
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Wingilux,MAAA0548337,1,4854104.4
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Free Tribe Development Pty Ltd,MAAA0574152,2,1936314
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Iceburg Group (PTY) Ltd,MAAA0319319,1,4578639.8
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,K-L-A-K  Trading,MAAA0157656,1,4374300
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Newtongate,MAAA0857619,1,4784000
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Patrick Investments,MAAA0099328,1,5014461.6
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Century Projects,MAAA0902263,1,1693150
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,FNBrand 828,MAAA0495925,1,5164331.6
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Ignite Services,MAAA0320159,1,4267200
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Ketha Incorporate,MAAA0023416,1,3393808.16
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Le di Phaka Phaka,MAAA0902073,1,1009375
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Lekhetho and Sons,MAAA0520078,1,2248010
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Letlalo Events Management,MAAA0028681,1,2456160
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Marvel Deeds,MAAA0432801,1,427221.2
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Motheko Projects,MAAA0264061,1,2292500
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Perfect Flexi,MAAA0834623,1,482384
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Tauhadi Trading Pty(Ltd),MAAA0397598,1,2647350
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Setsumi Agency,MAAA0000325,1,5811600
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Flowerdew 141,MAAA0477728,1,911935.6
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Khalienyane Trading,MAAA0100289,1,936000
Free State,Free State Provincial Treasury,SCMQ 5 /2020/ 2021,Mphore 101 Trading,MAAA0000325,1,4390640
Free State,Free State Provincial Treasury,SCMQ 06/2020 COVID 19,Free Compass Sewing,MAAA0665872,1,1000000
Free State,Free State Provincial Treasury,SCMQ 06/2020 COVID 19,Neo Ke Mpho,MAAA0730956,1,1000000
Free State,Free State Provincial Treasury,SCMQ 06/2020 COVID 19,RMB Manufacturers,MAAA0132707,1,2000000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,JOSE V20-70L DISTRIBUTORS,MAAA0081921,1,1526460
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Le di Phaka Phaka,MAAA0902073,1,260000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Heredity Projects,MAAA0520786,1,5900000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Fredock Trading,MAAA0089762,1,1234480
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Envirohill Trading,MAAA0658985,1,2730000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Newtongate,MAAA0857619,1,1080000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,VMD Innovation,MAAA0777621,1,2850000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Bokhiba Trading,MAAA0081948,1,283400
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Vusitha Trading,MAAA0312349,1,343000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Arri Conceptions,MAAA0544584,1,5900000
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Legends 8079,MAAA0790195,1,1707500
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Perfect Flexi,MAAA0834623,1,1765875
Free State,Free State Provincial Treasury,SCMQ 07/2020 COVID 19,Ntsu Trading 573,MAAA0039180,1,9160000
Free State,Free State Provincial Treasury,SCMQ 08/2020 COVID 19,Century Projects,MAAA0902263,1,2715350
Free State,Free State Provincial Treasury,SCMQ 08/2020 COVID 19,Khalienyane Trading,MAAA0100289,1,3682680
Free State,Free State Provincial Treasury,SCMQ 08/2020 COVID 19,Ikageng Lesedi,MAAA0028289,1,1110000
Free State,Free State Provincial Treasury,SCMQ 08/2020 COVID 19,Fredock Trading,MAAA0089762,4,1200000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Sediba Health Care,MAAA0860522,1,1250000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Ruby Gold,MAAA0515708,1,375000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Mamello (Pty) LTD,MAAA0782851,1,100000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Fredock Trading,MAAA0089762,4,5100000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Platinum Radinace,MAAA0470834,1,1000000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Visannah Designing Studio and General Trading,MAAA0316096,1,540000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,MTAI Developers (PTY)LTD,MAAA0398135,1,1800000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,BCAS Solutions,MAAA0706547,1,1800000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Arnoldbling Trading (PTY)LTD,MAAA0395055,1,400000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Candy's Unlimited,MAAA0168015,1,2000000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Tauhadi Trading Pty(Ltd),MAAA0397598,1,1600000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Setlhare SA Bophelo Healing Power Miracle Gift,MAAA0467927,1,125000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Halcyon Import & Export,MAAA0418515,1,1250000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,The Look,M AAA0766127,1,600000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Hamisa Safety Equipment Supplies Pty Ltd,MAAA0530215,1,2500000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Shift Consultation Pty Ltd,MAAA0492462,1,750000
Free State,Free State Provincial Treasury,SCMQ 09/2020 CLOTH MASK,Born Again 345 Pty Ltd,MAAA0858416,1,1800000
