implementation_location_province,buyer_name,order_number,items_description,Contract/Quotation,supplier_name,items_quantity,order_amount_zar,award_date,"DELIVERY
PERIOD MIN
(DAYS)","DELIVERY
PERIOD
MAX (DAYS)",Date for delivery MIN,"Date for delivery
MAX","Purchase
order",Payment,implementation_status
Free State,Free State Department of Health,"RT24-2017,UH139010",Mattress,RT24-2017,Arjo - Riaan 0738236015/Kay 07114839,2925,985404.82,19/06/2020,21,,10-Jul-20,,UH139010,Not done,Delivered
Free State,Free State Department of Health,"RT2-2016,UH138975",Monitor,RT2-2016,Echomed CJ 0793426254,50,762049.50,17/06/2020,25,35,12-Jul-20,22-Jul-20,UH138975,Not done,Delivery to be don on the 30th of August
Free State,Free State Department of Health,"RT2-2016,UH139002",flow meter,RT2-2016,Echomed CJ 0793426254,463,281943.85,17/06/2020,28,35,15-Jul-20,22-Jul-20,UH139002,Not done,Delivery to be done on the 12th of August
Free State,Free State Department of Health,"DOH(FS)25/18/19,HH-042821",blanket,DOH(FS)25/18/19,Kaofela Mpho 0792357935,1233,616500.00,18/06/2020,14,21,02-Jul-20,09-Jul-20,HH-042821,Not done,"Partial delivery, to be completed by the 7th of August"
Free State,Free State Department of Health,"DOH(FS)25/18/19,HH-042821",sheet,DOH(FS)25/18/19,Kaofela Mpho 0792357935,1850,37000.00,18/06/2020,14,21,02-Jul-20,09-Jul-20,HH-042821,Not done,"Partial delivery, to be completed by the 7th of August"
Free State,Free State Department of Health,"Q031/20/COVID,On delivery",pillow,Q031/20/COVID,Kaofela Mpho 0792357935,1700,161500.00,22/07/2020,14,21,05-Aug-20,12-Aug-20,On delivery,Not done,"Partial delivery, to be completed by the 7th of August"
Free State,Free State Department of Health,"DOH(FS)25/18/19,HH-042821",pillow cases,DOH(FS)25/18/19,Kaofela Mpho 0792357935,675,13500.00,18/06/2020,14,21,02-Jul-20,09-Jul-20,HH-042821,Not done,"Partial delivery, to be completed by the 7th of August"
Free State,Free State Department of Health,"RT2-2016,UH139003/4",Humidifier,RT2-2016,East Coast medical Charles 086 100 0428,925,287212.50,19/06/2020,7,,26-Jun-20,19-Jun-20,UH139003/4,to be effected,Delivered
Free State,Free State Department of Health,"RT24-2017,Create",drip stand,RT24-2017,New Horizon 031 5647380,675,378432.00,19/06/2020,14,28,03-Jul-20,17-Jul-20,Create,Not done,Pending
Free State,Free State Department of Health,"RT24-2017,HH-042848",shield/screen,RT24-2017,Hospital equipment gladys 011-894-4264,135,374252.40,17/06/2020,28,42,15-Jul-20,29-Jul-20,HH-042848,Not done,Delivery to be done on 31st of August 2020
Free State,Free State Department of Health,"RT24-2017,HH042711",emergency trolly,RT24-2017,siyakhanda cindy - 0437362996,27,551642.94,17/06/2020,56,84,12-Aug-20,09-Sep-20,HH042711,Not done,Pending
