implementation_location_province,buyer_name,,"Item
Number",items_description,items_quantity,order_number,supplier_name,order_amount_zar,award_date,"DELIVERY
PERIOD MIN
(DAYS)","DELIVERY
PERIOD
MAX
(DAYS)","Date for delivery
MIN","Date for delivery
MAX",Creation of order,"Purchase
order",Payment,implementation_status
Free State,Free State Department of Health,Q,,Bed,"1,000",Quotation,Specification done,2000000.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Quotation process complete. Awaiting HOD approval
Free State,Free State Department of Health,D,rt24-2026,Mattress,"1,000",RT24-2017,Arjo - Riaan 0738236015/Kay 07114839,1065302.50,2020-07-09,,,09-Jul-20,09-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-42272501,Monitor,50,RT2-2016,Echomed CJ 0793426254,762049.50,2020-07-10,28,35,07-Aug-20,14-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-41112501,double flow meter,500,RT2-2016,Echomed CJ 0793426254,304475.00,2020-07-10,28,42,07-Aug-20,21-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,DOH(FS)25/,blanket,"1,333",DOH(FS)25/18/19,Kaofela Mpho 0792357935,80000.00,2020-07-09,,,09-Jul-20,09-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,DOH(FS)25/,sheet,"4,000",DOH(FS)25/18/20,Kaofela Mpho 0792357935,666600.00,2020-07-09,,,09-Jul-20,09-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,Q,,pillow,"1,000",Quotation,Specification done,95000.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Quotation process complete. Awaiting HOD approval
Free State,Free State Department of Health,D,DOH(FS)25/,pillow cases,"4,000",DOH(FS)25/18/20,Kaofela Mpho 0792357935,80000.00,2020-07-09,,,09-Jul-20,09-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT2-2016,Humidifier,"1,000",RT2-2016,East Coast Medical Charles 086 100 042,310500.00,2020-07-09,,,09-Jul-20,09-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-10-,drip stand,500,RT24-2017,New Horizon metals CC 031 5647380,280000.00,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,"RT24-11-
009",shield/screen,100,RT24-2017,Hospital Equipment Gladys 011-894-426,277224.00,,42,70,11-Feb-00,10-Mar-00,On delivery,t done,Pending,Quotation received. File to be sent for capturing when sytem opens on the 4th of August
Free State,Free State Department of Health,D,RT24-12-,emergency trolly,20,RT24-2017,Siyakhanda Cindy - 0437362996,336486.75,2020-07-09,70,98,17-Sep-20,15-Oct-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,R,RT4,laryngoscope,22,RT4,Unicore-0829297446,37397.11,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation rom company
implementation_location_province,buyer_name,R,,Defibrillator/AED/ECG,20,RT2,Be safe Gavin 0217884681,752430.96,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation rom company
Free State,Free State Department of Health,D,RT24-04-,medicine trolly,25,RT24-2017,Siyakhanda Cindy - 0437362996,408624.40,2020-07-09,70,98,17-Sep-20,15-Oct-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT2424-02-,table over the bed,"1,111",RT24-2017,Arjo - Riaan 0738236015/Kay,2327724.98,2020-07-10,100,100,18-Oct-20,18-Oct-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-4227101,oxygen cylinders,33,RT4-2017,Echomed CJ 0793426254,43768.23,2020-07-10,28,42,07-Aug-20,21-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-42171801,Mobile Suction,20,RT2-2016,Echomed CJ 0793426254,122655.00,2020-07-10,42,56,21-Aug-20,04-Sep-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
