DEPARTMENTS,TOTAL PRICE (ATTACHED BAS DISBURSEMENT PER PAYEED REPORT),INDICATE AMOUNT TO BE COMMITTED (PROCESS UNDERWAY) - LOGIS REPORT 102,COMMITTED BUT NOT YET INVOICED - SEE ON LOGIS COMMITMENT REPORT - LOGIS REPORT 102,INDICATE AMOUNT RECEIVED AS ON INVOICE BUT NOT YET PAID - LOGIS REPORT 103
AGRIC,R 0.00,"R 538,300.00",R 0.00,R 0.00
PW&I,"R 66,745.30","R 829,499.96",R 0.00,R 0.00
EDU,R 0.00,"R 20,550.08",R 0.00,R 0.00
HS,"R 10,185.00",R 0.00,R 0.00,R 0.00
COGTA,"R 582,936.00",R 0.00,R 0.00,R 0.00
SOC-DEV,R 0.00,"R 69,300.00","R 2,900,604.75","R 1,817,692.70"
DESTEA,R 0.00,"R 6,388,502.00",R 0.00,R 0.00
SACR,"R 1,428,835.00",R 0.00,R 0.00,R 0.00
PRT,"R 12,000.00",R 0.00,"R 416,632.00",R 0.00
FSPT,R 0.00,"R 9,707,767.00","R 12,850,657.75",R 0.00
Health,R 0.00,R 0.00,R 0.00,"R 12,328,097.82"
