DEPARTMENT OF SOCIAL DEVELOPMENT COVID 19 PPE REPORT  (2020/21 FY EMERGENCY PROCUREMENT),,,,,,,,,,,
Supplier Name,Region / Iinstitutions,Description of item,Unit Price,Order Number,Quantity,Total Price,Deviation,,,Type of purchase,Date
"1. Edprest Trading
Enterprise",Tshwane Region,500 ml Sanitizers,R70.00,4550265434,1000,"R70,000.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",28/04/2020
"2. ASB Transport & other
Project",Tshwane Region,"Surgical gloves latex
powder free boxes",R350.00,4550265435,50,"R17,500.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",28/04/2020
3. Gloso Projects,Tshwane Region,375 ml sanitizers,R 62.80,4550265681,500,"R31,400.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",28/04/2020
"4. Nkwashu Business
Trading",Tshwane Region,Face musk,R78.00,4550265433,900,"R70,200.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",28/04/2020
5. Kgosi Trading Enterprise,Garankuwa Rearabilwe,Mask dust,R205.00,4550265103,30,"R6,150.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",23/03/2020
,Garankuwa Rearabilwe,Sanitizer 5litre,R309.00,4550265103,30,"R9,270.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",23/03/2020
,Garankuwa Rearabilwe,"Bottle plastic 750 ml spray
top",R40.00,4550265103,10,R400.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",23/03/2020
,Garankuwa Rearabilwe,"Bottle plastic 750 ml spray
top",R40.00,4550265103,10,R400.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",23/03/2020
"7. Vuwa Occupational
Safety and Projects",JHB Region,Sanitizer 25litre,"R3,162.50",4550265717,17,"R53,762.50","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",18/05/2020
,,Sanitizer 5litre,"R1,035.00",4550265717,37,"R38,295.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",18/05/2020
,,Glove,R373.75,4550265717,100,"R37,375.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",18/05/2020
,,Bottle 500 ml spray,R63.25,4550265717,150,"R9,487.50","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",18/05/2020
"8. Ramaatlhama and Matja
Group",Itireleng,Sanitiser 5litre,R240.00,4550265898,20,"R4,800.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,"Emergency
procurement",28/05/2020
9. EVERGREEN LATEX,Tshwane Region,Glove Surgical,R49.86,4550265292,50,"R2,493.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,09/04/2020
"10. LECHOBA MEDICAL
TECHNOLOGIES",Desmond Tutu,Sanitizer gel 500 ml,R60.75,4550265304,50,"R3,037.50","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,16/04/2020
11. MULTISURGE,,Mask Face blue 50 pcs,R460.00,4550265314,20,"R9,200.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19",,,Contract,16/04/2020
11. MULTISURGE,,"Surgical mask single use
type 1",R690.00,4550265314,6,"R4,140.00",,,,Contract,16/04/2020
12. TARA TECHNOLOGIES,Desmond Tutu,"Thermometer digital non
contact","R2,300.00",4550265327,2,"R4,600.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,17/04/2020
13. TARA TECHNOLOGIES,Head Office,"Thermometer digital non
contact","R3,500.00",4550265503,106,"R371,000.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,04/05/2020
"14. LECHOBA MEDICAL
TECHNOLOGIES",Head Office,Gown Surgical,R125.00,4550265512,100,"R12,500.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,05/05/2020
,,Eyewear Goggles,R69.90,4550265512,100,"R6,990.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,05/05/2020
15. MULTISURGE,Head Office,"Thermometer digital non
contact",1748,4550265630,50,"R52,440.00","Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",,,Contract,05/05/2020
"16. KGOSI TRADING
ENTERPRISE",Itireleng,,309,4550264934,30,"R9,270.00","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,Emergency,
"17. MACHIPHAL
INVESTMENTS",Mary Moodley,Sanitizer hand alcogel 1LT,300.05,4550265242,50,"R15,002.50","This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",,,Contract,
,,"Dispenser soap wall
mounted 120x250x90mm",800,4550265242,25,"R20,000.00",,,,Contract,
,,"Dispenser liquid hand soap
800ml refill",372.9,4550265242,25,"R9,322.50",,,,Contract,
