buyer_name,implementation_location_province,Entity Name,supplier_name,items_description,procurement_method,order_number,invoice_date,items_quantity,Unit Price,cost_per_unit_zar,PO Value,order_amount_zar
Gauteng Growth and Development Agency (GGDA),Gauteng,GGDA,Tshanduko Afrika Consulting,Thermometers x7,Quotation,553,2020-06-03,7,"R1,550.00",1550.00,"R10,850.00",10850.00
Gauteng Growth and Development Agency (GGDA),Gauteng,GGDA,Indima Njongo Markerting,Social distancing stickers,Quotation,550,2020-05-29,,,,"R12,157.01",12157.01
Gauteng Growth and Development Agency (GGDA),Gauteng,GGDA,Masana Hygiene Services,Deep Cleaning,Quotation,543,2020-05-12,,,,"R325,057.51",325057.51
Gauteng Growth and Development Agency (GGDA),Gauteng,GGDA,Massiey Projects,"Surgical Masks, Hand
Sanitizer, Multi-purpose hand
sanitizer, Portable handheld
digital thermometer.",Quotation,545,2020-05-18,,,,"R77,403.00",77403.00
Gauteng Growth and Development Agency (GGDA),Gauteng,GGDA,The Nkwanas (Pty)Ltd,Cloth Masks,Quotation,544,2020-05-14,814,R25,25.00,"R20,350.00",20350.00
Gauteng Growth and Development Agency (GGDA),Gauteng,GGDA,Bidvest Steiner Group,"Automated Sanitizers
Machines",Quotation,,2020-05-25,,,,"R274,161.84",274161.84
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"JJ and D Womens Trading
Enterprise t/a Eco Hygiene",Disinfection of ASP offices,Quotation,7,2020-05-21,11725,R2.25,2.25,"R    26,381.25",26381.25
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"JJ and D Womens Trading
Enterprise t/a Eco Hygiene",Disinfection of GALC Offices,Quotation,7,2020-05-21,3972,R2.25,2.25,"R      8,937.00",8937.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"JJ and D Womens Trading
Enterprise t/a Eco Hygiene",Disinfection of WEH Offices,Quotation,7,2020-05-21,3000,R2.25,2.25,"R      6,750.00",6750.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"JJ and D Womens Trading
Enterprise t/a Eco Hygiene",Disinfection of FIC,Quotation,7,2020-05-21,483,R2.25,2.25,"R      1,086.75",1086.75
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"JJ and D Womens Trading
Enterprise t/a Eco Hygiene",Disinfection of NIC,Quotation,7,2020-05-21,150,R2.25,2.25,R337.50,337.50
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,ABIA Industrial Supplies,Face Shield,Quotation,8,2020-05-21,1000,R70.00,70.00,"R    70,000.00",70000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,ABIA Industrial Supplies,3 ply Washable Cloth Mask,Quotation,8,2020-05-21,3000,R65.00,65.00,"R 195,000.00",195000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,ABIA Industrial Supplies,3 ply Surgical masks,Quotation,8,2020-05-21,1000,R9.00,9.00,"R      9,000.00",9000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,ABIA Industrial Supplies,"Latex disposable gloves blue
in color",Quotation,8,2020-05-21,1000,R2.20,2.20,"R      2,200.00",2200.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,ABIA Industrial Supplies,N95 Masks,Quotation,8,2020-05-21,1000,R40.00,40.00,"R    40,000.00",40000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,ABIA Industrial Supplies,Safety googles,Quotation,8,2020-05-21,1000,R35.00,35.00,"R    35,000.00",35000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"PABALLOKHOSI TRADING
AND PROJECTS",Thermometer,Quotation,9,2020-05-29,20,"R1,939.00",1939.00,"R    38,780.00",38780.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,MAKGAMATHA HOLDINGS,Supply access control cards,Quotation,10,2020-05-29,5000,R24.00,24.00,"R 120,000.00",120000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,MAKGAMATHA HOLDINGS,"Supply access control
holders",Quotation,10,2020-05-29,5000,R10.00,10.00,"R    50,000.00",50000.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"Mampotokwane Trading and
Projects (Pty) Ltd",Paper Towel Dispenser stand,Quotation,12,2020-06-01,2,R735.37,735.37,"R      1,470.74",1470.74
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"Mampotokwane Trading and
Projects (Pty) Ltd",Paper towel roll to suit stand,Quotation,12,2020-06-01,6,R420.00,420.00,"R      2,520.00",2520.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"Mampotokwane Trading and
Projects (Pty) Ltd","Automated battery-operated
soap dispenser",Quotation,12,2020-06-01,8,"R1,677.50",1677.50,"R    13,420.00",13420.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Mokasi BEE Enterprise,"Foot operated hand sanitizers
- ASP",Quotation,"PO0000000047
",2020-07-17,,,,"R24,600.00",24600.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Mokasi BEE Enterprise,"Foot operated hand sanitizers
- GALC",Quotation,"PO0000000047
",2020-07-17,,,,"R6,560.00",6560.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Mokasi BEE Enterprise,"Foot operated hand sanitizers
- WEH",Quotation,"PO0000000047
",2020-07-17,,,,"R3,280.00",3280.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Mokasi BEE Enterprise,"Foot operated hand sanitizers
- Chamdor",Quotation,"PO0000000047
",2020-07-17,,,,"R8,200.00",8200.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Mokasi BEE Enterprise,"Foot operated hand sanitizers
- FIC",Quotation,"PO0000000047
",2020-07-17,,,,"R9,840.00",9840.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Dumi Trading Enterprise CC,"Surface disinfection
sanitizers 25ltr for 10 items",Quotation,PO0000000019,2020-06-17,,,,"R12,750.00",12750.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,AMBICION11,Disinfection for Ford IC,Quotation,PO0000000024,2020-06-20,,,,"R52,800.00",52800.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,MO LIGHT ENTERPRISE,"Hand Sanitizers 25ltr for 20
items",Quotation,PO0000000018,2020-06-15,,,,"R29,450.80",29450.80
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"1.5 social distance floor
sticker for 150 items",Quotation,PO0000000046,2020-07-17,,,,"R9,750.00",9750.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Face mask must be worn
sign (indoor plastic) for 50
items",Quotation,PO0000000046,2020-07-17,,,,"R3,980.00",3980.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Hand sanitizer station sign
(Indoor plastic) for 50 items",Quotation,PO0000000046,2020-07-17,,,,"R3,980.00",3980.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Screening station sign for 8
items",Quotation,PO0000000046,2020-07-17,,,,R742.40,742.40
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Avoid touching eyes. nose
and mouth with dirty hand
sign for 25 items",Quotation,PO0000000046,2020-07-17,,,,"R1,990.00",1990.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"COVID-19 Isolation room
sign for 6 items",Quotation,PO0000000046,2020-07-17,,,,R556.80,556.80
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Notice COVID-19 security
screening sign for 8 items",Quotation,PO0000000046,2020-07-17,,,,R742.40,742.40
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Foot print stickers written
isolation room for 150 items",Quotation,PO0000000046,2020-07-17,,,,"R10,470.00",10470.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"No physical contact sign for
50 items",Quotation,PO0000000046,2020-07-17,,,,"R3,980.00",3980.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Wash hands with soap and
water for 20 seconds sign for
50 items",Quotation,PO0000000046,2020-07-17,,,,"R3,980.00",3980.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Screened clothes stickers for
10 items",Quotation,PO0000000046,2020-07-17,,,,"R1,358.00",1358.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Stand here floor stickers for
10 items",Quotation,PO0000000046,2020-07-17,,,,R999.00,999.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Madiba Promotions (Pty) Ltd,"Disinfect table stickers for
160 items",Quotation,PO0000000046,2020-07-17,,,,"R9,536.00",9536.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"Advantage Audit Consult and
Training (Pty) Ltd","20 Webinar sessions on
COVID 19 on workplace
employees safety Induction
programme Post lockdown
FOR AIDC, GGDA, GIDZ,
TIH and CONHILL
employees",Quotation,PO0000000020,2020-06-19,,,,"R85,580.00",85580.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Nosa (Pty) Ltd,"2 Sessions X Covid-19
Webinar on workplace HSE
imlementation programme for
frontline employees across
the GGDA Group and its
subsidiaries (AIDC, TIH,
GIDZ, GGDA AND
CONHILL)",Quotation,PO0000000032,2020-07-06,,,,"R28,293.76",28293.76
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Lefihlile Solutions,"Sellotape Duct Tape Length
25m Width 48mm for 60
items",Quotation,PO0000000021,2020-06-20,,,,"R6,900.00",6900.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,Nosa (Pty) Ltd,"Training for COVID 19
Officers",Quotation,PO0000000045,2020-07-16,,,,"R35,984.00",35984.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,CC Africa Projects,"Sanitiser 70% alcohol - FIC
for 10 items",Quotation,PO0000000050,2020-07-20,,,,"R14,900.00",14900.00
Gauteng Automotive Industry Development Centre (AIDC),Gauteng,AIDC,"Bantsekejang Trading and
Projects (Pty) Ltd","Sellotape Duct Tape Length
25m Width 48mm for 60
items",Quotation,PO0000000033,2020-07-07,,,,"R6,888.00",6888.00
Constitution Hill Development Company (ConHill),Gauteng,ConHill,SSG,Wipes + Hand wash Soaps,Quotation,,2020-05-13,,,,"R      6,565.05",6565.05
The Innovation Hub (TIH),Gauteng,TIH,"Kamo Kagi and Khutso
Trading",Social distancing stickers,Quotation,24516,2020-05-26,100,40,40.00,"R      4,000.00",4000.00
The Innovation Hub (TIH),Gauteng,TIH,"Gold Hammer Holdings (Pty)
Ltd",Sneeze Screens,Quotation,24488,2020-05-26,,,,"R    29,189.00",29189.00
The Innovation Hub (TIH),Gauteng,TIH,Ke Oagile Thuto,Carpets Deep Cleaning,Quotation,24510,2020-05-22,,,,"R    45,050.00",45050.00
Gauteng Industrial Development Zone (GIDZ),Gauteng,GIDZ,"Extreme Industrial Suppliers
& Hygience","Sanitisers, Masks and
Disinfectant Spray",Quotation,Petty cash,2020-03-18,,,,"R1,646.80",1646.80
Gauteng Industrial Development Zone (GIDZ),Gauteng,GIDZ,"Masana Hygiene Services
(Pty) Ltd","Carpet Cleaning & Pest
Control",Quotation,PO0208,2020-06-22,,,,"R2,300",2300.00
Gauteng Industrial Development Zone (GIDZ),Gauteng,GIDZ,"Masana Hygiene Services
(Pty) Ltd",Sanitisation of the offices,Quotation,PO0212,2020-06-22,,,,"R2,000",2000.00
Gauteng Industrial Development Zone (GIDZ),Gauteng,GIDZ,"Multilocking Vehicle Tracking
Security Systems CC","Programming of Cards to the
Boimetric Access System",Quotation,PO0214,2020-06-26,,,,"R1,973.40",1973.40
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Biologica,"Mask - Other 3 ply 50 in a
box",Quotation,4550265429,,2,"R                           1,332.50",1332.50,"R                       2,665.00",2665.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Biologica,Gloves -Other 100 in a box,Quotation,4550265429,,2,R                              460.00,460.00,R                          920.00,920.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Biologica,Sanitisers 500ml,Quotation,4550265429,,10,R                              360.00,360.00,"R                       3,600.00",3600.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Tiney Cleaning cc,Spray bottles,Quotation,4550265169,,60,R                                60.00,60.00,"R                       2,760.00",2760.00
