buyer_name,implementation_location_province,items_description,supplier_name,"DATE OF
COMMITMMENT",invoice_date,order_amount_zar,COMMENTS,PURCHASE ORDER NUMBERS
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Afrifam Holdings,25/05/2020,25/05/2020,12000000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Asshley Mulligan,19/05/2020,19/05/2020,1915500,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Asshley Mulligan,,,5365500,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Bakuthi Construction,25/05/2020,25/05/2020,10499050,No PO created due to vendor status,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Be-Sure Events Solutions,,,787175,Invoice,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Digitalized Art,20/05/2020,20/05/2020,1944000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Gijima OHES: GEAS,10/05/2020,10/05/2020,21390,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,GlenChem,,,1529500,Invoices,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,MacDucke Trading projects,30/03/2020,30/03/2020,9602500,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,MAMATLOPE INVESTMENTS AND PROJECTS,16/03/2020,16/03/2020,586314,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Mbuso Medical Supplies,,,16464.02,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Ntimu Trading and Projects,09/05/2020,09/05/2020,373750,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Royal Bhaca,01/04/2020,01/04/2020,78750000,No PO created due to vendor status,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Royal Bhaca,30/03/2020,30/03/2020,47000000,No PO created due to vendor status,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,TeePrsesh (PTY) LTD,20/03/2020,20/03/2020,2461800,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,The Manager,20/03/2020,20/03/2020,3666801,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Triak Engineering Pty Ltd,09/05/2020,09/05/2020,125000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Ultra Chain Management Pty Ltd,09/05/2020,09/05/2020,237000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Unchana,20/05/2020,20/05/2020,1700000,Contract,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Verdoflash,20/05/2020,20/05/2020,2480000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,XBR Resources,20/05/2020,20/05/2020,2300000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,LMD Engineering,20/04/2020,20/04/2020,4614500,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Sphethwa Trading,26.06.2020,26/06/2020,5000000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,TIM General Projects,26.06.2020,26/06/2020,6125000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Hfavoured PTY Ltd,26.06.2020,26/06/2020,12500000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Shalom Women's Project,26.06.2020,26/06/2020,11500000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Sphethwa Trading,26.06.2020,26/06/2020,5000000,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Hortiscape Trading,26.06.2020,26/06/2020,15199800,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,Laydene PTY Ltd,26.06.2020,26/06/2020,4158560,,
Gauteng Department of Health (DOH),Gauteng,Commitments without Pos,DFC Africa PTY Ltd,26.06. 2020,26/06/2020,6047500,,
