buyer_name,implementation_location_province,supplier_name,Count of Number of Records Sum of PO value,order_amount_zar
Gauteng Department of Health (DOH),Gauteng,ARJO HUNTLEIGH SOUTH AFRICA,2,467534.94
Gauteng Department of Health (DOH),Gauteng,B BRAUN MEDICAL,1,2824563.00
Gauteng Department of Health (DOH),Gauteng,BIOCLIN SOLUTIONS,1,1150.00
Gauteng Department of Health (DOH),Gauteng,BUHLE WASTE,1,693693.00
Gauteng Department of Health (DOH),Gauteng,CE MOBILITY WHEELCHAIRS,9,14284.22
Gauteng Department of Health (DOH),Gauteng,Class Three Medical Solution cc,2,797315.28
Gauteng Department of Health (DOH),Gauteng,DELTA SURGICAL SA,1,16381.92
Gauteng Department of Health (DOH),Gauteng,DRAGER SOUTH AFRICA,5,73705416.65
Gauteng Department of Health (DOH),Gauteng,EAST COAST MEDICAL NORTHERN REGIONS,3,13237672.59
Gauteng Department of Health (DOH),Gauteng,ECOMED MEDICAL,6,6125532.39
Gauteng Department of Health (DOH),Gauteng,ENVIROCON INSTRUMENTATION,1,1359990.00
Gauteng Department of Health (DOH),Gauteng,HOSPI-FURN,1,3362483.25
Gauteng Department of Health (DOH),Gauteng,HOSPITAL EQUIPMENT MANUFACTURERS,7,417914.63
Gauteng Department of Health (DOH),Gauteng,HUVITZ OPTICS,1,401925.00
Gauteng Department of Health (DOH),Gauteng,LOMAEN MEDICAL,2,1169000.00
Gauteng Department of Health (DOH),Gauteng,MEDHOLD MEDICAL,1,923365.24
Gauteng Department of Health (DOH),Gauteng,MINUS 40,2,157475.35
Gauteng Department of Health (DOH),Gauteng,NEW HORIZON METALS,12,629107.00
Gauteng Department of Health (DOH),Gauteng,PHOENIX NEOMED,2,7268697.74
Gauteng Department of Health (DOH),Gauteng,RESPIRATORY CARE AFRICA: 4250906927,1,193123.08
Gauteng Department of Health (DOH),Gauteng,RESPIRATORY CARE AFRICA: 4250907053,1,557628.66
Gauteng Department of Health (DOH),Gauteng,SANBONANI HOLDINGS,1,14183.50
Gauteng Department of Health (DOH),Gauteng,SECOND OPINION SYSTEMS,2,4659135.32
Gauteng Department of Health (DOH),Gauteng,SSEM MTHEMBU MEDICAL,1,763717.95
Gauteng Department of Health (DOH),Gauteng,THE SCIENTIFIC GROUP,2,7990335.36
Gauteng Department of Health (DOH),Gauteng,UNICORE HOLDINGS,1,33657.40
Gauteng Department of Health (DOH),Gauteng,MAQUET SOUTHERN AFRICA,1,31984260.00
Gauteng Department of Health (DOH),Gauteng,MBUSO MEDICAL SUPPLIES,1,34778630.00
