buyer_name,implementation_location_other,items_description,supplier_name,award_date,order_amount_zar,COMMENTS,order_number
Gauteng Department of Health (DOH),Gauteng,Catering,AFRICAN DELITES CATERING SERVICES,2020-03-27,50000.00,Catering,4250898334
Gauteng Department of Health (DOH),Gauteng,IT Services,Baraka IT Solutions,2020-07-13,6609915.83,IT Services,4250916554
Gauteng Department of Health (DOH),Gauteng,Advertising,BOTSHELOCLA,2020-05-06,5880600.00,Advertising,4250904249
Gauteng Department of Health (DOH),Gauteng,Medical Waste,BUHLE WASTE,2020-06-10,693693.00,Medical Waste,4250909596
Gauteng Department of Health (DOH),Gauteng,Medical Waste,BUHLE WASTE,2020-07-07,929312.42,Medical Waste,4250916864
Gauteng Department of Health (DOH),Gauteng,Medical Waste,BUHLE WASTE,2020-07-07,1458292.32,Medical Waste,4250916866
Gauteng Department of Health (DOH),Gauteng,Medical Waste,BUHLE WASTE,2020-06-10,801091.48,Medical Waste,4250916868
Gauteng Department of Health (DOH),Gauteng,Medical Waste,BUHLE WASTE,2020-06-10,468945.54,Medical Waste,4250916867
Gauteng Department of Health (DOH),Gauteng,Councellling sessions for staff,CAREWAYS WELLNESS,2020-04-26,1333334.00,Councellling sessions for staff,4250902276
Gauteng Department of Health (DOH),Gauteng,Councellling sessions for staff,CAREWAYS WELLNESS,2020-04-26,1644201.00,Councellling sessions for staff,4250902283
Gauteng Department of Health (DOH),Gauteng,Communication Service,CHRISTOPHER AFRICA,2020-04-22,450000.00,Communication Service,4250899208
Gauteng Department of Health (DOH),Gauteng,Patient care service fully outsourced,Clinix Health Group Limited,2020-07-01,104986911.00,Patient care service fully outsourced,4250913166
Gauteng Department of Health (DOH),Gauteng,Computer laptop Processor i7 Ram 8GB HDD,COMPOSITE ICT,2020-06-29,166722.50,Computer laptop Processor i7 Ram 8GB HDD,4250912535
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-03-04,14375.00,Catering,4250897403
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-04-30,11500.00,Catering,4250900631
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-05-05,149212.50,Catering,4250901419
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-04-20,25875.00,Catering,4250901424
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-05-05,11500.00,Catering,4250903716
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-05-18,79350.00,Catering,4250905097
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-04-20,20700.00,Catering,4250905572
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-05-24,11500.00,Catering,4250906686
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-06-01,11500.00,Catering,4250907596
Gauteng Department of Health (DOH),Gauteng,Catering,CRISELDAS CATERING AND DECOR,2020-05-22,5000.00,Catering,4250909255
Gauteng Department of Health (DOH),Gauteng,Catering,DUDUZA HOSPITALITY SOLUTIONS,2020-04-09,814200.00,Catering,4250898527
Gauteng Department of Health (DOH),Gauteng,Catering,DUDUZA HOSPITALITY SOLUTIONS,2020-04-19,449765.00,Catering,4250900903
Gauteng Department of Health (DOH),Gauteng,Catering,DUDUZA HOSPITALITY SOLUTIONS,2020-04-20,308177.00,Catering,4250907266
Gauteng Department of Health (DOH),Gauteng,Catering,DUDUZA HOSPITALITY SOLUTIONS,2020-05-20,126442.50,Catering,4250907269
Gauteng Department of Health (DOH),Gauteng,Catering,DUDUZA HOSPITALITY SOLUTIONS,2020-04-20,11040.00,Catering,4250910017
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-04-09,814200.00,Catering,4250898527
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-05-04,449765.00,Catering,4250900903
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-05-29,308177.00,Catering,4250907266
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-06-11,11040.00,Catering,4250907269
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-05-29,126442.50,Catering,4250910017
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-07-13,814200.00,Catering,4250916127
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-06-12,306446.25,Catering,4250916815
Gauteng Department of Health (DOH),Gauteng,Catering,Duduza Hospitality Solutions,2020-06-22,258882.25,Catering,4250916794
Gauteng Department of Health (DOH),Gauteng,Legl costs,EZRA MATLALA,2020-04-17,4176838.00,Legl costs,4250898697
Gauteng Department of Health (DOH),Gauteng,Catering service according to spec,FHEDZISANI CATERING FRESH PRODUCE,2020-06-29,210000.00,Catering service according to spec,4250912550
Gauteng Department of Health (DOH),Gauteng,Flight and accomodation,FOUNDATION FOR PROFESSIONAL DEVE,2020-03-01,11243.00,Flight and accomodation,4250894942
Gauteng Department of Health (DOH),Gauteng,Flight and accomodation,FOUNDATION FOR PROFESSIONAL DEVE,2020-03-09,84679.00,Flight and accomodation,4250894496
Gauteng Department of Health (DOH),Gauteng,Car Hire,HAMBA NATHI TRAVEL,2020-03-17,7920.00,Car Hire,4250895641
