buyer_name,implementation_location_province,supplier_name,invoice_date,order_amount_zar,COMMENTS,order_number
Gauteng Department of Health (DOH),Gauteng,Nkane Projects ,2020-03-30,257418300.00,,4250898022
Gauteng Department of Health (DOH),Gauteng,"Dinaane
Constation
Services",2021-04-07,198750000.00,Value over 5 months- Contract,4250904486
Gauteng Department of Health (DOH),Gauteng,LMD Engineering,2020-04-20,155077500.00,,4250901271
Gauteng Department of Health (DOH),Gauteng,"OLEE TELECOM
SOLUTIONS",2020-06-24,151800000.00,,4250911761
Gauteng Department of Health (DOH),Gauteng,Beadica 423 CC,2020-04-24,127136000.00,,4250902012
Gauteng Department of Health (DOH),Gauteng,Senatla,2020-04-20,127136000.00,,
Gauteng Department of Health (DOH),Gauteng,LNG Scientific,2020-04-24,113250000.00,,4250902880
Gauteng Department of Health (DOH),Gauteng,Maponya Medical,2020-04-26,112370000.00,,4250899952
Gauteng Department of Health (DOH),Gauteng,ZAKHENI STRATE,2020-04-21,103770000.00,,4250906272
Gauteng Department of Health (DOH),Gauteng,"Steelwood
International/
Medena",2020-04-21,87500000.00,,4250900261
Gauteng Department of Health (DOH),Gauteng,Kraft Medcal ,2020-04-02,84360000.00,,4250897479
Gauteng Department of Health (DOH),Gauteng,IXODOX,2020-06-11,67795000.00,,4250909870
Gauteng Department of Health (DOH),Gauteng,Imphofu Engineri,2020-05-03,67500000.00,,4250910528
Gauteng Department of Health (DOH),Gauteng,Beadica 423 CC,2020-05-28,41461000.00,,4250910559
Gauteng Department of Health (DOH),Gauteng,"Dinaane
Constation
Services",2020-04-09,41245000.00,,4250897987
Gauteng Department of Health (DOH),Gauteng,"Dinaane
Constation
Services",2020-04-07,39750000.00,,4250901496
Gauteng Department of Health (DOH),Gauteng,Ikusasa Health an,2020-04-13,36500000.00,,4250900711
Gauteng Department of Health (DOH),Gauteng,"Given Exclusive
Projects",2020-04-24,32450000.00,,4250901797
Gauteng Department of Health (DOH),Gauteng,Bliss Pharmaceuti,2020-03-31,32062000.00,,4250898579
Gauteng Department of Health (DOH),Gauteng,Bliss Pharmaceuti,2020-03-30,27495000.00,,4250901759
Gauteng Department of Health (DOH),Gauteng,Maponya Medical,2020-04-01,25875000.00,,
Gauteng Department of Health (DOH),Gauteng,Umnothozwide,2020-04-01,25875000.00,,4250899957
Gauteng Department of Health (DOH),Gauteng,Olee Telecom Sol,2020-04-06,25300000.00,,4250898880
Gauteng Department of Health (DOH),Gauteng,"Steelwood
International/
Medena",2020-04-20,24750000.00,,4250901553
Gauteng Department of Health (DOH),Gauteng,Mlangeni Brother,2020-04-20,24000000.00,,4250901850
Gauteng Department of Health (DOH),Gauteng,Maponya Medical,2020-03-30,22500000.00,,4250899950
Gauteng Department of Health (DOH),Gauteng,Traikon Enginerin,2020-04-20,22310000.00,,4250901425
Gauteng Department of Health (DOH),Gauteng,ZAKHENI STRATE,2020-05-04,19950000.00,Invoice,4250901435
Gauteng Department of Health (DOH),Gauteng,Target Pathology,2020-05-15,18687500.00,,4250910728
Gauteng Department of Health (DOH),Gauteng,Olwe2 Project Ma,2020-04-02,17645873.70,,4250897998
Gauteng Department of Health (DOH),Gauteng,Mokone,2020-05-22,17160000.00,,4250910019
Gauteng Department of Health (DOH),Gauteng,Cibacon Consultin,2020-06-29,15750000.00,,4250915493
Gauteng Department of Health (DOH),Gauteng,"Given Exclusive
Projects",2020-05-11,15200000.00,,4250907046
Gauteng Department of Health (DOH),Gauteng,Red Chair Holding,2020-06-27,15200000.00,,4250915487
Gauteng Department of Health (DOH),Gauteng,Forest Fern,2020-06-27,14490000.00,,4250915482
Gauteng Department of Health (DOH),Gauteng,Grimshow Suppli,2020-06-27,14476200.00,,4250915502
Gauteng Department of Health (DOH),Gauteng,Nascency Medical,2020-06-27,14476200.00,,4250915497
Gauteng Department of Health (DOH),Gauteng,Nebo Coal cc,2020-06-27,13800000.00,,4250915490
Gauteng Department of Health (DOH),Gauteng,Vharanga Phanda,2020-06-27,13800000.00,,4250915500
Gauteng Department of Health (DOH),Gauteng,Ori medical Suppli,2020-03-20,13334800.00,,4250907259
Gauteng Department of Health (DOH),Gauteng,MacDucke Tradin,2020-05-19,12995000.00,,4250904623
Gauteng Department of Health (DOH),Gauteng,Amoka Solutions ,2020-06-26,12495000.00,,4250916396
Gauteng Department of Health (DOH),Gauteng,Azania Infracon,2020-05-25,12480000.00,,4250909664
Gauteng Department of Health (DOH),Gauteng,Famata PTY Ltd,2020-06-26,12475000.00,,4250914796
Gauteng Department of Health (DOH),Gauteng,Ori medical Suppli,2020-04-20,12032000.00,,4250899185
Gauteng Department of Health (DOH),Gauteng,MacDucke Tradin,2020-04-22,11902500.00,,4250900808
Gauteng Department of Health (DOH),Gauteng,Chagga Consultan,2020-05-25,11750000.00,,4250915155
Gauteng Department of Health (DOH),Gauteng,Royal Trading Ent,2020-05-25,11395000.00,,4250914320
Gauteng Department of Health (DOH),Gauteng,MacDucke Tradin,2020-03-30,10695000.00,,4250901753
Gauteng Department of Health (DOH),Gauteng,Ramoeng Busines,2020-06-26,10625000.00,,4250915471
