buyer_name,implementation_location_province,supplier_name,implementation_location_other,items_description,cost_per_unit_zar,order_number,items_quantity,order_amount_zar,procurement_method,Type of purchase,invoice_date
Gauteng Department of Social Development (DSD),Gauteng,"Edprest Trading
Enterprise",Tshwane Region,500 ml Sanitizers,70.00,4550265434,1000,70000.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-04-28
Gauteng Department of Social Development (DSD),Gauteng,"ASB Transport & other
Project",Tshwane Region,"Surgical gloves latex
powder free boxes",350.00,4550265435,50,17500.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-04-28
Gauteng Department of Social Development (DSD),Gauteng,Gloso Projects,Tshwane Region,375 ml sanitizers,62.80,4550265681,500,31400.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-04-28
Gauteng Department of Social Development (DSD),Gauteng,"Nkwashu Business
Trading",Tshwane Region,Face musk,78.00,4550265433,900,70200.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-04-28
Gauteng Department of Social Development (DSD),Gauteng,Kgosi Trading Enterprise,Garankuwa Rearabilwe,Mask dust,205.00,4550265103,30,6150.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-03-23
Gauteng Department of Social Development (DSD),Gauteng,Kgosi Trading Enterprise,Garankuwa Rearabilwe,Sanitizer 5litre,309.00,4550265103,30,9270.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-03-23
Gauteng Department of Social Development (DSD),Gauteng,Kgosi Trading Enterprise,Garankuwa Rearabilwe,"Bottle plastic 750 ml spray
top",40.00,4550265103,10,400.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-03-23
Gauteng Department of Social Development (DSD),Gauteng,Kgosi Trading Enterprise,Garankuwa Rearabilwe,"Bottle plastic 750 ml spray
top",40.00,4550265103,10,400.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-03-23
Gauteng Department of Social Development (DSD),Gauteng,Vuwa Occupational Safety and Projects,JHB Region,Sanitizer 25litre,3162.50,4550265717,17,53762.50,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-05-18
Gauteng Department of Social Development (DSD),Gauteng,Vuwa Occupational Safety and Projects,JHB Region,Sanitizer 5litre,1035.00,4550265717,37,38295.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-05-18
Gauteng Department of Social Development (DSD),Gauteng,Vuwa Occupational Safety and Projects,JHB Region,Glove,373.75,4550265717,100,37375.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-05-18
Gauteng Department of Social Development (DSD),Gauteng,Vuwa Occupational Safety and Projects,JHB Region,Bottle 500 ml spray,63.25,4550265717,150,9487.50,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-05-18
Gauteng Department of Social Development (DSD),Gauteng,"Ramaatlhama and Matja
Group",Itireleng,Sanitiser 5litre,240.00,4550265898,20,4800.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items","Emergency
procurement",2020-05-28
Gauteng Department of Social Development (DSD),Gauteng,EVERGREEN LATEX,Tshwane Region,Glove Surgical,49.86,4550265292,50,2493.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-04-09
Gauteng Department of Social Development (DSD),Gauteng,"LECHOBA MEDICAL
TECHNOLOGIES",Desmond Tutu,Sanitizer gel 500 ml,60.75,4550265304,50,3037.50,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-04-16
Gauteng Department of Social Development (DSD),Gauteng,MULTISURGE,,Mask Face blue 50 pcs,460.00,4550265314,20,9200.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19",Contract,2020-04-16
Gauteng Department of Social Development (DSD),Gauteng,MULTISURGE,,"Surgical mask single use
type 1",690.00,4550265314,6,4140.00,,Contract,2020-04-16
Gauteng Department of Social Development (DSD),Gauteng,TARA TECHNOLOGIES,Desmond Tutu,"Thermometer digital non
contact",2300.00,4550265327,2,4600.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-04-17
Gauteng Department of Social Development (DSD),Gauteng,TARA TECHNOLOGIES,Head Office,"Thermometer digital non
contact",3500.00,4550265503,106,371000.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-05-04
Gauteng Department of Social Development (DSD),Gauteng,"LECHOBA MEDICAL
TECHNOLOGIES",Head Office,Gown Surgical,125.00,4550265512,100,12500.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-05-05
Gauteng Department of Social Development (DSD),Gauteng,"LECHOBA MEDICAL
TECHNOLOGIES",Head Office,Eyewear Goggles,69.90,4550265512,100,6990.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-05-05
Gauteng Department of Social Development (DSD),Gauteng,MULTISURGE,Head Office,"Thermometer digital non
contact",1748.00,4550265630,50,52440.00,"Procured in line with the SCM
prescripts issued since Covid 19 -
National Treasury Instruction note 5
of FY20/21 inline with the COVID19
contract",Contract,2020-05-05
Gauteng Department of Social Development (DSD),Gauteng,"KGOSI TRADING
ENTERPRISE",Itireleng,,309.00,4550264934,30,9270.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",Emergency,
Gauteng Department of Social Development (DSD),Gauteng,"MACHIPHAL
INVESTMENTS",Mary Moodley,Sanitizer hand alcogel 1LT,300.05,4550265242,50,15002.50,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",Contract,
Gauteng Department of Social Development (DSD),Gauteng,"MACHIPHAL
INVESTMENTS",Mary Moodley,"Dispenser soap wall
mounted 120x250x90mm",800.00,4550265242,25,20000.00,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",Contract,
Gauteng Department of Social Development (DSD),Gauteng,"MACHIPHAL
INVESTMENTS",Mary Moodley,"Dispenser liquid hand soap
800ml refill",372.90,4550265242,25,9322.50,"This was emergency, and required
immediate deliveries  and the
guidelines came after emergency
procurement of items",Contract,
