buyer_name,implementation_location_province,invoice_date,order_number,items_description,supplier_name,order_amount_zar,items_quantity,"Purchase order
release date",Delivery Date,procurement_method,
Gauteng Department of Social Development (DSD),Gauteng,2020-03-23,4550265097,"Sanitizer alcohol actigerm
500ml spray",LECHOBA MEDICAL TECHNOLOGIES,85285.20,"1,560 EA",23.03.2020,31.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-20,4550265101,Mask face surgical,TRIPPLE N MEDICAL DISTRIBUTORS,171864.00,13 200 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-20,4550265120,Gloves surgical,MEDI-CORE TECHNOLOGIES,8566.94,179 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-20,4550265139,Masks Face Surgical,LECHOBA MEDICAL TECHNOLOGIES,168750.00,9000 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-20,4550265139,Sanitizer 70% alcohol 1lt,LECHOBA MEDICAL TECHNOLOGIES,36450.00,300 EA,20.03.2020,20.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-24,4550265231,Apron Plastic,LECHOBA MEDICAL TECHNOLOGIES,64.00,200 EA,24.03.2020,24.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-24,4550265231,Thermometer,LECHOBA MEDICAL TECHNOLOGIES,1945.00,5 EA,24.03.2020,24.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-25,4550265232,Mask face surgical,MULTISURGE,920.00,2 box,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-25,4550265235,Mask Face Surgical,LECHOBA MEDICAL TECHNOLOGIES,2812.50,150 EA,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-25,4550265235,Sanitizer 70% alcohol 1lt,LECHOBA MEDICAL TECHNOLOGIES,18225.00,150 EA,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-25,4550265245,Thermometer,TARA TECHNOLOGIES,3750.00,30 EA,25.03.2020,25.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-24,4550265258,Gloves,MEDI-CORE TECHNOLOGIES,31790.00,200 boxes,24.03.2020,24.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-26,4550265259,Mask face surgical,TRIPPLE N MEDICAL DISTRIBUTORS,2604.00,200 PAC,26.03.2020,27.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-26,4550265260,"Sanitizer alcohol actigerm
500ml spray",LECHOBA MEDICAL TECHNOLOGIES,36450.00,300 EA,26.03.2020,27.03.2020,"Procured from the
National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-24,4550265264,Gloves,MEDI-CORE TECHNOLOGIES,1047.06,21 boxes,24.03.2020,24.03.2020,"Procured from the National Treasury	
Transversal	
contracts according	
to prices on	
Annexure A Table 1	
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-27,4550265267,Gloves,EVERGREEN LATEX,2970.48,6 Boxes,27.03.2020,27.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-31,4550265268,Gloves nitrile powder/latex free medium,EVERGREEN LATEX,498.60,10 BOX,31.0.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-30,4550265270,Mask face surgical,LECHOBA MEDICAL TECHNOLOGIES,3750.00,200 EA,30.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
