buyer_name,implementation_location_province,items_description,items_quantity,cost_per_unit_zar,order_amount_zar
Gauteng Department of Health (DOH),Gauteng,Hand Sanitizers 500ml,5000,90.00,450000.00
Gauteng Department of Health (DOH),Gauteng,Face Visors / Shield,500,67.85,33925.00
Gauteng Department of Health (DOH),Gauteng,Goggles,200,67.00,13400.00
Gauteng Department of Health (DOH),Gauteng,Masks - Surgical 3 layer,5000,20.70,103500.00
Gauteng Department of Health (DOH),Gauteng,Disposable bags Red M,2000,7.00,14000.00
Gauteng Department of Health (DOH),Gauteng,Aprons Disposable,5000,0.85,4250.00
Gauteng Department of Health (DOH),Gauteng,Boot / Shoe Covers,500,221.99,110995.00
Gauteng Department of Health (DOH),Gauteng,Examination Gloves Latex Medium,5000,2.08,10400.00
Gauteng Department of Health (DOH),Gauteng,Examination Gloves Latex Large,5000,2.08,10400.00
Gauteng Department of Health (DOH),Gauteng,Heavy Duty Gloves,360,207.00,74520.00
