buyer_name,implementation_location_province,Name of Department,supplier_name,items_description,procurement_method,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Red Row Trading Projects,"Social distancing markers pack  of
10",Quotation,4550266385,2020-06-03,10,552.00,5520.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Red Row Trading Projects,"Pull-up banners with Covid-19
guidelines and GIFA logo",Quotation,4550266385,2020-06-03,2,5592.16,11184.32
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Red Row Trading Projects,"Social distancing mats PVC
backing",Quotation,4550266385,2020-06-03,4,6280.04,25120.16
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Red Row Trading Projects,"Prevention & Procedure stickers
pack of 10",Quotation,4550266385,2020-06-03,1,2336.80,2336.80
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Lebuwa Connection,"Steel Free standing foot-operated
hand sanitiser with square base
with refill bottles",Quotation,4550266706,2020-05-29,7,2500.00,17500.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Lebuwa Connection,"Protective screens for reception
(Clear perspex desk divider with 1
x receiving slot) and open plan
workstations (Clear perspex desk
dividers)",Quotation,4550266706,2020-05-29,35,3833.47,134171.45
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Basadi AMS 2015 Trading &
Projects","Navy Blue/Black 3 layers of fabric
with filter middle layer unbranded
cloth masks",Quotation,4550266334,2020-05-12,120,30.00,3600.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health","Disposable Bags Red S
460mmx40mm","Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,100,7.00,700.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health","Disposable Bags Red M
560mmx660mm","Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,100,7.00,700.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Masks - Surgical 3 layer box,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,1000,20.70,20700.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health","Examination Gloves Latex Medium
box","Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,1000,2.08,2080.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health","Examination Gloves Latex Large
box","Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,1000,2.08,2080.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Heavy Duty Gloves box,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,35,207.00,7245.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Aprons Disposable box,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,1000,0.90,900.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Hand Sanitizers 500ml,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,60,97.75,5865.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Surface Disinfectant 500ml,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,6,147.00,882.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Face Visors/Shield Unit,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,100,68.00,6800.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Hand Sanitizer 5L,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,4,510.00,2040.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,"Gauteng Department of
Health",Thermometer - Forehead unit,"Transversal Contract
through the Gauteng
Department of Health",N/A,2020-05-14,4,2070.00,8280.00
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Masana Hygiene Services,"Deep cleaning, fumigation and
sanitising  - 2nd Floor 82 Grayston
Drive workplace preparations",Landlord - GrowthPoint,4550265622,2020-05-25,,,38215.77
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Masana Hygiene Services,Services of two cleaners,Landlord - GrowthPoint,4550265622,,5 months,,71981.45
Gauteng Infrastructure Financing Agency (GIFA),Gauteng,GIFA,Masana Hygiene Services,"Deep cleaning and sanitising -
Ground Floor 82 Grayston Drive
for positive covid-19 case",Landlord - GrowthPoint,4550265622,,,,3759.47
