,Gauteng Department of Health - Medical Equipment,
Suppliers,Count of Number of Records,Sum of PO value
ARJO HUNTLEIGH SOUTH AFRICA,2,"467,534.94"
B BRAUN MEDICAL,1,"2,824,563.00"
BIOCLIN SOLUTIONS,1,"1,150.00"
BUHLE WASTE,1,"693,693.00"
CE MOBILITY WHEELCHAIRS,9,"14,284.22"
Class Three Medical Solution cc,2,"797,315.28"
DELTA SURGICAL SA,1,"16,381.92"
DRAGER SOUTH AFRICA,5,"73,705,416.65"
EAST COAST MEDICAL NORTHERN REGIONS,3,"13,237,672.59"
ECOMED MEDICAL,6,"6,125,532.39"
ENVIROCON INSTRUMENTATION,1,"1,359,990.00"
HOSPI-FURN,1,"3,362,483.25"
HOSPITAL EQUIPMENT MANUFACTURERS,7,"417,914.63"
HUVITZ OPTICS,1,"401,925.00"
LOMAEN MEDICAL,2,"1,169,000.00"
MEDHOLD MEDICAL,1,"923,365.24"
MINUS 40,2,"157,475.35"
NEW HORIZON METALS,12,"629,107.00"
PHOENIX NEOMED,2,"7,268,697.74"
RESPIRATORY CARE AFRICA,,
4250906927,1,"193,123.08"
4250907053,1,"557,628.66"
RESPIRATORY CARE AFRICA Total,2,"750,751.74"
SANBONANI HOLDINGS,1,"14,183.50"
SECOND OPINION SYSTEMS,2,"4,659,135.32"
SSEM MTHEMBU MEDICAL,1,"763,717.95"
THE SCIENTIFIC GROUP,2,"7,990,335.36"
UNICORE HOLDINGS,1,"33,657.40"
Grand Total,69,"127,785,283.47"
MAQUET SOUTHERN AFRICA,1,"31,984,260.00"
MBUSO MEDICAL SUPPLIES,1,"34,778,630.00"
New Grand Total,74,"194,588,127.70"
