Name of Department,Vendor Name,Item Description bought,Procurement Modality,PO No.,Purchase Order Date,Quantity,Unit Price,PO Value
GPT,TRIPPLE N MEDICAL DIST,SIBaUniTtiOzeRr Shand not less than 7,Quotation As per NT instruction Note No 8 of 19/20,4250896215,03/06/2020,2000,84.33,"168,660.00"
GPT,MASANA HYGIENE SERVI,"EDSeep cleaning of Carpet , stri",Quotation,4250903721,29/05/2020,"31671,28 m2",4.87,"154,239.15"
GPT,BIZROCKET TRADE AND P,MOaJsEkC faTcSe tie back adults 3 la,Quotation As per NT instruction Note No 5 of 20/21,4250904203,12/05/2020,2000,24,"48,000.00"
GPT,Tshello Trading And Project,Woven Microfibre cloth,Quotation,4250907556,18/05/2020,1000,15.9,"15,900.00"
GPT,Steiner Hygiene,Foot pedal hands free sanitiser,Quotation,4250907726,14/05/2020,28,"1,113.20","31,169.60"
GPT,MASANA HYGIENE SERVI,EDSecontaminating the building,Quotation,4250910831,25/05/2020,123 000  m2,2.415,"297,045.00"
GPT,Department of Health,Thermometer - ForeHead,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,5,"2,070.00","10,350.00"
GPT,,Masks - Surgical 3 Layer,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,8000,20.7,"165,600.00"
GPT,,Disposable Bags Red S,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,700,7,"4,900.00"
GPT,,Hand Sanitizer SL,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,180,510,"91,800.00"
GPT,,Face Visors/Shield,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,500,68,"34,000.00"
GPT,,Examination Gloves Latex,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,4000,2.08,"8,320.00"
GPT,,Examination Gloves Latex,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,4000,2.08,"8,320.00"
GPT,,Aprons Disposable,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,2000,0.85,"1,700.00"
GPT,,Disposable Bags Red M,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,700,7,"4,900.00"
GPT,,Hand Sanitizers 500ml,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,1792,90,"161,280.00"
GPT,,Hand Sanitizer SL,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,200,510,"102,000.00"
GPT,,Heavy Duty Gloves,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,600,207,"124,200.00"
GPT,,Hand Sanitizers 500ml,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,6088,90,"547,920.00"
