buyer_name,implementation_location_province,Name of Department,supplier_name,items_description,procurement_method,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Gauteng Provincial Treasury,Gauteng,GPT,TRIPPLE N MEDICAL DIST,Sanitizer hand not less than 7,Quotation As per NT instruction Note No 8 of 19/20,4250896215,2020-06-03,2000,84.33,168660.00
Gauteng Provincial Treasury,Gauteng,GPT,MASANA HYGIENE SERVI,Deep cleaning of caripet,Quotation,4250903721,2020-05-29,"31671,28 m2",4.87,154239.15
Gauteng Provincial Treasury,Gauteng,GPT,BIZROCKET TRADE AND P,Masks - Surgical 3 Layer,Quotation As per NT instruction Note No 5 of 20/21,4250904203,2020-05-12,2000,24.00,48000.00
Gauteng Provincial Treasury,Gauteng,GPT,Tshello Trading And Project,Woven Microfibre cloth,Quotation,4250907556,2020-05-18,1000,15.90,15900.00
Gauteng Provincial Treasury,Gauteng,GPT,Steiner Hygiene,Foot pedal hands free sanitiser,Quotation,4250907726,2020-05-14,28,1113.20,31169.60
Gauteng Provincial Treasury,Gauteng,GPT,MASANA HYGIENE SERVI,EDSecontaminating the building,Quotation,4250910831,2020-05-25,123 000  m2,2.42,297045.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Thermometer - ForeHead,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,5,2070.00,10350.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Masks - Surgical 3 Layer,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,8000,20.70,165600.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Disposable Bags Red S,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,700,7.00,4900.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Hand Sanitizer SL,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,180,510.00,91800.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Face Visors/Shield,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,500,68.00,34000.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Examination Gloves Latex,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,4000,2.08,8320.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Examination Gloves Latex,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,4000,2.08,8320.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Aprons Disposable,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,2000,0.85,1700.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Disposable Bags Red M,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,700,7.00,4900.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Hand Sanitizers 500ml,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,1792,90.00,161280.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Hand Sanitizer SL,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,200,510.00,102000.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Heavy Duty Gloves,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,600,207.00,124200.00
Gauteng Provincial Treasury,Gauteng,GPT,Department of Health,Hand Sanitizers 500ml,Transversal Contract through the Gauteng Department of Health,Transversal Contract through the Gauteng Department of Health,,6088,90.00,547920.00
