buyer_name,implementation_location_province,No.,invoice_date,END-USER,order_number,items_description,SPECIFICATION,supplier_name,order_amount_zar,procurement_method
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,1,2020-03-25,Facilities Management,4250905963,Sanitisers for GDARD Building,"20 x 5L Sanitisers
50 x 75 ml Spray bottles",Tiney Cleaners,15295.00,"Emergency  Procurement/
one quote"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,2,2020-04-20,FSD,4250898862,"Supply and delivery of requisite material
and Equipments as a response measure
to protect farmers/producers from
transmission of COVID-19 virus.","1. 20 x 5 litres Sanitizers
(70% Alcohol)
2. 100 x spray bottles 750ml
3. 100 x Masks N95 )",VIDA Pharmaceuticals,22200.00,"Emergency  Procurement/
one quote"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,3,2020-03-30,Facilities Management,4250908872,Emergency - Masks - GDARD Officials,"Emergency Procurement for
100 Protective ( surgical)
mask for the front line staff
during CoviD 19
Pandemic",SDU Holdings,2300.00,"Emergency  Procurement/
one quote"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,4,2020-05-04,HRD,4250907194,"Human Infrared thermometers
(scanners) for GDARD and DID","1. 35 x Infrared
Thermometer (Human),
34°C ~ 42°C, Accuracy
±0.2°C, Temperature
resolution 0.1°C, , High, Test
Distance 2cm ~ 3cm,
Non‐contact or similar
product. Subject to
availability.
2. 1.5V AAA Battery x 2 pcs",Impact Drivers,85750.00,"RFQ process/Three
quotation"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,5,2020-04-15,ESS,4250898344,"Plant hire for for cleaning and removal
of waste in illegal dumping areas  in
Rand West Municipality","Hiring of 3 TLBs front loader
, 6 Tipper Trucks (10 cubes)
all with drivers and with
Corona specific
Personal Protective
Equipment (PPE) for
Emergency COVID -19
Waste Clean-up for 5 days
in areas identified in the
Rand West Municipality .","Tam Business Solutions
(Pty) Ltd",360741.20,"RFQ process/Three
quotation"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,6,2020-04-15,EES,4250898348,"Plant hire for Cleaning and removal of
waste in illegal dumping areas in
Tshwane Municipality","Hiring of 3 TLBs front
loader, 6 Tipper Trucks (10
cubes) all with drivers and
with Corona specific
Personal Protective
Equipment (PPE) for
Emergency COVID -19
Waste Clean-up for 5 days
in areas identified in the City
of Tshwane Municipality",Plexiphon 213 CC,287500.00,"RFQ process/Three
quotation"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,7,2020-04-20,EES,4250898841,"Plant hire  for cleaning and removal of
waste in illegal dumping areas in  City of
Johannesburg","Hiring of 3 TLBs front
loader, 6 Tipper Trucks (10
cubes) all with drivers and
with Corona specific
Personal Protective
Equipment (PPE) for
Emergency COVID -19
Waste Clean-up for 5 days
in areas identified in the City
of Johannesburg",Sedtrade,291266.25,"RFQ process/Three
quotation"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,8,2020-04-15,EES,4250898353,"Plant hire for cleaning and removal of
waste in illegal dumping areas in
Sedibeng municipality","Hiring of 3 TLBs front
loader, 6 Tipper Trucks (10
cubes) all with drivers and
with Corona specific
Personal Protective
Equipment (PPE) for
Emergency COVID -19
Waste Clean-up for 5 days
in areas identified in
Sedibeng municipality",SBLN Trading,448680.00,"RFQ process/Three
quotation"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,9,2020-04-15,EES,4250898346,"Plant hire for cleaning and removal of
waste in illegal dumping areas in
Ekurhuleni municipality","Hiring of 3 TLBs front
loader, 6 Tipper Trucks (10
cubes) all with drivers and
with Corona specific
Personal Protective
Equipment (PPE) for
Emergency COVID -19
Waste Clean-up for 5 days
in areas identified in
Ekurhuleni municipality",Babubatse Investments,286350.00,"RFQ process/Three
quotation"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,10,2020-03-30,EES,4250898349,"Plant hire for cleaning and removal of
waste in illegal dumping areas in
Diepsloot (City of Johannesburg)","Hiring of 5 TLBs front
loader, 10 Tipper Trucks (10
cubes) all with drivers and
with Corona specific
Personal Protective
Equipment (PPE) for
Emergency COVID -19
Waste Clean-up for 5 days
in areas identified in
Diepsloot ( City of
Johannesburg)","RDGS Construction and
Projects",495000.00,"RFQ process/Three
quotation"
