ME OF THE SUPPL,"DATE OF
ER
COMMITMMENT",AMOUNTS,COMMENTS,"PURCHASE ORDER
NUMBERS"
Nkane Projects ,30/03/2020,"R                                            257,418,300.00",,4250898022
"Dinaane
Constation
Services",07/04/2021,"R                                            198,750,000.00",Value over 5 months- Contract,4250904486
LMD Engineering,20/04/2020,"R                                            155,077,500.00",,4250901271
"OLEE TELECOM
SOLUTIONS",24/06/2020,"R                                            151,800,000.00",,4250911761
Beadica 423 CC,24/04/2020,"R                                            127,136,000.00",,4250902012
Senatla,20/04/2020,"R                                            127,136,000.00",,
LNG Scientific,24/04/2020,"R                                            113,250,000.00",,4250902880
Maponya Medical,26/04/2020,"R                                            112,370,000.00",,4250899952
ZAKHENI STRATE,21/04/2020,"R                                            103,770,000.00",,4250906272
"Steelwood
International/
Medena",21/04/2020,"R                                               87,500,000.00",,4250900261
Kraft Medcal ,02/04/2020,"R                                               84,360,000.00",,4250897479
IXODOX,11/06/2020,"R                                               67,795,000.00",,4250909870
Imphofu Engineri,03/05/2020,"R                                               67,500,000.00",,4250910528
Beadica 423 CC,28/05/2020,"R                                               41,461,000.00",,4250910559
"Dinaane
Constation
Services",09/04/2020,"R                                               41,245,000.00",,4250897987
"Dinaane
Constation
Services",07/04/2020,"R                                               39,750,000.00",,4250901496
Ikusasa Health an,13/04/2020,"R                                               36,500,000.00",,4250900711
"Given Exclusive
Projects",24/04/2020,"R                                               32,450,000.00",,4250901797
Bliss Pharmaceuti,31/03/2020,"R                                               32,062,000.00",,4250898579
Bliss Pharmaceuti,30/03/2020,"R                                               27,495,000.00",,4250901759
Maponya Medical,01/04/2020,"R                                               25,875,000.00",,
Umnothozwide,01/04/2020,"R                                               25,875,000.00",,4250899957
Olee Telecom Sol,06/04/2020,"R                                               25,300,000.00",,4250898880
"Steelwood
International/
Medena",20/04/2020,"R                                               24,750,000.00",,4250901553
Mlangeni Brother,20/04/2020,"R                                               24,000,000.00",,4250901850
Maponya Medical,30/03/2020,"R                                               22,500,000.00",,4250899950
Traikon Enginerin,20/04/2020,"R                                               22,310,000.00",,4250901425
ZAKHENI STRATE,04/05/2020,"R                                               19,950,000.00",Invoice,4250901435
Target Pathology,15/05/2020,"R                                               18,687,500.00",,4250910728
Olwe2 Project Ma,02/04/2020,"R                                               17,645,873.70",,4250897998
Mokone,22/05/2020,"R                                               17,160,000.00",,4250910019
Cibacon Consultin,29/06/2020,"R                                               15,750,000.00",,4250915493
