implementation_location_province,buyer_name,INSTITUTION,award_date,PRODUCT,ITEM,item_description,UNIT OF MEASURE,cost_per_unit_zar,QUALITY OF UNITS,order_amount_zar,supplier_name
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Dispensers,Sanitizer Refill Bottles,Plastic spray bottles 200ml,200ml,9.20,10000,92000.00,Inspect A Pest
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Ethanol,Ethenol,25L,11687.22,80,934977.60,Tenere Group
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Wipes - Alcohol surface disinfectant,Wipe care Surface Perforated 100,800,86.25,800,69000.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Disinfectant,Aerosol Antibacterial Refill,285,73.60,"R285,00",20976.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Sanitizer,Hand Sanitiser Spray 70% 5 Litre,20,322.00,"R20,00",6440.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,other,Provide Details,Battery D-Size Alkaline,570,20.70,"R570,00",11799.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Sanitizer with Dispenser,Hand sanitizer Gel Short Nose Pump 1 Litre 70%,19,103.50,"R19,00",1966.50,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Wipes - Alcohol surface disinfectant,Wipe Bucket Empty,800,28.75,"R800,00",23000.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Sanitizer,Hand Sanitiser Gel 70% 5 litre,90,322.00,"R90,00",28980.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Sanitizer,Hand Sanitizer Quick 111,781,103.50,"R781,00",80833.50,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,Sanitizers,Sanitizer,Hand Cleaner 5 Litre,345,322.00,"R345,00",111090.00,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,other,Provide Details,Air Freshner Dispencer SH,259,500.25,"R259,00",129564.75,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-03-26,other,Provide Details,Air Freshner Dispencer SH,26,500.25,"R26,00",13006.50,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-07,Masks,Masks (n95),Kimberly Mask,5000,23.60,5000,118000.00,Tholowethu
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-07,Masks,Nose Muffs,Nose Muffs,4800,84.55,4500,380475.00,Tholowethu
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-07,PPE,Disposable overalls,Disposable Nappy overalls,8,99.95,8,799.60,Tholowethu
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-07,Sanitizers,Soap - Liquid,Liquid soap with ethonal to comply with RTCOvid 19 Contract,300ml,99.00,1000,99000.00,Tholowethu
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-07,Sanitizers,Wet Wipes - Hand,Sanitizer wet wipes,2ml - 10 0pc per box,99.50,200,19900.00,Tholowethu
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-28,Sanitizers,Soap- Bar,Bar soap 175g and Hand sanitizer 11,175g,16.80,250,4200.00,Umbalani Consulting
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-28,Sanitizers,Sanitizer,Hand Sanitiser,1L,118.85,250,29712.50,Umbalani Consulting
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,PPE,Disposable overalls,"Disposable overalls , Suit",1000,192.85,1000,192850.00,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,PPE,Goggles,"Googles(Protective head and face gear, face mask,",250,95.45,250,23862.50,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,Gloves,Gloves,Double gloves(100 in a Pack),100,225.45,25,5636.25,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,Masks,Respirator,Facemask (Respiratory Protector 50 in a pack),50,1350.20,25,33755.00,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,PPE,Safety Footwear,Safety Footwear (Disposable Shoes),1000,21.60,1000,21600.00,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,Sanitizers,Sanitizer,Hand wipes and or hand sanitizers,100,49.50,250,12375.00,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,Biohazard,Biohazard Bags,Disposal waste bag (10 in a Pack),10,25.50,250,6375.00,Smooth Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-23,Sanitizers,Detergents,Detergent,251,2287.35,50,114367.50,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-23,Dispensers,Knapsack sprayers,Knapsack sprayers,161,949.99,250,237498.00,PLZ Projects
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-23,Storage,Storage Carts,Vehicle drawn storage carts,1000I,109250.00,22,2403500.00,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-24,Sanitizers,Detergents,Detergent,251,579.15,254,147104.55,Octu Chem (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-30,PPE,Disposable overalls,"Disposable Overalls, Suit",500,289.00,500,144500.00,Nosambela Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-30,PPE,Goggles,"Googles (Protective head and face gear, full face shields)",300,140.00,300,42000.00,Nosambela Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-30,Masks,Respirator,facemask (Respiratory Protection),100,2475.00,100,247500.00,Nosambela Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-30,Gloves,Gloves,Double Gloves ( Hand protection),300,128.00,300,38400.00,Nosambela Trading
