R thousand,,,Total Per Category,,,,,Grand Total
No,Dem,Name,General,Community & Social Services  ,Public Safety,Housing,Health,
1,ETH,eThekwini,1085 94,97036,88190,77657,75920,447 398
2,DC27,Umkhanyakude,1 249,153150 .,,.,.,154 399
3,KZN282,uMhlalhzue,22 389,28492,23 821,9442,1 004,85148
4,DC28,King Cetshwayo,407,40 791 .,,.,102,41 301
5,KZN225,Msunduzi,15 089,4 724 .,,3 242,.,23 055
6,DC21,Ugu,9446,8 972 .,,.,.,18 418
7,DC22,uMgungundlovu,654,14178 .,,.,375,15 207
8,DC26,Zululand,8 726,. .,,.,4199,12 925
9,KZN272,Jozini,3 066,6 550 .,,.,11,9 626
10,KZN222,uMngeni,9 066,,. 34,.,.,9120
