SUPPLIERN AME,AMOUNT
GVK - Siya Zama Building Contractors (Cape) (PTY) LTD,"311623118,28"
RGZ Projects,"163 739 912,33"
Logan Medical & Surgical (Pty) Ltd,"122 053 705,25"
Leomat JJS JV,"121920872,15"
ENZA Construction,"114 661 187,00"
Highpana Projects,"105 692 563,33"
Sebenzani Trading 622 CC,"102 909 482,50"
CV Projects SA,"80 965 509,26"
SIQU Group,"79 568 278,02"
ISU Engineering,"61 000 000,00"
Lakeshore Trading 102,"41287290,75"
The New Look,"40 572 520,00"
Alfrehutch Trading cc,"34 003 476,00"
Promed Technologies (Pty) Ltd,"33 683 500,00"
Mavuka 010115 Trading,"32 208 000,00"
