TABLE,INSTITUTION,DATE OF AWARD,PRODUCT,ITEM,DESCRIPTION,UNIT OF MEASURE,PRICE PER UNIT OF MEASURE IN RANDS (incl. VAT),QUALITY OF UNITS,ORDER AMT IN RANDS,SUPPLIER NAME
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Dispensers,Sanitizer Refill Bottles,Plastic spray bottles 200ml,200ml,"R9,20",10000,,Inspect A Pest
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Ethenol,Ethenol,25L,"R11 687,22",80,"R934 977,60",Tenere Group
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Wipes - Alcohol surface,Wipe care Surface Perforated 100,800,"R86,25",800,"R69 000,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Disinfectant,Aerosol Antibacterial Refill,285,"R73,60","R285,00","R20 976,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Sanitizer,Hand Sanitiser Spray 70% 5 Litre,20,"R322,00","R20,00","R6 440,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Other,Provide Details,Battery D-Size Alkaline,570,"R20,70","R570,00","R11 798,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Sanitizer with Dispenser,Hand sanitizer Gel Short Nose Pump 1 Litre 70%,19,"R103,50","R19,00","R1 966,50",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Wipes - Alcohol surface disinfectant,Wipe Bucket Empty,800,"R28,75","RB00,00","R23 000,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Sanitizer,Hand Sanitiser Gel 70% 5 litr e,90,"R322,00","R90,00","R28 980,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Sanitizer,Hand Sanitizer Quick 1It,781,"R103,50","R781,00","—|R80 833,50",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Sanitizers,Sanitizer,Hand Cleaner 5 Litre,345,"R322,00","R345,00","R111 080,00",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Other,Provide Details,Air Freshner Dispencer SH,259,"R 500,25","R259,00","R129 564,75",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/03/26,Other,Provide Detalls,Alr Freshner Dispencer SH,26,"R500,25","R26,00","R13 006,50",Bidvest Steiner Pietermaritzburg
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/04/07,Masks,Masks (n95),Kimberly Mask,5000,"R23,60",5000,"R118 000,00",Tholowethu
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/04/07,Masks,Nose Muffs,Nose Muffs,4800,"R84,55",4500,"R380 475,00",Tholowethu
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/04/07,PPE,Disposable overalls,Dis Nappy overalls,8,"R 99,95",8,"R798,60",Tholowethu
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/04/07,Sanitizers,Soap - Liquid,Liquid soap with ethonal to comply with RTCOvid 19 Contract,300ml,"R99,00",1000,"R939 000,00",Tholowethu
EXPENDITURE PER PROVINCIAL DEPARTNMENT ,Agriculture and Rural Development,2020/04/07,Sanitizers,Wet Wipes - Hand,Sanitizer wet wipes,2ml - 100pc per box,"R 99,95",200,"R19 900,00",Tholowethu
