EDTEA,,2020/03/18 | Cleaning,,Cloth,Cloth,1,"R19,96 200","R23 992,00  Afrizonke",,,,
EDTEA,,2020/03/19,it,Sanitizer,Sanitiser,500ML,"R97,75 1000","R97 750,00 Regal products",,,,
EDTEA,,,Gloves,Gloves,Gloves,PER BOX of 100,"R166,75 80","R13 340,00 Rafi Kader trading as Gutter Flow",,,,
EDTEA,,,Masks,3 Ply Mask,Masks,Each,"R20,70 1000","R20 700,00 Rafi Kader trading as Gutter Flow",,,,
EDTEA,,2020/03/27,| Masks,Mask (FFP2),HW 5209 FFP2 Disp Mask Valv 20 Std,per pack of 20,"R512,00 3","R1 536,00 Qwalty Group",,,,
EDTEA,,202003/27,| PPE,Safety Footwear,Safety BootsBova Maverick Boot Black 8,Each,"R623,75 25","R15 593,75 Qwalty Group",,,,
EDTEA,,2020/03/27 | Other,,Provide Detalls,Versatex Work Jacket Khaki L,Each,"R308,15 125","Rae 643,75 Qwalty Group",,,,
EDTEA,,2020/03/27 | Other,,Pravide Details,Cargo Pant sLegendary Cargo Trousers Khaki 34,Each,"R768,14 125","R&é 017,50 Quwalty Group",,,,
EDTEA,,2020/03/27,| Other,Provide Detalls,Versatex Work Trousers Khakl 32,Each,"R295,64 125","R&6 955,00. Quwalty Group",,,,
EDTEA,,,Gloves,Gloves:,ination (Latex) Di Latex Gloves 100Pc!,per box of 100,"R133,64 25","R3 341,00 Quwalty Group",,,,
EDTEA  Video,,,,Cr  Video,Ct,Each,"R288 031,63 18","R4 320 474,45 | Dimension Data",,,,
,,,,,,,,,,,,
EDTEA,,2020/04/03 | Gloves,,Gloves,Gloves,PER BOX of 100,"R218,00 50","R10 900,00 Rafi Kader trading as Gutter Flow",,,,
EDTEA,,2020/04/03,| Masks,Masks (FFP1),FFP1,Each,"R66,70 4000","R266 800,00 | Rafi Kader trading as Gutter Flow",,,,
EDTEA,,2020/04/03,| Masks,Mask (FFP2),FFP2,Each,"R74,70 1000","R74 700,00 Rafi Kader trading as Gutter Flow",,,,
