TABLE,SUPPLIER NAME,AMOUNT
TOP 15 SUPPLIERS BY ORDER VALUE ,GVK - Siya Zama Building Contractors (Cape) (PTY) LTD,311623118.28
TOP 15 SUPPLIERS BY ORDER VALUE ,RGZ Projects,163739912.33
TOP 15 SUPPLIERS BY ORDER VALUE ,Logan Medical & Surgical (Pty) Ltd,122053705.25
TOP 15 SUPPLIERS BY ORDER VALUE ,Leomat JJS JV,121920872.15
TOP 15 SUPPLIERS BY ORDER VALUE ,ENZA Construction,114661187.00
TOP 15 SUPPLIERS BY ORDER VALUE ,Highpana Projects,105692563.33
TOP 15 SUPPLIERS BY ORDER VALUE ,Sebenzani Trading 622 CC,102909482.50
TOP 15 SUPPLIERS BY ORDER VALUE ,CV Projects SA,80965509.26
TOP 15 SUPPLIERS BY ORDER VALUE ,SIQU Group,79568278.02
TOP 15 SUPPLIERS BY ORDER VALUE ,ISU Engineering,61000000.00
TOP 15 SUPPLIERS BY ORDER VALUE ,Lakeshore Trading 102,41287290.75
TOP 15 SUPPLIERS BY ORDER VALUE ,The New Look,40572520.00
TOP 15 SUPPLIERS BY ORDER VALUE ,Alfrehutch Trading cc,34003476.00
TOP 15 SUPPLIERS BY ORDER VALUE ,Promed Technologies (Pty) Ltd,33683500.00
TOP 15 SUPPLIERS BY ORDER VALUE ,Mavuka 010115 Trading,32208000.00
