TABLE,PRODUCT,AMOUNT,PERCENTAGE
SPEND BY PRODUCT,Infrastructure,1139923090.99,57.01%
SPEND BY PRODUCT,Sanitizers,363483074.07,18.18%
SPEND BY PRODUCT,Masks,196867829.10,9.85%
SPEND BY PRODUCT,Dispensers,74062686.64,3.70%
SPEND BY PRODUCT,Themometers,63658872.96,3.18%
SPEND BY PRODUCT,PPE,61262808.75,3.06%
SPEND BY PRODUCT,Gloves,43473950.11,2.17%
SPEND BY PRODUCT,Blankets,22437000.00,1.12%
SPEND BY PRODUCT,Catering,11084849.79,0.55%
SPEND BY PRODUCT,Cleaning,6283875.29,0.31%
SPEND BY PRODUCT,Electronics,4606712.67,0.23%
SPEND BY PRODUCT,Groceries,3774000.00,0.19%
SPEND BY PRODUCT,Other,3204265.59,0.16%
SPEND BY PRODUCT,Storage,2403500.00,0.12%
SPEND BY PRODUCT,Advertisements,2400009.94,0.12%
SPEND BY PRODUCT,Biohazard,243391.00,0.01%
SPEND BY PRODUCT,Security,239712.90,0.01%
SPEND BY PRODUCT,Courier,56074.20,0.00%
,,,
