buyer_name,implementation_location_other,No,DEPT/ENTITY,,supplier_numbers_other,supplier_name,company_registration_number,ITEM CATEGORY,items_description,items_quantity,cost_per_unit_zar,order_amount_zar,TOTAL VAL RECALC,order_number,invoice_number,SYS INVOICE AMOUNT,SYS INVOICE DATE,invoice_date,SYS INVOICE RECEIPT DATE,invoice_reciept_date,SYS PAYMENT DATE,payment_number,SYS DISPURSE NO,SYS PAYMENT AMOUNT,paymen_period,PAY VAR,STATUS,COMMITMENT OUTSTANDING,ORDERS CLOSED
Limpopo Department of Agriculture,Limpopo,1,AGRICULTURE,Agriculture,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Cleaning Hygiene,1,4535.60,4535.60,#VALUE!,HO-004470,PIETRIN0045281,"R4,535.60",5/14/2020,2020-05-14,5/26/2020,2020-05-26,5/26/2020,2468791,1148452,"R4,535.60",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,2,AGRICULTURE,Agriculture,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Hand liquid pink 5l,50,80.00,4600.00,#VALUE!,HO-004447,PIETRIN0044679,"R4,600.00",4/16/2020,2020-04-16,4/22/2020,2020-04-22,4/23/2020,2467687,1147737,"R4,600.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,3,AGRICULTURE,Agriculture,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Hand soap 5l,200,80.00,18400.00,#VALUE!,HO-004451,298003,"R18,400.00",4/16/2020,2020-04-16,4/22/2020,2020-04-22,4/23/2020,2467683,1147737,"R18,400.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,4,AGRICULTURE,Agriculture,MAAA0238860,Bidvest Steiner,2000/011155/07,Sanitiser,Hand sanitizer 5l,40,552.00,22080.00,"R22,080.00",HO-004447,PIETRIN0044679,"R22,080.00",4/16/2020,2020-04-16,4/22/2020,2020-04-22,4/23/2020,2467687,1147737,"R22,080.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,5,AGRICULTURE,Agriculture,MAAA0238860,Bidvest Steiner,2000/011155/07,Cleaning,Cleaning Hygiene,1,36859.98,36859.98,"R36,859.98",HO-004470,PIETRIN0045281,"R36,859.98",5/14/2020,2020-05-14,5/26/2020,2020-05-26,5/26/2020,2468791,1148452,"R36,859.98",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,6,AGRICULTURE,Agriculture,MAAA0085880,Crispy Multi Project,2004/083654/23,Cleaning,Two Piece Work suits,500,356.00,178000.00,#VALUE!,HO-004450,CMP00049,"R178,000.00",4/20/2020,2020-04-20,4/22/2020,2020-04-22,4/23/2020,2467684,1147699,"R178,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,7,AGRICULTURE,Agriculture,MAAA0080910,Evergreen Latex cc,2002/057771/23,Gloves,Surgical Latex gloves,200,148.00,29600.00,#VALUE!,HO-004446,54220,"R29,600.00",4/22/2020,2020-04-22,4/22/2020,2020-04-22,4/23/2020,2467688,1147784,"R29,600.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,8,AGRICULTURE,Agriculture,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Goggles - Safety,Goggles Safety,200,69.50,13900.00,#VALUE!,HO-004448,IN100012,"R13,900.00",5/14/2020,2020-05-14,5/25/2020,2020-05-25,5/26/2020,2468742,1148479,"R13,900.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,9,AGRICULTURE,Agriculture,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Sanitiser,500ml hand sanitizer gel,"4,000",52.83,243000.00,#VALUE!,HO-004442,201802782,"R243,000.00",4/14/2020,2020-04-14,4/15/2020,2020-04-15,4/23/2020,2467694,1147780,"R243,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,10,AGRICULTURE,Agriculture,MAAA0038766,Lechoba-Medical Technologies,2005/044442/07,Cleaning,"Disinfectant, Hand, Surface,
sanitizers","20,000",60.75,1215000.00,#VALUE!,HO-004448,IN100012,"R1,215,000.00",5/14/2020,2020-05-14,5/25/2020,2020-05-25,5/26/2020,2468742,1148479,"R1,215,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,11,AGRICULTURE,Agriculture,MAAA0034212,Msarikeng General Supply,2006/059494/23,Masks - Non Surgical,Cleaning industrial dust masks,"14,400",6.00,86400.00,#VALUE!,HO-004457,MGS-201823,"R86,400.00",4/22/2020,2020-04-22,4/22/2020,2020-04-22,4/23/2020,2467680,1147700,"R86,400.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,12,AGRICULTURE,Agriculture,MAAA0216602,Ponontle Consulting,2009/119342/23,Masks - Non Surgical,Surgical  masks,"46,000",18.75,862500.00,"R862,500.00",HO-004471,SURGMASK012,"R862,500.00",5/26/2020,2020-05-26,5/26/2020,2020-05-26,5/26/2020,2468793,1148485,"R862,500.00",2020/06,R0.00,CLOSED,,R0.00
Limpopo Department of Agriculture,Limpopo,13,AGRICULTURE,Agriculture,MAAA0352514,Promed Technologies,2014/162486/07,Cleaning,"Disinfectant,Surface: Sterwise
RT 2","1,500",90.00,135000.00,#VALUE!,HO-004445,I N 103816,"R135,000.00",5/22/2020,2020-05-22,5/25/2020,2020-05-25,5/25/2020,2468753,1148480,"R135,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,14,AGRICULTURE,Agriculture,MAAA0350093,Regid Printers,2010/119314/23,Gloves,Gloves cleaner rubber,100,70.00,7000.00,#VALUE!,HO-004452,RIG-9984669,"R7,000.00",4/17/2020,2020-04-17,4/22/2020,2020-04-22,4/23/2020,2467686,1147701,"R7,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,15,AGRICULTURE,Agriculture,MAAA0350093,Regid Printers,2010/119314/23,Cleaning,Two Piece work suits,159,250.00,39750.00,#VALUE!,HO-004452,RIG-9984669,"R39,750.00",4/22/2020,2020-04-17,4/23/2020,2020-04-23,2467686,2467686,1147701,"R39,750.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Agriculture,Limpopo,16,AGRICULTURE,Agriculture,MAAA0350093,Regid Printers,2010/119314/23,Cleaning,Boots Leather,155,350.00,54250.00,#VALUE!,HO-004452,RIG-9984669,"R54,250.00",4/22/2020,2020-04-17,4/23/2020,2020-04-23,2467686,2467686,1147701,"R54,250.00",2020/06,R0.00,CLOSED,R0.00,R0.00
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,17,COGHSTA,COGHSTA,MAAA0887806,Lehumo la Khomotso,2009/118509/23,Gloves,examination hand gloves,"5,000",0.98,4900.00,"R4,900.00",OR-005124,175-2020,"R4,900.00",6/24/2020,2020-06-24,6/24/2020,2020-06-24,6/24/2020,2454739,1129177,"R4,900.00",2020/06,R0.00,CLOSED,R0.00,R0.00
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,18,COGHSTA,COGHSTA,MAAA0887806,Lehumo la Khomotso,2009/118509/23,Sanitiser,sanitizers,80,4950.00,396000.00,"R396,000.00",OR-005124,175-2020,"R396,000.00",6/24/2020,2020-06-24,6/24/2020,2020-06-24,6/24/2020,2454739,1129177,"R396,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
