Supplier Name,Item Description,Payment Quantity,Last Unit of Measure,Average Unit Price,Data of applicable NT Price,Payment Amount,Vat Amount,Total
CliniPro Pty Ltd,Face Shields,43000,Each,32,20-May,1376000,206400,1582400
CliniPro Pty Ltd,Paper Towel Dispenser,44800,Roll,483.3,20-May,21652032.64,3247804.9,24899837.5
CliniPro Pty Ltd,"Liquid Soap Auto Dispensers (Hand Santitiser
 Despenser 1Lt)",46000,1L,826.52,20-May,38019998.2,5702999.73,43722997.9
CliniPro Pty Ltd,"Bio-Hazard Bags (750x950), each Bale contains 20",5000,Bale,33.72,20-May,168608.5,25291.28,193899.7
CliniPro Pty Ltd,Digital Themometer,5400,Each,1888.87,20-May,10199895.84,1529984.38,11729880.2
CliniPro Pty Ltd,Disposable PPE Coveralls (Small),100,Each,210,20-May,21000,3150,24150
CliniPro Pty Ltd,Disposable PPE Coveralls (Large),200,Each,210,20-May,42000,6300,48300
CliniPro Pty Ltd,Disposable PPE Coveralls (Extra Large),100,Each,210,20-May,21000,3150,24150
CliniPro Pty Ltd,Disinfectant 25Lt,1100,25L,479.65,20-May,527615,79142.25,606757.2
CliniPro Pty Ltd,Soap 25Lt,1100,25L,654.56,20-May,720012.15,108001.82,828013.9
CliniPro Pty Ltd,Paper Towel Dispenser,1200,Each,478.96,20-May,574747.8,86212.17,660959.9
Bidvest Steiner,Wipe Care Surface Perforated,11,Box,458.89,18-Mar-20,5047.79,757.17,5804.9
Bidvest Steiner,Installation Change,2000,Each,98.05,18-Mar-20,196100,29415,225515
Bidvest Steiner,Hand Sanitiser Spray 25 Lt,80,25L,1940.17,18-Mar-20,155213.6,23282.04,178495.6
Bidvest Steiner,Soap Hand Sanitiser Spray 5 Lt,40,5L,370,18-Mar-20,14800,2220,17020
Doha Supply and Systems,Fumigation Sprays,580,Each,1380,20-May,800400,120060,920460
Madlela Holdings,Three layer face cloth masks,22601,Each,25,20-Jun,565025,0,565025
Apropath General Trading,Three layer face cloth masks,22601,Each,25,20-Jun,565025,0,565025
Ayame Properties,Three layer face cloth masks,565,Each,25,20-Jun,14125,0,14125
Billymary Group,Three layer face cloth masks,5650,Each,25,20-Jun,141250,0,141250
Andilamakhonda NPC,Three layer face cloth masks,565,Each,25,20-Jun,14125,0,14125
Uniform Outlet Pty Ltd,Three layer face cloth masks,22601,Each,24,20-Jun,542424,0,542424
Times Ten Trading Enterprise,Three layer face cloth masks,46612,Each,25,20-Jun,1165300,0,1165300
Lwandilelwazi Trading,Three layer face cloth masks,11300,Each,25,20-Jun,282500,0,282500
Esinenhlanhla Logistics and Prjects,Three layer face cloth masks,5581,Each,24.99,20-Jun,139469.19,0,139469.1
Siswa Trading and Projects,Three layer face cloth masks,17860,Each,25,20-Jun,446500,0,446500
Masibone Trading Enterprise,Three layer face cloth masks,23920,Each,24,20-Jun,574080,0,574080
The Great Warthog Pty,Three layer face cloth masks,7973,Each,24.66,20-Jun,196614.18,0,196614.1
Nedtex 413,Three layer face cloth masks,15946,Each,25,20-Jun,398650,0,398650
Indlela Trading and Projects,Three layer face cloth masks,15946,Each,25,20-Jun,398650,0,398650
Greatlinking Management Service,Three layer face cloth masks,31893,Each,25,20-Jun,797006.07,0,797006.07
Siyanqoba Empire (Pty) Ltd,Three layer face cloth masks,2592,Each,25,20-Jun,64800,0,64800
Cusi Plant Hire and Projects,Three layer face cloth masks,25923,Each,25,20-Jun,648075,0,648075
TGM TEE EM (Pty) Ltd,Three layer face cloth masks,25923,Each,25,20-Jun,648075,0,648075
Hlelolwakhe Trading,Three layer face cloth masks,25923,Each,25,20-Jun,648075,0,648075
Thanatelo Trading,Three layer face cloth masks,25922,Each,25,20-Jun,648050,0,648050
Creselda Eduational Foundations,Three layer face cloth masks,11405,Each,19,20-Jun,216695,0,216695
Madlela Holdings,Three layer face cloth masks,12545,Each,25,20-Jun,313625,0,313625
Mzungwa Trading,Three layer face cloth masks,22810,Each,25,20-Jun,570250,0,570250
KNK Developers,Three layer face cloth masks,22810,Each,25,20-Jun,570250,0,570250
Imperial Logistics,Surgical Gloves,1000,Box,120,20-May,120000,18000,138000
