buyer_name,implementation_location_zar,supplier_name,items_description,Unit Price,cost_per_unit_zar,items_quantity,order_amount_zar,"Any donations received from
 external funders / companies","The beneficiary targets
 and method of distributio"
Mpumalanga Office of the Premier,Mpumalanga,Michem Cleaning Supplies,Disinfectant & Gloves,,,3 x 5L & 4 x Pairs,324.40,No,Employees
Mpumalanga Office of the Premier,Mpumalanga,Casual Labour,Deep Cleaning & Disinfecting of Offices," R400 per
 person per
 day ",,2 persons,1600.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Builders Warehouse,Prestick / Glue,130,130.00,,130.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Future Perfect,Covid-19 Boards & Floor Decals," Price varies
 per size ",,Various,1667.50,No,
Mpumalanga Office of the Premier,Mpumalanga,Makro,Infrared Thermometer,849,849.00,1,849.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Gracious Projects,"Hand Soap (750ml), Hand Soap (5L), Paper Towels (Roll)",,,"8, 20, 30",16974.00,No,
Mpumalanga Office of the Premier,Mpumalanga,True Velly,Cloth Masks,25,25.00,300,7500.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Andilamakhono NPC,Cloth Masks,25,25.00,300,7500.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Bio-Infinity Technologies,Sanitizer 70% Alcohol,75,75.00,350,26250.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Bio-Infinity Technologies,Sanitizer 70% Alcohol, 1 320.00 ,1320.00,20,26400.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Bio-Infinity Technologies,Disinfectant 70% Alcohol,35,35.00,20,700.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Bio-Infinity Technologies,Disinfectant 70% Alcohol,420,420.00,20,8400.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Bio-Infinity Technologies,Disinfectant Wipes,80,80.00,350,28000.00,No,
Mpumalanga Office of the Premier,Mpumalanga,Bio-Infinity Technologies,Thermometers, 1 100.00 ,1100.00,10,11000.00,No,
