buyer_name,implementation_location_province,supplier_name,items_description,cost_per_unit_zar,items_quantity,order_amount_zar,Any donations received from external funders / companies,The beneficiary targets and method of distribution
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Gatjeni Ndlovu Trading,"MASK, SAFETY SURGICAL FACE MUSK",28.80,20000,576000.00,Not Applicable,Ditributed to All district Disaster Management Centres for futher disbursement to Local Municipalities
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Gatjeni Ndlovu Trading,"SANITIZER
 DETERGENT",610.00,7500,4575000.00,Not Applicable,Ditributed to All district Disaster Management Centres for futher disbursement to Local Municipalities
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Gatjeni Ndlovu Trading,"DISPOSABLE
 LATEX
 GLOVES",880.00,500,440000.00,Not Applicable,Ditributed to All district Disaster Management Centres for futher disbursement to Local Municipalities
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,"MASK,
 SAFETY
 SURGICAL
 FACE MASK",25.00,3420,85500.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,"MASK 3
 LAYER",18.00,1000,18000.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,"MASK/SURGI
 CAL N95",37.80,500,18900.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,"SANITIZER
 DETERGENT",183.60,1419,260528.40,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,"THERMOMET
 ER",2527.20,110,277992.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,GLOVES,7.00,8000,56000.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,GOWNS,113.40,500,56700.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,VISORS,108.00,180,19440.00,Not Applicable,Department Officials
Mpumalanga Department of Co-operative Governance and Traditional Affairs (CoGTA),Mpumalanga,Amukelani okuhle trading,"COVERALLS
 WITH BOOTS",87.50,50,4375.00,Not Applicable,"Department Officials"""
