buyer_name,implementation_location_province,No,supplier_name,items_description,UNIT OF MEASURE,items_quantity,order_amount_zar
Mpumalanga Department of Health (DOH),Mpumalanga,1,1 STOP MEDICAL,Aprons,Each,1 000,57500.00
Mpumalanga Department of Health (DOH),Mpumalanga,2,BCN MEDICAL,Masks Surgical/medical,Each,100 000,2127500.00
Mpumalanga Department of Health (DOH),Mpumalanga,3,BOPHIRIMA HEALTHCARE,Masks Surgical/medical,Each,3 000,84525.00
Mpumalanga Department of Health (DOH),Mpumalanga,4,CENTRAL MEDICAL,Aprons,Each,300 000,92800.00
Mpumalanga Department of Health (DOH),Mpumalanga,5,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,700 000,593768.00
Mpumalanga Department of Health (DOH),Mpumalanga,6,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,1 300 000,1102712.00
Mpumalanga Department of Health (DOH),Mpumalanga,7,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,300 000,329820.00
Mpumalanga Department of Health (DOH),Mpumalanga,8,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,800 000,879520.00
Mpumalanga Department of Health (DOH),Mpumalanga,9,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,800 000,879520.00
Mpumalanga Department of Health (DOH),Mpumalanga,10,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,2 000 000,2291996.00
Mpumalanga Department of Health (DOH),Mpumalanga,11,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,150 000,171896.22
Mpumalanga Department of Health (DOH),Mpumalanga,12,EMERGENCY HOSPITAL SUPPLIES,Goggles,Each,1 000,22195.00
Mpumalanga Department of Health (DOH),Mpumalanga,13,EMERGENCY HOSPITAL SUPPLIES,Gloves Examination sterile,Pack of 100,3 600,8052.44
Mpumalanga Department of Health (DOH),Mpumalanga,14,LIORA MEDICAL,Goggles,Each,150,25875.00
Mpumalanga Department of Health (DOH),Mpumalanga,15,LOGAN MEDICAL,Gowns Disposable,Each,150,2999.95
Mpumalanga Department of Health (DOH),Mpumalanga,16,LOGAN MEDICAL,Gowns Disposable,Each,900,17999.69
Mpumalanga Department of Health (DOH),Mpumalanga,17,LOGAN MEDICAL,Gowns Disposable,Each,1 000,19999.65
Mpumalanga Department of Health (DOH),Mpumalanga,18,LOGAN MEDICAL,Gowns Disposable,Each,200,3999.93
Mpumalanga Department of Health (DOH),Mpumalanga,19,LOGAN MEDICAL,Gowns Disposable,Each,300,5999.90
Mpumalanga Department of Health (DOH),Mpumalanga,20,MULTISURGE,Masks Surgical/medical,Each,40 000,552000.00
Mpumalanga Department of Health (DOH),Mpumalanga,21,NKABO WATER,Masks Surgical/medical,Each,12 500,375000.00
Mpumalanga Department of Health (DOH),Mpumalanga,22,PROMED,Gowns Disposable,Each,900,21445.20
Mpumalanga Department of Health (DOH),Mpumalanga,23,PROMED,Gowns Disposable,Each,900,20213.55
Mpumalanga Department of Health (DOH),Mpumalanga,24,PROMED,Gowns Disposable,Each,300,6943.13
Mpumalanga Department of Health (DOH),Mpumalanga,25,PROMED,Gowns Disposable,Each,2 000,46971.75
Mpumalanga Department of Health (DOH),Mpumalanga,26,PROMED,Gowns Disposable,Each,300,7148.40
Mpumalanga Department of Health (DOH),Mpumalanga,27,PROMED,Gowns Disposable,Each,200,4628.75
Mpumalanga Department of Health (DOH),Mpumalanga,28,PROMED,Gowns Disposable,Each,3 000,70115.50
Mpumalanga Department of Health (DOH),Mpumalanga,29,PROMED,Gowns Disposable,Each,50,1164.03
Mpumalanga Department of Health (DOH),Mpumalanga,30,PROMED,Gowns Disposable,Each,40,925.75
Mpumalanga Department of Health (DOH),Mpumalanga,31,PROMED,Gowns Disposable,Each,200,4765.60
Mpumalanga Department of Health (DOH),Mpumalanga,32,PROMED,Gowns Disposable,Each,2 000,46287.50
Mpumalanga Department of Health (DOH),Mpumalanga,33,PROMED,Gowns Disposable,Each,700,16269.05
Mpumalanga Department of Health (DOH),Mpumalanga,34,PROMED,Gowns Disposable,Each,1 100,25526.55
Mpumalanga Department of Health (DOH),Mpumalanga,35,PROMED,Gowns Disposable,Each,4 000,92575.00
Mpumalanga Department of Health (DOH),Mpumalanga,36,QUALITY MEDICAL SUPPLIES,Goggles,Each,2 000,130000.60
Mpumalanga Department of Health (DOH),Mpumalanga,37,QUALITY MEDICAL SUPPLIES,Goggles,Each,9 000,585000.00
Mpumalanga Department of Health (DOH),Mpumalanga,38,TARA HEALTH CARE,Masks Surgical/medical,Each,30 000,1409999.82
Mpumalanga Department of Health (DOH),Mpumalanga,39,BCN MEDICAL,Gloves surgical,Pack of 50,74 900,142122.75
Mpumalanga Department of Health (DOH),Mpumalanga,40,BCN MEDICAL,Masks Surgical/medical,Each,70 900,1508397.50
Mpumalanga Department of Health (DOH),Mpumalanga,41,BIOSURGE,Boot covers,Pack of 100,385 000,324489.59
Mpumalanga Department of Health (DOH),Mpumalanga,42,BOPHIRIMA HEALTHCARE,Masks Surgical/medical,Each,9 500,267662.50
