ITEM DESCRIPTION,DATE,ASSET CATEGORY LEVEL 3,NAME OF THE DONOR,LOCATION,TOTAL AMOUNT
"7 x Dell Celeron Notebook, with Pr",01-Jul,Computer Desktop,South32 SA Coal Holdings Proprieta,Nkangala District,38 112.20
 Disposable gowns,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
"Disposable head covers, Latex Glo",19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,81 900.00
 DON T-Shirts Large,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 DON T-Shirts Medium,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 DON T-Shirts Small,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 DON T-Shirts X-Large,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 Double door Fridge to handle the F,24-Apr,Kitchen Appliances,Delmas Development Centre(NPO),Bernice Samuel Hospital,48 752.94
"Equipment Nurses bag, Batteries,",25-Apr,Goods and services,Delmas Development Centre(NPO),Bernice Samuel Hospital,20 000.00
"Examination gloves, latex, Large",09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
"Examination gloves, latex, medium",09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
"Examination gloves, latex, Small",09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 Examinition gloves,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
 Face masks with eye shield,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Depo,5 000.00
 Face Shields,01-Jul,Goods and services,STEAM POWER S&E AFRICA,Nkangala District,170 496.00
 Gloves Surgical size,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Depo,-
 Goggles,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Depo,500
 Googles,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 Gowns / Disposable,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Depo,1 000.00
 Hand sanitiser Spray,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Depo,1 000.00
 Hand Paper towels,24-Apr,Goods and services,Delmas Development Centre(NPO),Bernice Samuel Hospital,-
 HP Laser jet Multifunction 137FW P,01-Jul,Printer,South32 SA Coal Holdings Proprieta,Nkangala District,4 232.54
 Industrial Paper Towels,15-May,Goods and services,Glencore Operations S.A (Pty) Ltd,Nkangala District,37 500.00
 Internet router bundle for 06 mont,01-Jul,Goods and services,South32 SA Coal Holdings Proprieta,Nkangala District,5 085.30
 Sanitisers,(blank),Goods and services,STEAM POWER S&E AFRICA,Nkangala District,79 500.00
 KN95/ FFP2 Masks,10-Jun,Goods and services,FORD,Nkangala District,-
 KN95/ FFP2 Masks,09-Jul,Goods and services,Naspers,Nkangala District,-
 7 x Logitech Wireless USB Combo Dl,01-Ju,Computer Desktop,South32 SA Coal Holdings Proprieta,Nkangala District,3 566.78
 7 x Macaroni Versitas Lightweight   ,01-Jul,Goods and services,South32 SA Coal Holdings Proprieta,Nkangala District,1 522.78
 Managed services on top of airtim ,01-Jul,Goods and services,South32 SA Coal Holdings Proprieta,Nkangala District,4 204.86
 7 x Manhattan In-wall CL3 Premium,01-Jul,Goods and services,South32 SA Coal Holdings Proprieta,Nkangala District,2 544.78
 Medical Suites,01-Jul,Goods and services,STEAM POWER S&E AFRICA,Nkangala District,831 600.00
 Modulary LED 600x3800 HF AK,03-Jun,Goods and services,Eaton Electric South Africa (PTY LTD ,Evander Hospital,804
 N95 masks,19-Jun,Goods and services,AngloAmerican,Impungwe Hospital,-
 N95 masks,01-Jul,Goods and services,STEAM POWER S&E AFRICA,Nkangala District,346 500.00
 N95 masks,09-Jul,Goods and services,Imperial Health Sciences,Nkangala District,-
 Non woven over shoes,19-Jun,Goods and services,AngloAmerican,Middelburg Pharmaceutical Depo,-
 Overshoes(Booties),15-May,Goodsandservices,Glencore OperationsS.A(Pty) Ltd   ,NkangalaDistrict,18860
 PaperTowels,19-Jun,Goodsandservices,AngloAmerican,Impungwe Hospital,-
 ProjectInitiationcosts,24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,700000
 Re-usable SurgeonAprons,07-Jun,Goodsandservices,BigWishClothing(Pty) Ltd,NkangalaDistrict,-
 Salaries/Compensationforthe N 24-Apr,24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,150000
 Sanitisers25L,01-Jul,Goodsandservices,STEAMPOWERS&EAFRICA,NkangalaDistrict,497250
"Sanitisers, Hand Soaps, Hand Tow",24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,10000
 7x SIMCards&Airtime Minutes� 01-Jul,01-Jul,Goodsandservices,South32SACoal HoldingsProprieta,NkangalaDistrict,6641.25
 SleeperCouch,01-Jun,Furniture,SwiftEMSPrivate Ambulance Servi ,EMSBelfast,2600
 Stationery,24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,10000
 Sterile gloves,12-Jun,Goodsandservices,Glencore OperationsS.A(Pty) Ltd   ,NkangalaDistrict,603750
 Surgeonaprons- lightGreen,19-Jun,Goodsandservices,AngloAmerican,MiddelburgPharmaceutical Depo,250
 Surgical gloves,19-Jun,Goodsandservices,AngloAmerican,Impungwe Hospital,-
 Surgical Latex Gloves,26-May,Goodsandservices,BakgatlaBaMalokaHumanitarianD,Mmametlhake Hospital,360
 Surgical Mask,19-Jun,Goodsandservices,AngloAmerican,MiddelburgPharmaceutical Depo,30000
 Surgical Mask,01-Jul,Goodsandservices,Transvaal goldminingestateslimit ,NkangalaDistrict,640000
 5x Tables,24-Apr,Office Furniture,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,2000
 Tentwith50x Chairs,24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,-
 10x ThermometerInfrarednon-co24-Apr,24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,40000
 Transport,24-Apr,Goodsandservices,DelmasDevelopmentCentre(NPO),Bernice Samuel Hospital,20000
 3x Visors,09-Jul,Goodsandservices,Imperial HealthSciences,NkangalaDistrict,-
 ThermometerInfrarednon-contac,10-Jun,Goodsandservices,Glencore OperationsS.A(Pty) Ltd   ,NkangalaDistrict,265362.5
