buyer_name,implementation_location_province,supplier_name,items_description,Unit Price,cost_per_unit_zar,items_quantity,"The full amount paid 
 for the Products or 
 services",order_amount_zar,"Any donations 
 received from
  external funders /
 companies","The beneficiary targets and method 
 of distribution"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Lethuthandophila,Masks,25,25,1284,"R 32 100,00",32100,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga, Lethuthandophila,"Sanitizers 250ml
 5Litre",,,"50
 642","R 46 650,00

 R 29 949,30",,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga, Lethuthandophila,Thermometers,2527.2,2527.2,60,"R 151 632,00",151632,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga, Lethuthandophila,Gloves,46,46,17,"R 782,00",782,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga,Silvex 622,Masks,25,25,996,"R 24 900,00",24900,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga,Silvex 623,"Sanitizers 250ml

 5Latre",,,,"R 13 995,00

 R 55 886,70",,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga,Silvex 624,Thermometers,2527.2,2527.2,20,"R 50 544,00",50544,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga,Kago Yabana Foundation,Masks,43.75,43.75,2572,"R 112 525,00",112525,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga,Kago Yabana Foundation,Sanitizers,81.25,81.25,330,"R 26 812,50",26812.5,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga, Dreaming Large,Masks,25,25,1270,"R 31 750,00",31750,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga, Dreaming Large,"Sanitizers 250ml
 5Litre","46.64
933.00",,"560
 120","R 26 124,00
 R 111 960,00",,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga, Gumza Technologies,Food Parcels,805,805,1560,"R 1 255 744,04",1255744.04,None,DSD Officials
Mpumalanga Department of Social Development (DSD),Mpumalanga,MADODOÕS TRADING,CATERING,75,75,"200 PEOPLE
 5 DAYS",R190000.00,190000,NONE,HOMELESS PEOPLE
Mpumalanga Department of Social Development (DSD),Mpumalanga, ALEXUS TRADING,"SANITIZER 5L
 SANITIZER 500ML

 SANITIZER 200ML

 3 PLY SURGICAL MUSK

 GLOVES

 2 PLY FACE MUSK",,,"67
 130

 74

 6600

 18200

 100",R224 304.63,224304.63,NONE,DSD OFFICIALS
Mpumalanga Department of Social Development (DSD),Mpumalanga, ALEXUS TRADING,"SANITIZER 5L

 SANITIZER 500ML

 SANITIZER 250ML

 3PLY SURGICAL MUSK

 GLOVES",,,"45
 25

 205

 1000

 6600",R108 649.93,108649.93,NONE,DSD OFFICIALS
Mpumalanga Department of Social Development (DSD),Mpumalanga, ALEXUS TRADING,THERMOMETER,527,527,17,R29 852.85,29852.85,NONE,DSD OFFICES
Mpumalanga Department of Social Development (DSD),Mpumalanga, ALEXUS TRADING,INSTALL HAND SANITIZER,1587.99,1587.99,21,38349.96,38349.96,NONE,DSD OFFICES
Mpumalanga Department of Social Development (DSD),Mpumalanga,OKUHLEKODW A TRADING,FOOD PARCELS,805,805,253,R203665.00,203665,NONE,Destitute families
