Organ of state,Description of Items,Quantity,Total Value,Service Provider Name
Office of the Premier,Mask - Other,2 500,R 60 375,Reiti Maintenance Projects
Office of the Premier,"Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol
base) 25 litre",160,R 3 040,DSTNCTV Group Pty Ltd
Office of the Premier,Medical Hand Sanitisers ( 70% Alcohol base) 500ml,600,R 28 800,DSTNCTV Group Pty Ltd
Office of the Premier,Wall Mounted Automatic Hand Sanitizer Dispensers,30,R 13 500,DSTNCTV Group Pty Ltd
Office of the Premier,Disinfectants 25 litre,18,R 75 000,DSTNCTV Group Pty Ltd
Office of the Premier,Biohazard Plastic Bags,150,R 6 000,DSTNCTV Group Pty Ltd
Office of the Premier,Decontamination of Office Spaces,1,R 169 057,Seadira cleaning
Office of the Premier,Decontamination of Office Spaces,1,R 65 272,World focus projects
Office of the Premier,Decontamination of Office Spaces,2,R 81 682,Logiic
Office of the Premier,Decontamination of Office Spaces,2,R 60 800,Boikanyo and associates
Office of the Premier,Decontamination of Office Spaces,1,R 2 527,Logiic
Office of the Premier,Decontamination of Office Spaces,1,R 3 242,Ketlareng Trading
Office of the Premier,Decontamination of Office Spaces,1,R 2 482,Ketlareng Trading
Office of the Premier,Decontamination of Office Spaces,2,R 45 648,Eliefu Suppliers
Office of the Premier,Decontamination of Office Spaces,2,R 45 369,Ketlareng Trading
Office of the Premier,Temperature Scanners,15,R 23 550,MBLK Infinity pty Ltd
Office of the Premier,Other: Specify: Radio simulcast on COVID 19,2,R 211 600,GCIS
Office of the Premier,"Other: Specify: Covid19 Awareness Material 10 000
posters and pamhlets",10 000,R 48 474,IYB trading &projects
Health,Mask - N95,1 000,R 413 500,Maseno General
Health,Mask - N95,51 015,R 3 480 185,Biovision (Pty) Ltd
Health,Mask - N95,50 000,R 3 400 000,Keunathi medical
Health,Mask - Surgical,20 000,R 248 000,Maseno General
Health,Mask - Surgical,20 000,R 199 400,Adoblox Group
Health,Mask - Surgical,50 000,R 717 520,Genesis Pharmaceutical
Health,Mask - Surgical,20 000,R 250 000,Asibhukule Trading Enterprise
Health,Mask - Surgical,150 000,R 2 070 000,Multisurge
Health,Mask - Other,5 000,R 74 000,Maseno General
Health,Mask - Other,20 000,R 700 000,Tshepo the jeanmaker
Health,Mask - Other,20 000,R 700 000,Lani M Holding
Health,Mask - Other,20 000,R 700 000,Nkarise Training and Consulting
Health,Gloves - Surgical & Examination - Natural Rubber Latex,300 000,R 327 660,Rachis Projects
Health,Aprons,70 000,R 77 000,Xenadu Trading
Health,Aprons,70 000,R 80 500,Boipelo Environmental Consultancy
Health,Gown,20 000,R 1 595 000,Chulusi Development and Projects
Health,Gown,1 000,R 135 000,Kedima Holdings
Health,Gown,1 000,R 190 000,Ninkodol Trading (Pty) Ltd
Health,Gown,2 000,R 313 043,Ore Age Holdings (Pty) Ltd
Health,Gown,500,R 65 474,Basadi Ba Kopane Trading
Health,Gown,2 000,R 486 087,Ratanang Suppliers and Projects
Health,Medical Hand Sanitisers ( 70% Alcohol base) 500ml,10 000,R 229 425,Red Spot Trading
Health,Medical Hand Sanitisers ( 70% Alcohol base) 500ml,6 000,R 552 000,Logan Medical
Health,Medical Hand Sanitisers ( 70% Alcohol base) 500ml,2 000,R 160 000,Lejo Medical and Projects
Health,Medical Hand Sanitisers (Refill ) -  ( 70% Alcohol base) 25 litre,3 000,R 307 725,Red Spot Trading
