implementation_province_province,buyer_name,implementation_location_other,items_description,order_amount_zar
Northern Cape,Northern Cape Provincial Government,De Aar,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT DE AAR HOSPITAL MOGOBENG CONSULTING,256900.00
Northern Cape,Northern Cape Provincial Government,Prieska,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT PRIESKA HOSPITAL MOGOBENG CONSULTING,116670.00
Northern Cape,Northern Cape Provincial Government,Douglas,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT DOUGLAS HOSPITAL XCELLENT CONSTRUCTION,167917.00
Northern Cape,Northern Cape Provincial Government,Griekwastad,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT GRIEKWASTAD HOSPITAL MADIBUSENG GENERAL TRADING,116080.00
Northern Cape,Northern Cape Provincial Government,Noupoort,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT NOUPOORT HOSPITAL MABCOR FACILITY SOLUTIONS,329708.00
Northern Cape,Northern Cape Provincial Government,Hopetown,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT HOPETOWN HOSPITAL GENEVAL GENERAL TRADING,201458.00
Northern Cape,Northern Cape Provincial Government,Colesburg,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT COLESBURG HOSPITAL MOLOI GROUP,205190.00
Northern Cape,Northern Cape Provincial Government,Upington,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT OLD GORDONIA HOSPITAL LEMONDRAAI BOUERS,1352877.00
Northern Cape,Northern Cape Provincial Government,Postmasburg,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT POSTMASBURG HOSPITAL DUBU CONSTRUCTION,1135852.00
Northern Cape,Northern Cape Provincial Government,Warrenton,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT WARRENTON CHC KATKAY TRADING,397728.00
Northern Cape,Northern Cape Provincial Government,Jan Kempdorp,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT JAN KEMPDORP HOSPITAL MOKE CONSTRUCTION,448146.00
Northern Cape,Northern Cape Provincial Government,Kimberley,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT WEST END HOSPITAL B6 AND KITCHEN C SQUARED TRADING,518406.00
Northern Cape,Northern Cape Provincial Government,Lorriesfontein,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT LORRIESFONTEIN CHC ENTSHA CONSTRUCTION,171571.00
Northern Cape,Northern Cape Provincial Government,Willingston,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT WILLINGSTON CHC ENTSHA CONSTRUCTION,246821.00
Northern Cape,Northern Cape Provincial Government,Alexander Bay,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT ALEXANDER BAY HOSPITAL HAL CIVILS,129065.00
Northern Cape,Northern Cape Provincial Government,"Springbok &
Nababeep",EMERGENCY WORKS (COVID19) MINOR REPAIRS AT DR VAN NIEKERK HOSPITAL & NABABEEP CHC LEMONDRAAI BOUERS,219249.00
Northern Cape,Northern Cape Provincial Government,Kimberley,"EMERGENCY WORKS (COVID19) MINOR REPAIRS AT WEST END HOSPITAL B2,3,4 BEST ENOUGH TRADING",2533723.00
Northern Cape,Northern Cape Provincial Government,Barkly West,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT ZK MATHEWS HOSPITAL C SQUARED TRADING,98411.00
Northern Cape,Northern Cape Provincial Government,Kimberley,EMERGENCY WORKS (COVID19) MINOR REPAIRS AT WEST END HOSPITAL B5 C SQUARED TRADING,366352.00
