implementation_location_province,buyer_name,implementation_location_other,items_description,supplier_name,items_quantity,cost_per_unit_zar,order_amount_zar
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,365 LEGACY ENTERTAINMENT,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,AMBITIOUS BUSINESS SOLUTIONS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,AMOR DE DIOS TRADERS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ANERVI,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,AZZURI CONNEXIONS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BAROLONG BATHO PTY LTD - QUOTE 1,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BLUE AQUARIAN,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BNK ENTERPRISES,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BOBBI TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BP KKK INVESTMENTS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CALANTRA TRADING 655 CC,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CAREY GROUP,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CONLOW GENERAL,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,COSMIC FORCE HOLDINGS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,DICHRI CONSTRUCTIONS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,DKL 82 INVESTMENT,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ECO-FRIENDLY CLEANERS PTY LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ELSKANEX,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,FERRIS AND CO,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,FST TRADING AND BUSINESS ADMINISTRATION,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,GLOBAL WILL POWER,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,GOSIAME SUPPLIER AND CONSTRUCTION,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,JR ENGELBRECHT CONSULTING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,K -ENTLE TRADING ENTERPRISE,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,K&J ENDEAVOUR,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,K2017398249(SOUTH AFRICA),50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KATLEGHO ENTERPRISE,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KDEE BUSINESS SOLUTIONS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KWA DEKE CONSTRUCTION,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KONOPO FAMILY BUSINESS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LESHOMO PROJECTS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LETLHOGONOLO & TSHEPISO,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MAGGIE MABEL GEN TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MAMZO CATERING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MARANG A LESEDI,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MARUPING AGENCY,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MEREITSILE TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MICACLUS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MLISA CATERING AND TRADING ENTERPRISE,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MPOTSANG NC TRADERS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MZA GENERAL TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NAMISA SOLUTION,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NCHUTELANG HOLDINGS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NDZ DEVELOPMENT,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NDZILANE TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NOMANTLE HOLDINGS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NUBIAN TOUCH PROJECTS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,O SEDUMEDI TRANSPORT SERVICES,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,OBCO PTY LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,OMOLEMO MPHOENTLE,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,OMPHEMETSE KAMOHAU ENTERPRISES,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,PS PHATSINO TRADING PTY LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,RATISINO TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,RATSOTELLA (PTY) LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,REABETSWE KABELO GENERAL TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,REMORATILE GENERAL TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SETLHARE PTY,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SISTERWOOD TRADING & INVESTMENT,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SIZWE AND KGATLISO  INVESTMENTS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SMIX SUPPLY ENTERPRISE PTY LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SULBRICK KIMBERLEY CC,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TARCAD TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,THE FAVORED GOVERNMENT TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,THEPA TRADING 646CC T/A MOJALEFAS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,THOKOZA 71 PTY,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TIMLA TRADING ENTERPRISE PTY LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TLHAPING INVESTMENT,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TLHONEP BUSINESS SOLUTION,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TOLLERANZA PIETA,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TRIPLE A TRADING,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ULTIMO SOLUTIONS,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ZIKHO PROJECTS (PTY) LTD,50,900.00,45000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,108 MANDLANE TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BLACKBIRD TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CAMINANDO HOLDINGS (PTY)LTD,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CAYANE TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CENTIMAX CYNO TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,DO DOT PROJECTS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ENHLE HOPE SOLUTIONS (PTY)LTD,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ENTLE 44 TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,GARY'S HOLDING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,HUNTERCY,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ILINGE-LAMAZONDI (PTY)LTD,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KBY GENERAL TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KEBAKANTSE SUPPLIES AND TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KITZORO LOGISTICS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KUMKANI DEVELOPERS (PTY),100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LEFIKA HOLDINGS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LELOTHA GENERAL TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LESEDI CLEANING & CATERING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LYREPOINTER PROJECT,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MABOKO CONSULTANCY,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MIT TRADERS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MODIRAGADI TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MOR-O-LONG VENTURES,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MOUCKS TRADING & INVESTMENTS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,PRUDAAN TRADING PTY,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,R&S AMBITION TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,REAMOGETSE KARABO (PTY) LTD,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,RISKI BOY EVENTS & SUPPLY,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SHAW TRANSPORT AND LOGISTICS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SHINE THE WAY 1302 CC,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,THE TRAVELING ROSE,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TRIPLE A TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,WOTEX INVESMENT,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ZITHABO ENTERPRISE (PTY)LTD,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BLAQMYNT (PTY)LTD,150,900.00,135000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ARIES INTERNATIONAL,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,AUM 7860 INVESTMENTS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BADISA BA BAKWENA SECURITY,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BADISA WHOLESALE SUPPLY,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BELREX 305,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BLING SUPPLY & DELIVERY,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BOITUMELO SECHABENG TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BOKAMOHSO JWA SECHABA,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,BOOKER T.C ENTERPRISE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CECEMAZELE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CONLOW GENERAL TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,CYBRONIX PTY LTD,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,DELA CASA TRADING 533,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,DICHABANYANE TRADING ENT,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ELEWAMA ENTERPRISE (PTY) LTD,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ETERNAL CITY TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,GAOTSHWANE GENERAL ENTERPRISE (PTY) LTD,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,GMAT TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,HRA TRADING EVENTS MANAGEMENTS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,HUNTERCY PTY(LTD),200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,IMMERSE SYNERGY PTY LTD,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,IMVUSA TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,ISIPHANDA GENERAL TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,K&S SOLUTIONS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,KEATLEGILE INVESTMENTS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LEKAMTELA GENERAL TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,LUBABALO ENTERPRISE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MACRONYM 37,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MBALETHLE TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MILNEX 325 CC,200,900.00,180000.00
