buyer_name,implementation_location_province,Place,items_description,supplier_name,order_amount_zar
Northern Cape Provincial Government,Northern Cape,Kimberley,Supply and Delivery of Hand sanitizers for Department of Roads and Public Works (Urgent),PELONTHLE GENERAL TRADING,95280.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",JH PEST CONTROL,2676800.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",MASEDI STAR,1038412.05
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",UNICO,1270651.12
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",ISJX GENERAL TRADING,3860689.32
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",MOHINA SOLUTIONS,4117517.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",SILVER STREAM,2050448.08
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 1",BEST ENOUGH,2080676.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 2",KINGSLEY PEST CONTROL,1243851.84
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 2",SILVER STREAM,1391654.63
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 2",ISJX GENERAL TRADING,1624375.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 2",JH PEST CONTROL,1813633.32
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 2",ISJX GENERAL TRADING,1942070.91
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by
Department of Education - Phased 2",OTP LOGISTICS,1835089.99
Northern Cape Provincial Government,Northern Cape,Kimberley,Supply and Delivery of visors face shields - 300,KEMOAGILE CONSTRUCTION,51000.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Emergency procurement for the disinfecting and sanitizing of Provincial State Buildings occupied by DRPW, Provincial Educational Buildings and Provincial Fleet",MASEDI STAR,1527522.58
Northern Cape Provincial Government,Northern Cape,Kimberley,Supply and Delivery of 1000 Fogger Spray canisters,TRUE BUILD SERVICES,178250.00
Northern Cape Provincial Government,Northern Cape,Kimberley,Supply deliver and installation of Perspex Shields at Southern Life and TLT Building (COVID 19 Shields),NOKU GENERAL TRADING,65190.00
Northern Cape Provincial Government,Northern Cape,Northern Cape,Disinfecting of schools in the NCP,VVUKOLWAM ENTERPRISE,274290.00
Northern Cape Provincial Government,Northern Cape,Kimberley,"Disinfecting, sanitizing and deep cleaning of school in the NCP (Hadison Park Office Dept and 3 FBD
schools)",WOTEX INVESTMENTS,627875.00
