DEPARTMENT ,SUPPLIER NAME ,ITEM DESCRIPTION,PAYMENT QUANTITY,UNIT OF MEASURE,UNIT PRICE ,TOTAL (R)  
Office of The Premier,IOT WORLD (PTY) LTD,Two Layers Cloth Masks,750,Each,72.00,"54,000.00"
Office of The Premier,IOT WORLD (PTY) LTD,Hand Sanitiser - 70% Alcohol,20,500 ml,225.00,"4,500.00"
Office of The Premier,IOT WORLD (PTY) LTD,Hand Sanitiser - 70% Alcohol,300,1L,250.00,"75,000.00"
Office of The Premier,KISSA GENERAL TRADING,Hand Sanitiser - 70% Alcohol,150,500 ml,100.00,"15,000.00"
Office of The Premier,DNS SUPPLIES,Surgical Masks,50,Each,24.15,"1,207.50"
Office of The Premier,DNS SUPPLIES,"Surgical Gloves (S,M,L)",3,100 per box,138.00,414.00
Office of The Premier,DNS SUPPLIES,Protective Clothing,40,Each,172.50,"6,900.00"
Office of The Premier,DNS SUPPLIES,Digital Scanners,2,Each,"2,070.00","4,140.00"
Office of The Premier,CRYSTAL PHARMACY,Digital Scanners,4,Each,"2,001.00","8,004.00"
Office of The Premier,BUCO,Face Shields,70,Each,38.33,"2,683.07"
Office of The Premier,STEINER,Alcohol Hand Wipes,100,100 per pack,37.01,"3,700.70"
Office of The Premier,DNS SUPPLIES,KN95 Masks - Clinic,1,50 per box,"3,737.50","3,737.50"
Office of The Premier,DNS SUPPLIES,Surgical Masks,50,Each,12.00,600.00
Office of The Premier,ROSS CARPERTS,Disinfecting And Sanitising,1,Building,"14,446.00","14,446.00"
Provincial Treasury,HALSTED & CO,Sanitizer Detergent,100,5L bottle,460.00,"46,000.00"
Provincial Treasury,HALSTED & CO,Bottles,50,750ml bottle,115.00,"5,750.00"
Provincial Treasury,HALSTED & CO,Glove Examination,20,Box of 100,174.00,"3,470.93"
Provincial Treasury,HALSTED & CO,Facial Tissue,500,100g,57.00,"28,250.00"
Provincial Treasury,HALSTED & CO,Mask,20,Box of 50,"1,208.00","24,150.00"
Provincial Treasury,HALSTED & CO,Mask,3,Box of 20,569.00,"1,707.75"
Provincial Treasury,LORATO CREATIONS,"Mask, Dust",632,,25.00,"15,800.00"
Provincial Treasury,POLELO IT SOLUTIONS,"Shield, Medical Visor COVID",36,,45.00,"1,620.00"
Provincial Treasury,LOJANE TRADING,"Shield, Medical Visor COVID",15,,65.00,975.00
Provincial Treasury,DNS SUPPLIES,"Thermometer, Medical Digital",15,,"2,070.00","31,050.00"
Health,DNS SUPPLIES,Examination Gloves (Medium & Large),"4,000",100 per box,108.042,"432,170.00"
Health,DNS SUPPLIES,Hand Sanitisers,"1,000",500 ml,96.02,"96,025.00"
Health,PRO-PRINT,Posters,"12,500",Each,9.17,"114,687.50"
Health,PRO-PRINT,Posters,"2,000",Each,11.80,"23,600.00"
Health,PRO-PRINT,Pamphlets,"10,000",Each,0.90,"9,085.00"
Health,PRO-PRINT,Posters,"12,500",Each,9.17,"114,687.50"
Health,BOKAMOSO TRADING ENTERPRISE,Posters,"25,000",Each,13.60,"340,000.00"
Health,ASIJIKI SOUNDBYTES,Aprons,"180,000",Each,0.74,"133,200.00"
Health,ASIJIKI SOUNDBYTES,Disposable Gowns (Large & Extra Large),"100,000",Each,127.50,"12,750,000.00"
Health,ASIJIKI SOUNDBYTES,Goggles,"10,000",Each,51.74,"517,400.00"
Health,ASIJIKI SOUNDBYTES,Infra-Red Thermometer,300,Each,1725,"517,500.00"
Health,MACRONYM 37,Surgical Masks,"250,000",Each,13.80,"3,450,000.00"
Health,MACRONYM 37,FFP2/3 Or N95,"250,000",Each,36.80,"9,200,000.00"
Health,MACRONYM 37,Coveralls,"50,000",Each,286.20,"14,310,025.00"
Health,C MED SUPPLIES,Surgical Masks,"200,000",Each,17.89,"3,578,000.00"
Health,C MED SUPPLIES,FFP2/3 Or N95,"30,000",Each,81.82,"2,454,600.00"
Health,C MED SUPPLIES,Coveralls,"2,000",Each,201.25,"402,500.00"
Health,C MED SUPPLIES,Hand Sanitisers,"5,000",Each,74.75,"373,750.00"
Health,C MED SUPPLIES,Goggles,"1,000",Each,37.95,"37,950.00"
Health,C MED SUPPLIES,Disposable Gowns (Large),"5,000",Each,94.49,"472,450.00"
Health,C MED SUPPLIES,Disposable Gowns (Extra Large),"5,000",Each,97.49,"487,450.00"
Health,C MED SUPPLIES,Facial Shields,"1,000",Each,74.99,"74,990.00"
Health,C MED SUPPLIES,Infra-Red Thermometer,100,Each,"1,892.94","189,294.00"
Health,REVOLT HEADBOY,Surgical Masks,"240,000",Each,12.28,"2,947,200.00"
"Sport, Arts and Culture","SHAUN WAYNE BARNES T/A S&R 
ENTERPRISES","Supply And Delivery Of Hand Sanitizer Not Less Than 
70% Alcohol Based.",50,5L,430.00,"21,500.00"
"Sport, Arts and Culture","SHAUN WAYNE BARNES T/A S&R 
ENTERPRISES",Supply And Delivery Of Surgical Masks,"1,200",Each,25.00,"30,000.00"
"Sport, Arts and Culture","SHAUN WAYNE BARNES T/A S&R 
ENTERPRISES","Supply And Delivery Of Examination Gloves - Non 
Sterile",30,Box of 100,260.00,"7,800.00"
"Sport, Arts and Culture","SHAUN WAYNE BARNES T/A S&R 
ENTERPRISES",Supply And Delivery Of Anti Bacterial Wet Wipes,100,Box of 100,48.00,"4,800.00"
"Sport, Arts and Culture","SHAUN WAYNE BARNES T/A S&R 
ENTERPRISES",Supply And Delivery Of Hand Soap,50,5L,105.00,"5,250.00"
"Sport, Arts and Culture","SHAUN WAYNE BARNES T/A S&R 
ENTERPRISES",Supply And Delivery Of Spirits,500,200ml,100.00,"50,000.00"
"Sport, Arts and Culture",SHINE THE WAY,"Supply And Delivery Of 1800 Quantities Of 3 Layer 
Facemasks - DTIC","1,800",Each,25.00,"45,000.00"
"Sport, Arts and Culture",BLUE AQUARIAN TRADING,Supply And Delivery Of Hand Soap.,60,5L,120.00,"7,200.00"
"Sport, Arts and Culture",BLUE AQUARIAN TRADING,"Supply And Delivery Of Hand Sanitizer Not Less Than 
70% Alcohol Based.",60,5L,320.00,"19,200.00"
"Sport, Arts and Culture",BLUE AQUARIAN TRADING,Supply And Delivery Of Empty 500 Ml Bottles,"1,200",500ml,20.00,"24,000.00"
"Sport, Arts and Culture",VERITY PROJECTS AND TRADING,Supply And Delivery Of Digital Thermometers,20,Each,875.00,"17,500.00"
"Sport, Arts and Culture",VERITY PROJECTS AND TRADING,Supply And Delivery Of Surface Wipes,600,Box of 100,65.00,"39,000.00"
COGHSTA,BLUE PETROLEUM,"Towel, Paper Per Roll",10,Each,24.00,240.01
COGHSTA,BLUE PETROLEUM,Gloves Yellow Medium household Heavy Duty,6,Each,8.00,48.01
COGHSTA,BLUE PETROLEUM,Alcohol Sanitiser And Disinfectant 20lt COVID 048,20,Litre,79.99,"1,599.99"
COGHSTA,BLUE PETROLEUM,Bottle Spray 500ml Covid 054,6,Each,37.99,227.97
COGHSTA,BLUE PETROLEUM,"Shield,Medical Visor Covid 036",10,Each,44.00,440.00
COGHSTA,UC CHEMICAL & CLEANING,Soap Hand & Body,50,Each,12.50,625.00
COGHSTA,UC CHEMICAL & CLEANING,Bottle Spray 250ml Covid 053,20,Each,25.00,500.00
