PLACE ,DESCRIPTION OF SERVICE ,NAME OF SUPPLIER ,TOTAL ( R)
Kimberley,Supply and Delivery of Hand sanitizers for Department of Roads and Public Works (Urgent),PELONTHLE GENERAL TRADING,"95,280.00"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",JH PEST CONTROL,"2,676,800.00"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",MASEDI STAR,"1,038,412.05"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",UNICO,"1,270,651.12"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",ISJX GENERAL TRADING,"3,860,689.32"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",MOHINA SOLUTIONS,"4,117,517.00"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",SILVER STREAM,"2,050,448.08"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 1",BEST ENOUGH,"2,080,676.00"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 2",KINGSLEY PEST CONTROL,"1,243,851.84"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 2",SILVER STREAM,"1,391,654.63"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 2",ISJX GENERAL TRADING,"1,624,375.00"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 2",JH PEST CONTROL,"1,813,633.32"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 2",ISJX GENERAL TRADING,"1,942,070.91"
Kimberley,"Emergency procurement for the disinfection of Provincial state buildings and schools occupied by 
Department of Education - Phased 2",OTP LOGISTICS,"1,835,089.99"
Kimberley,Supply and Delivery of visors face shields - 300,KEMOAGILE CONSTRUCTION,"51,000.00"
Kimberley,"Emergency procurement for the disinfecting and sanitizing of Provincial State Buildings occupied by 
DRPW, Provincial Educational Buildings and Provincial Fleet",MASEDI STAR,"1,527,522.58"
Kimberley,Supply and Delivery of 1000 Fogger Spray canisters,TRUE BUILD SERVICES,"178,250.00"
Kimberley,Supply deliver and installation of Perspex Shields at Southern Life and TLT Building (COVID 19 Shields),NOKU GENERAL TRADING,"65,190.00"
Northern Cape,Disinfecting of schools in the NCP,VVUKOLWAM ENTERPRISE,"274,290.00"
Kimberley,"Disinfecting, sanitizing and deep cleaning of school in the NCP (Hadison Park Office Dept and 3 FBD 
schools)",WOTEX INVESTMENTS,"627,875.00"
Northern Cape,"Disinfecting, sanitizing and deep cleaning of schools in the NCP (Frances Baard and Pixley Ka Seme 
District)","BEST ENOUGH TRADING & PROJECTS 287 
CC","2,859,475.00"
Kimberley,Disinfecting and sanitising of Buildings and offices TLT 5657m - emergency,MASEDI STAR,"138,487.32"
Kimberley,Disinfecting and sanitising of Buildings and offices NCFMTE  4000m - emergency,"KEMOAGILE CONTRACT AND PROJECT 
MANAGEMENT","100,000.00"
Kimberley,Disinfecting and sanitising of Buildings and offices Southern Life Building 1800m - emergency,OTP LOGISTICS,"43,987.50"
Kimberley,"Disinfecting and sanitizing of schools in the Northern Cape (Peme Office Block and Kimberley Junior 
School)",VAKUNDA TRUST,"263,760.55"
Kimberley,"Disinfecting, sanitising and deep cleaning of schools in FBD (Newton Ps, Technical H/S, Vuyolwethu H/S)",MASEDI STAR,"630,079.57"
Kimberley,"Disinfecting, sanitising and deep clean of schools (Emang Mmogo H/S, Rusfontein PS)",LERWANE PEST CONTROL,"142,212.32"
Namakwa,Disinfecting and sanitizing of schools in the Northern Cape (Namakwa District),SILVER STREAM INDUSTRIES,"75,791.95"
Pixley Ka Seme,Urgent procurement (DRPW Offices in Pixley Ka Seme District De Aar (John Dube Building),ISJX GENERAL TRADING,"815,900.00"
