NAME OF SUPPLIER ,00 TOTAL ( R)
A TO Z DISTRIBUTION,"450,000.00"
KHULA MOTORS,"390,000.00"
IDEAL TRADING,"360,000.00"
KABOPHELO TRADING,"360,000.00"
TFNP,"360,000.00"
AM CATERING & TRANSPORT,"300,000.00"
GAMSHA PROJECTS,"300,000.00"
L2G SERVICES,"300,000.00"
BONANG & SONTI,"296,200.00"
INGOMSO YOUTH GENERAL TRADING,"293,800.00"
PROMETHIAN LODGE,"270,000.00"
SA MALIE GEN,"270,000.00"
SAN'S SERVICES,"270,000.00"
VUWANI ENTERPRIZE,"270,000.00"
IVANDUR TRADING & ENTERPRISE,"260,000.00"
EEDM CONNECTION ENTERPRISE,"240,000.00"
IC CATERING,"236,000.00"
NAYBRO CASH STORE,"210,000.00"
SASTAS TRADING,"190,000.00"
BHULI TRADING,"188,450.00"
AKSANTI SKILL DEVELOPMENT,"180,000.00"
ARIES INTERNATIONAL,"180,000.00"
AUM 7860 INVESTMENTS,"180,000.00"
BADISA BA BAKWENA SECURITY,"180,000.00"
BADISA WHOLESALE SUPPLY,"180,000.00"
BELREX 305,"180,000.00"
BLING SUPPLY & DELIVERY,"180,000.00"
BOITUMELO SECHABENG TRADING,"180,000.00"
BOKAMOHSO JWA SECHABA,"180,000.00"
BOOKER T.C ENTERPRISE,"180,000.00"
BRAINWAVE KONSTRUKSIE,"180,000.00"
CAROLUSBERG TYRA CONSTRUCTION,"180,000.00"
CECEMAZELE,"180,000.00"
CF HIRING & SUPPLY SERVICES,"180,000.00"
CGC CARPENTING BUILDING,"180,000.00"
CLARISSA CARSTEN SPECIALIZED SERVICES,"180,000.00"
CONLOW GENERAL TRADING,"180,000.00"
CYBRONIX PTY LTD,"180,000.00"
DELA CASA TRADING 533,"180,000.00"
DICHABANYANE TRADING ENT,"180,000.00"
ELEWAMA ENTERPRISE (PTY) LTD,"180,000.00"
ETERNAL CITY TRADING,"180,000.00"
ETONA EVENTS,"180,000.00"
G&B HOLDINGS,"180,000.00"
GAOTSHWANE GENERAL ENTERPRISE (PTY) LTD,"180,000.00"
GMAT TRADING,"180,000.00"
HRA TRADING EVENTS MANAGEMENTS,"180,000.00"
HUNTERCY PTY(LTD),"180,000.00"
IMMERSE SYNERGY PTY LTD,"180,000.00"
IMVUSA TRADING,"180,000.00"
ISIPHANDA GENERAL TRADING,"180,000.00"
MOIRA CATERING,"167,400.00"
METCOL BUSINESS,"160,000.00"
BLAQMYNT (PTY)LTD,"135,000.00"
TRIPLE A TRADING,"135,000.00"
AA ENGELBRECHT,"120,000.00"
ANMIR CONSTUCTION & GENERAL,"120,000.00"
JOHAN BOOYES,"120,000.00"
MP GENERAL DEALER,"120,000.00"
NAMAQUA PRIDE,"120,000.00"
POLBOX ENTERPRISE,"120,000.00"
ABANTWINI ENTERPRIZE,"100,000.00"
FREEDOM & COMPONY,"100,000.00"
PM NDLAMBE,"100,000.00"
YOLI'S DÉCOR & RENTALS,"98,580.00"
108 MANDLANE TRADING,"90,000.00"
ADO G CINSTRUCTION,"90,000.00"
ANDREAS ENTERPRIZE,"90,000.00"
BANEWA ELECTRICAL,"90,000.00"
BASHA NORTHERN CAPE,"90,000.00"
BEHLULI PROJECTS,"90,000.00"
BENNET THEBE,"90,000.00"
BLACKBIRD TRADING,"90,000.00"
BOIKEMO TRADING ENTERPRISE & PROJECTS,"90,000.00"
BOILE RESOURCES,"90,000.00"
BOITSHWARELO BOGONE,"90,000.00"
BONDIC TRADING ENTERPRISE,"90,000.00"
CAMINANDO HOLDINGS (PTY)LTD,"90,000.00"
K&S SOLUTIONS,"180,000.00"
KEATLEGILE INVESTMENTS,"180,000.00"
KOTOANE TRADING,"180,000.00"
LEKAMTELA GENERAL TRADING,"180,000.00"
LUBABALO ENTERPRISE,"180,000.00"
MACRONYM 37,"180,000.00"
MBALETHLE TRADING,"180,000.00"
MILNEX 325 CC,"180,000.00"
MOORE BLAQUE,"180,000.00"
NANCY TRADING ENTERPRISE,"180,000.00"
NARON,"180,000.00"
NOSIVU ENTERPRISES,"180,000.00"
PEGANE INFRASTRUCTURE & PROJECTS,"180,000.00"
PHUTI HOLDINGS,"180,000.00"
SJM GROUP,"180,000.00"
SKYLARK SUPPLIES,"180,000.00"
STANCH TRADING PTY,"180,000.00"
SYRINX DYNAMIC SOLUTIONS,"180,000.00"
THINGOS GENERAL TRADING,"180,000.00"
TOLLERANZA,"180,000.00"
TWELVE26 PROJECTS,"180,000.00"
UC CHEMICALS & CLEANING,"180,000.00"
UHX TRADING,"180,000.00"
VUYANI & MONWABISI INVESTMENT HOLDINGS,"180,000.00"
VVUKOLWAM ENTERPRISE,"179,990.00"
MIRACLUS TRADING,"179,400.00"
ZIYAMA TRADING AND SERVICES,"169,290.00"
KGOMOTSO IMAGES PROJECT,"90,000.00"
KHETSHE HOLDINGS,"90,000.00"
KISMET AGENCIES,"90,000.00"
KITZARO LOGISTIC,"90,000.00"
KITZORO LOGISTICS,"90,000.00"
KUKHANYA ILANGA TRADING,"90,000.00"
KUMKANI DEVELOPERS (PTY),"90,000.00"
LALLA GENERAL ENTERPRISE,"90,000.00"
LARONA GENERAL TRADING,"90,000.00"
LEFIKA HOLDINGS,"90,000.00"
LELOTHA GENERAL TRADING,"90,000.00"
LESEDI CLEANING & CATERING,"90,000.00"
LESEDI KO PELE,"90,000.00"
LESHOMO CONSTRUCTION AND PROJECTS,"90,000.00"
LOMEKOTLHO,"90,000.00"
LOTLEHANG TRADING & PROJECT,"90,000.00"
LYREPOINTER PROJECT,"90,000.00"
MABOKO CONSULTANCY,"90,000.00"
MAPHEMBA HOLDINGS,"90,000.00"
MASEGO MAINTENANCE,"90,000.00"
MATSHEPS BUSINESS ENTERPRISE,"90,000.00"
