SUPPLIER NAME ,PROVINCE ,"                   14,446.00 TOTAL ( R)"
BEST ENOUGH TRADING,Northern Cape,"2,533,723.00"
LEMONDRAAI BOUERS,Not CSD Registered,"1,572,126.00"
DUBU CONSTRUCTION,Northern Cape,"1,135,852.00"
C SQUARED TRADING,Northern Cape,"983,169.00"
MOKE CONSTRUCTION,Northern Cape,"448,146.00"
ENTSHA CONSTRUCTION,Northern Cape,"418,392.00"
KATKAY TRADING,Northern Cape,"397,728.00"
MOGOBENG CONSULTING,Northern Cape,"373,570.00"
MABCOR FACILITY SOLUTIONS,Eastern Cape,"329,708.00"
MOLOI GROUP,Free State,"205,190.00"
GENEVAL GENERAL TRADING,Northern Cape,"201,458.00"
XCELLENT CONSTRUCTION,Northern Cape,"167,917.00"
HAL CIVILS,Northern Cape,"129,065.00"
MADIBUSENG GENERAL TRADING,Northern Cape,"116,080.00"
