RANKING ,SUPPLIER NAME ,PROVINCE ,TOTAL ( R)
1,MACRONYM 37,Northern Cape,"26,960,025.00"
2,ASIJIKI SOUNDBYTES,Eastern Cape,"14,962,100.00"
3,C MED SUPPLIES,North West,"8,070,984.00"
4,REVOLT HEADBOY,Northern Cape,"2,947,200.00"
5,INHLAMVU PROJECTS&SERVICES,Northern Cape,"1,260,000.00"
6,NAMOLO GENERAL TRADING,Northern Cape,"1,148,852.00"
7,BIG VERN TRADING,Northern Cape,"1,119,574.00"
8,DNS SUPPLIES,Gauteng,"1,043,719.00"
9,THATABETSWE TRADING&INVEST,Northern Cape,"911,515.00"
10,DISKONTO TRADING,Northern Cape,"857,634.10"
11,ISJX GENERAL CONTRACTORS AND TRADING,Northern Cape,"815,900.00"
12,KING OF EMPERORS,Northern Cape,"750,000.00"
13,TEMA INVESTMENTS (PTY) LTD,Northern Cape,"748,981.00"
14,AMADWALA TRADING,North West,"720,000.00"
15,BAIKANYEGI TRADING,Northern Cape,"717,485.00"
16,SHIREWAY PROJECTS,Northern Cape,"714,000.00"
18,ZAHOEK TRADING,Northern Cape,"690,000.00"
19,SOUTH HILL TRADING,North West,"686,550.00"
20,LAPA LAKA TRADERS,Northern Cape,"660,000.00"
