buyer_name,implementation_location_province,Vote,Department,items_description,supplier_name,supplier_numbers_other,payment_amount_zar,Commitment Amount,order_amount_zar
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Headsets purchases,ALTITUDE,MAAA0122206,321073.79,R0.00,321073.79
Western Cape Premier,Western Cape,1,Vote 1 : Premier,THERMOMETER,ASSUR DEVELOPERS,MAAA0589528,216000.00,R0.00,216000.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,"Disinfectant wipes, 500 tubs",BrainPlay,MAAA0274010,10472.00,R0.00,10472.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,LTE Connectivity,Business connection,MAAA0001820,0.00,"R333,155.00",333155.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,LTE Connectivity,Business connection,MAAA0001820,0.00,"R229,425.00",229425.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,LTE Connectivity,Business connection,MAAA0001820,0.00,"R103,730.00",103730.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Laptops and onsight,CHM VUWANI,MAAA0393512,983130.68,R0.00,983130.68
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Wireless access points,Dimension Data,MAAA0023731,601900.87,R0.00,601900.87
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SERVICE; RADIO BROADCAST,FCB CAPE TOWN,MAAA0236791,59541.25,R0.00,59541.25
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SERVICE; DESIGN AND LAYOUT ACTION,FCB CAPE TOWN,MAAA0236791,0.00,"R41,249.99",41249.99
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SERVICE; DESIGN AND LAYOUT ACTION,FCB CAPE TOWN,MAAA0236791,0.00,"R384,499.51",384499.51
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791,203106.20,R0.00,203106.20
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SERVICE; RADIO BROADCAST,FCB CAPE TOWN,MAAA0236791,18865.17,R0.00,18865.17
Western Cape Premier,Western Cape,1,Vote 1 : Premier,PRINTING,FCB CAPE TOWN,MAAA0236791,111793.40,R0.00,111793.40
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791,0.00,"R100,000.00",100000.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791,0.00,"R81,554.67",81554.67
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791,0.00,"R549,999.99",549999.99
Western Cape Premier,Western Cape,1,Vote 1 : Premier,COMMUNICATION,FCB CAPE TOWN,MAAA0236791,3335672.44,"R1,434,000.25",4769672.69
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791,81554.66,R0.00,81554.66
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONSULT:BUSINESS&ADVISORY SERV,FCB CAPE TOWN,MAAA0236791,1178290.00,"R1,178,290.00",2356580.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONSULT:BUSINESS&ADVISORY SERV,FCB CAPE TOWN,MAAA0236791,197426.25,"R197,426.25",394852.50
Western Cape Premier,Western Cape,1,Vote 1 : Premier,AV for use of cloth mask,FCB CAPE TOWN,MAAA0236791,136834.79,"R53,400.52",190235.31
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Radio,FCB CAPE TOWN,MAAA0236791,0.00,"R59,541.25",59541.25
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791,1408624.53,R0.00,1408624.53
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791,37400.00,R0.00,37400.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791,160886.82,R0.00,160886.82
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791,163018.69,R0.00,163018.69
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Campaign,FCB CAPE TOWN,MAAA0236791,1894783.35,"R8,505.37",1903288.72
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Stage 2 Media Schedule,FCB CAPE TOWN,MAAA0236791,0.00,"R1,300,000.00",1300000.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791,1557663.44,"R31,312.94",1588976.38
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791,1611252.39,R0.00,1611252.39
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791,4479899.25,"R640,186.10",5120085.35
Western Cape Premier,Western Cape,1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791,223743.92,R377.16,224121.08
Western Cape Premier,Western Cape,1,Vote 1 : Premier,CONSULT:BUSINESS&ADVISORY SERV,FCB CAPE TOWN,MAAA0236791,2030670.00,"R2,030,670.00",4061340.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Software licence - Subscription,Geoterra Image,MAAA0023489,523250.00,R0.00,523250.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Trigget Spray Bottles,KPG MEDIA TECHNOLOGIES,MAAA0367381,0.00,"R7,866.00",7866.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,2 Ply Folded Paper Towels,KPG MEDIA TECHNOLOGIES,MAAA0367381,0.00,"R7,590.00",7590.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SIM CARDS,LIQUID TELECOMS,MAAA0002119,189004.80,"R1,080,451.45",1269456.25
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Software licence-Cloud,OMEGA DIGITAL ,MAAA0084718,162150.00,R0.00,162150.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,NEW CRM SOLUTIONS,Oracle Corporation (South Africa) (Pty),MAAA0094612,0.00,"R4,560,800.00",4560800.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,"Router, installation fee and 12 internet month service",RSA WEB ,MAAA0498723,79653.00,"R81,338.81",160991.81
Western Cape Premier,Western Cape,1,Vote 1 : Premier,Internet Services,Telkom,MAAA0016750,0.00,"R120,870.00",120870.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,MIFI DEVICES,VODACOM,MAAA0006299,0.00,"R229,540.00",229540.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,LTE ROUTER,VODACOM,MAAA0006299,0.00,"R90,900.00",90900.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SANITISERS - 5 Litre,XERUS SURGICAL,MAAA0007334,68381.00,R0.00,68381.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,SANITISERS - 500ml,XERUS SURGICAL,MAAA0007334,155700.00,R0.00,155700.00
Western Cape Premier,Western Cape,1,Vote 1 : Premier,MASKS- BRANDED,ZEBRA MEDICAL SUPPLIES,MAAA0126506,157320.00,R0.00,157320.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"GLOVES,DISPOSABLE , LATEX FREE, NITRILE, EXAMINATION,",AMCOMED,MAAA0074321,1840.00,R0.00,1840.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"SANITIZER DETERGENT , HAND, 70 PERCENT ALCOHOL, 100M",AMCOMED,MAAA0074321,5992.20,R0.00,5992.20
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,PRINTING OF VINYL DECAL STICKERS,BLACKBURN SOLUTIONS (Pty) Ltd,MAAA0593401,3450.00,R0.00,3450.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"MASK,MEDICAL , FACE, CLOTH",I K N S TRADING,MAAA0063017,39330.00,R0.00,39330.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"DISINFECTANT , SURFACE AND HAND LIQUID, 70 PERCENT A",ORACLE MEDICAL,MAAA0009975,24500.00,R0.00,24500.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"DUCT TAPE, 48MMX25M,RED IN COLOUR",ORACLE MEDICAL,MAAA0009975,990.00,R0.00,990.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"DISINFECTANT , SURFACE AND HAND LIQUID, 70 PERCENT A  1 LIT THERMOMETER , DIGITAL INFRARED, NON CONTACT, KOD",ORACLE MEDICAL,MAAA0009975,6230.00,R0.00,6230.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"SANITIZER DETERGENT , HAND, 70 PERCENT ALCOHOL, 500M",ORACLE MEDICAL,MAAA0009975,12460.00,R0.00,12460.00
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"SANITIZER DETERGENT , REFILL, 70 PERCENT ALCOHOL,",ORACLE MEDICAL,MAAA0009975,13500.00,R0.00,13500.00
