Name of the Supplier,"Company Registration
Numbers",Covid 19 Items Supplied,"Volume
(Quantity)",Cost/Item,UOM,Amount
Be Sure Events,2014/096753/07,Masks FFP2,40000,54.00,Ea.,         2160000.00
,,Gloves,2940,200.00,Box of 100,            588000.00
,,Nitrile Gloves,1000,250.00,Box of 100,            250000.00
,,70% Alcohol Sanitisers,10620,592.00,5L,         6287040.00
Leitam,1994/030134/23,Surgical Masks,12000,18.50,Ea.,            222000.00
,,Gloves,157,195.00,Box of 100,              30615.00
,,70% Alcohol Sanitisers,5015,565.00,5L,         2833475.00
,,Decant Bottle,10000,20.00,Ea.,            200000.00
Shaneal Distributors,1993/013522/23,Gloves,327,150.00,Box of 100,              49050.00
Mudok,2014/220073/07,Nitrile Gloves,41,249.00,Box of 100,              10209.00
Phiritona Holdings,2014/116485/07,Masks FFP1,1000,44.85,Ea.,              44850.00
,,Gloves,20,150.00,Box of 100,                3000.00
,,Decant Bottle,300,15.00,Ea.,                4500.00
,,1L Sanitiser,100,146.00,Ea.,              14600.00
MA Executive,2004/006551/23,Gloves,50,200.00,Box of 100,              10000.00
,,500 ml Sanitiser,1000,43.50,Ea.,              43500.00
,,125 ml Sanitiser,1500,18.50,Ea.,              27750.00
Brand Enterprise,2016/422948/07,Gloves,100,135.00,Box of 100,              13500.00
,,Sanitiser,50,239.00,5L,              11950.00
Jay's Printer,1966/004687/07,Gloves,10,135.00,Box of 100,                1350.00
,,Sanitiser,200,32.50,Ea.,                6500.00
Valmac Stationers,2009/013201/23,Gloves,225,115.50,Box of 100,              25987.50
MR Agencies,2018/373474/07,Gloves,10,120.00,Box of 100,                1200.00
MN Investments,2018/020888/07,200ml Sanitisers,39,150.00,Ea.,                5850.00
,,500ml  Sanitisers,18,210.00,Ea.,                3780.00
Datapower,2004/072898/23,750ml Sanitiser,26,100.00,Ea.,                2600.00
,,Sanitiser,1,600.00,5L,                   600.00
LNV Logistics,2008/077869/23,Sanitiser Dispenser,30,434.86,Ea.,              13045.80
Sanitiser Device Installation,30,R146.19,Ea.,                4385.70,,
Name of the Supplier,"Company Registration
Numbers",Covid 19 Items Supplied,"Volume
(Quantities)",Cost/Item,UOM,Amount
Be Sure Events Solutions,2014/096753/07,"Infrared Thermometers Incl. 2 sets of
Batteries",1320,1700.00,ea.,2244000.00
,Perspex Sheets[3m x 2m],150,2850.00,ea.,427500.00,
,Fogging Machine,5,30000.00,ea.,150000.00,
,Fogging Machine Peroxide,135,666.66,ea.,89999.10,
,70% Alcohol Sanitiser 5L,18000,230.00,5L,4140000.00,
Matongoni General Trading,213/049887/07,Cloth Masks,6000,          25.00,ea.,150000.00
,Pressure Pump Bottles,1444,450.00,ea.,649800.00,
,70% Alcohol Disinfectant Liquid 5L,6000,185.00,5L,1110000.00,
,DecantGun Spray Bottles,3000,21.00,ea.,63000.00,
,70% Alcohol Disinfectant Liquid 5L,18000,180.00,5L,3240000.00,
Madendele Consulting,2012/197275/07,Cloth Masks,18000,          25.00,ea.,450000.00
,Soft PVC Face Screen Shields,4000,27.50,ea.,110000.00,
,"Infrared Thermometers Incl. 2 sets of
Batteries",650,1700.00,ea.,1105000.00,
Mobeniko Trading & Projects,2016/012892/07,Cloth Masks,12000,          25.00,ea.,300000.00
Region,Name of contractor,"Company Registration
Number",Project,Quotation (ex VAT),Status,
Gauteng,Kenglo Holdings,2016/091143/07,"Deep Cleaning of Gauteng
branches",1671775.11,Done,
EC,LNV Logistics cc,2008/077869/23,Deep Cleaning of EC branches,2017280.56,Done,
Central,FP Hygiene,2003/052276/23,"Deep Cleaning of Central Region
branches",538046.25,Done,
Central,SRY,2005/119639/23,"Deep Cleaning of Central Region
branches",247558.26,Done,
Central,Phiritona Holdings,2014/116485/07,"Deep Cleaning of Central Region
branches",553346.50,Done,
Central,Five Active Minds,201001148824/23,"Deep Cleaning of Central Region
branches",93493.60,Done,
Central,AK Distributors,1993/070269/07,"Deep Cleaning of Central Region
branches",21027.75,Done,
WC,Lasaka Group,2014/007544/07,Deep Cleaning of WC branches,1410848.76,Done,
KZN,Kenglo Holdings,2016/091143/07,Deep Cleaning of KZN buildings,852000.00,Done,
KZN,FP Hygiene,2003/052276/23,Deep Cleaning of Durmail,177100.00,Done,
North,Staza,2001/040795/23,"Deep Cleaning of Northern
Region buildings",240707.22,Done,
North,FP Hygiene,2003/052276/23,"Deep Cleaning of Northern
Region buildings",236790.89,Done,
North,"SRY Environmental Pest
Control and Project",2005/119639/23,"Deep Cleaning of Northern
Region buildings",353694.16,Done,
KZN,Tsebo Cleaning Solutions,2016/224394/07,"Deep Cleaning and
Decontamination of Durmain",107700.00,Done,
EC,Supercare,1985/060217/07,Decontamination,92000.00,Ongoing,
WC,Supercare,1985/060217/07,Decontamination,39500.00,Done,
WC,Intsika,2017/302094/07,Decontamination,12402.00,Done,
Northern,Staza and SRY Environmental,(2e0s0t 1C/o0n4t0ro7l9 a5n/2d3 P) rojects,Decontamination,8500.00,Done,
Northern,SRY Environmental Pest Contr,(l2 a0n0d5 /P1r1o9je6c3t9s/23),Decontamination,11132.34,Done,
NPC,Staza Cleaning Service,2001/040795/23,Decontamination,2709.00,Done,
NPC,Supercare,,Decontamination,16200.00,Done,
NPC,SMTT,2008/052348/23,COVID-19 Screens,3050.00,Done,
Gauteng,Kenglo Holdings,2016/091143/07,Decontamination,34281.00,Done,
Gauteng,Supercare,1985/060217/07,Decontamination,63500.00,Done,
KZN,Sanitech,2012/000665/07,Decontamination,119069.00,Done,
Total,8923712.40,,,,,
